app_name,category,reviewer_ratings,review_body
99 Restaurants,Food & Drink,1, Latest update broke app for me. App crashes when trying to set time for pick up. Can't even order.
99 Restaurants,Food & Drink,1, Not in sync with restaurant wait time. 90 minutes longer than pickup time given.
99 Restaurants,Food & Drink,1," Can't place order for later time, app crashes when you select that option"
99 Restaurants,Food & Drink,1, Can't even download the app
99 Restaurants,Food & Drink,1, They will not allow me to order take out. Says that cannot be prepared prior to closing Time although I tried to order to hours before closing.
99 Restaurants,Food & Drink,3," app does not allow you to order gold fever wings. only buffalo, half and half or plain"
99 Restaurants,Food & Drink,5," Never had a bad meal at the ,99 inconcord"
99 Restaurants,Food & Drink,3, Gyy
99 Restaurants,Food & Drink,5, <3 <3 <3
Aggreko,Business,5, One word: Excellent!
Aggreko,Business,5, Awesome app! Great functionality
American Cancer Society FUNdraising,Lifestyle,5, Libe this app... Make dinations on line even checks... Great way to stay connected.
American Cancer Society FUNdraising,Lifestyle,1," Not as easy as past years. Not very user friendly, even for a computer literate user !"
American Cancer Society FUNdraising,Lifestyle,5, So easy and allows us to keep fundraising!
American Cancer Society FUNdraising,Lifestyle,5, Works great for uploading donations and keeping track of them
American Cancer Society FUNdraising,Lifestyle,1, The app won't start up. It's stuck on the loading screen and then it eventually crashes.
American Cancer Society FUNdraising,Lifestyle,3," This app needs to be all encompassing so that you can access team information, not just fundraising."
American Cancer Society FUNdraising,Lifestyle,4, It's great but being on 2 teams you can only see and manage 1...
American Cancer Society FUNdraising,Lifestyle,1," Never loads, throws so many errors....."
American Cancer Society FUNdraising,Lifestyle,5, Love the app makes everything so easy
American Cancer Society FUNdraising,Lifestyle,3," I don't get notified when I get a donation anymore. Last year I received an email along with a yellow flower icon notifying me of a donation. Now the only way I know when I receive a donation is when I open the app and check under donations. I like to publicly acknowledge my donations in a timely ma...Full ReviewI don't get notified when I get a donation anymore. Last year I received an email along with a yellow flower icon notifying me of a donation. Now the only way I know when I receive a donation is when I open the app and check under donations. I like to publicly acknowledge my donations in a timely matter, yet without the notification, it might be days before I find them . Please fix this issue."
American Cancer Society FUNdraising,Lifestyle,1," Good for keeping track of donations since I'm having issues not receiving any emails when I get a donation. Also, just tried to update, since it told me I needed to, and there was no update option so I had to uninstall and reinstall. Ok just re-installed and it still says I need to update????"
American Cancer Society FUNdraising,Lifestyle,3," Not user friendly. I personally haven't had a lot of problems, but my husband has and at our team captains meetings I hear the frustrations of others."
American Cancer Society FUNdraising,Lifestyle,1, I have been able to use this app in years past & it was very helpful. This year's app keeps stopping after less a minute of use. Can't use it at all.
American Cancer Society FUNdraising,Lifestyle,1," Way too many notifications. I keep turning them off under settings, but it won't save the selection. It reverts to ""allow all"" when I go to another screen. Uninstalling."
American Cancer Society FUNdraising,Lifestyle,5, makes it super easy when people pay you cash or check.... you can use your card and still give the sponsor name and credit!!
American Cancer Society FUNdraising,Lifestyle,3, It keeps saying theres a required update to be done in the play store window...but no update button to be found. Needs this bug fixed.
American Cancer Society FUNdraising,Lifestyle,5," very helpful ...learn more about fundraising, and ACS through the App. love to reveive checks and scan them...great App..."
American Cancer Society FUNdraising,Lifestyle,5," Great app, very convenient, fast account updates when funds are added."
American Cancer Society FUNdraising,Lifestyle,4," a wonderful way to get money to our rely for life team!! makes fund raising easy, quick, and convenient!"
American Cancer Society FUNdraising,Lifestyle,5, I installed it for my boyfriend's father he was not well. But unfortunately he died before we could arrange funds for him. I feel so sad and guilty for not coming across this app before. But I will definitely help others if I start working again. I am surely share link of this app on my page. And le...Full ReviewI installed it for my boyfriend's father he was not well. But unfortunately he died before we could arrange funds for him. I feel so sad and guilty for not coming across this app before. But I will definitely help others if I start working again. I am surely share link of this app on my page. And let know all in need of this kind of app. Regards Mysa.
