index,app_name,number_of_ratings,overall_rating,category,cost,number_of_downloads
1,storyo,839,4.1,Photography,0,100000+
2,survey solutions tester,91,4.3,Productivity,0,"10,000+"
3,World Bank Project Procurement,0,0,Business,0,"1,000+"
4,Miller's Ale House ,63,4.5,Food & Drink,0,"10,000+"
5,Robeks Mobile Ordering,82,4.4,Food & Drink,0,"10,000+"
6,Five Guys Burgers & Fries,"5,111",3.6,Shopping,0,"1,000,000+"
7,99 Restaurants,15,3.3,Food & Drink,0,"10,000+"
8,California Fish Grill,14,3.7,Food & Drink,0,"1,000+"
9,Zoup! Eatery,11,3.5,Food & Drink,0,"1,000+"
10,Goodcents,"1,330",3.1,Travel & Local,0,"50,000+"
11,Corner Bakery Cafe,56,2.9,Food & Drink,0,"10,000+"
12,Piada,74,3.9,Food & Drink,0,"10,000+"
13,Black Bear Diner,62,4.7,Food & Drink,0,"10,000+"
14,Lion's Choice,18,3.4,Food & Drink,0,"5,000+"
15,STONEFIRE Grill,53,3.4,Lifestyle,0,"10,000+"
16,Cheba Hut Ordering,116,4.5,Lifestyle,0,"10,000+"
17,Kneaders Bakery & Cafe,59,4.3,Lifestyle,0,"10,000+"
18,Benihana,21,3.3,Food & Drink,0,"5,000+"
19,Milio's Sandwiches,27,4.2,Food & Drink,0,"1,000+"
20,Bubbas 33 Ordering,13,4.6,Lifestyle,0,"5,000+"
21,Velvet Taco,29,4.6,Food & Drink,0,"1,000+"
22,The Patio,6,4.5,Food & Drink,0,"1,000+"
23,Burgerville,22,3.9,Lifestyle,0,"5,000+"
24,Earl of Sandwich,100,3.2,Food & Drink,0,"10,000+"
25,Down to Earth Deli,20,4.6,Lifestyle,0,"1,000+"
26,Happy + Hale,5,3.6,Food & Drink,0,500+
27,Curry Up Now - Ordering,7,1.6,Food & Drink,0,"1,000+"
28,St. Louis Bar & Grill Ordering,5,5,Lifestyle,0,"1,000+"
29,Fresh Eats Kitchen,16,4.4,Food & Drink,0,500+
30,Bullritos Ordering,54,3.3,Lifestyle,0,"5,000+"
31,Insightly CRM,"1,461",4.1,Business,0,"100,000+"
32,FoodKick,85,3.1,Shopping,0,"10,000+"
33,FreshDirect,849,2.2,Shopping,0,"100,000+"
34,APX Hotels,0,0,Travel & Local,0,100+
35,CA Mobile,"1,775",3.5,Finance,0,"100,000+"
36,Captio - Expense Reports,666,4.1,Finance,0,"100,000+"
37,Fareboom Discount Flights,714,4.6,Travel & Local,0,"50,000+"
38,UPS Mobile,"46,721",4.3,Business,0,"5,000,000+"
39,UPS Access Point,16,2.6,Business,0,"10,000+"
40,Microsoft Azure,"2,441",4.5,Business,0,"100,000+"
41,outback,150,1.5,Food & Drink,0,"10,000+"
42,Allscripts Professional,0,0,Medical,0,"1,000+"
43,Allscripts® Patient Flow,0,0,Medical,0,500+
44,Sunrise Mobile,16,2.4,Medical,0,"1,000+"
45,Appy Weather,"1,422",4.4,Weather,0,"100,000+"
46,ruff,333,4.1,Productivity,0,"50,000+"
47,Aggreko,7,5,Business,0,"1,000+"
48,HCL Engage,188,4.3,Business,0,"10,000+"
49,Microsoft News,"107,716",4.5,News & Magazines,0,"1,000,000+"
50,BBC Good Food,794,3.7,Food & Drink,0,"100,000+"
51,Caren,17,4.8,Medical,0,"5,000+"
52,American Cancer Society FUNdraising,565,4.4,Lifestyle,0,"50,000+"
53,BBVA,"11,084",4.1,Finance,0,"1,000,000+"
54,MyCoach,11,4.3,Education,0,"1,000+"
55,Mile of Music,54,3.7,Music & Audio,0,"5,000+"
56,Expensya Expense reports,"1,127",4.5,Business,0,"100,000+"
