,author_name,review_date,reviewer_ratings,review_body
0,Atlanta Bombshell,"September 22, 2019",1,"Hacked then Disabled without warning!! I’ve been a Facebook user for years. Recently I started getting messages of someone trying to reset my password from another state (hackers). Even after changing my password each time, the attempts continued. The most recent hacker attempt must have been successful to the point my account was disabled by them for violating Facebook rules and regulations. There was nothing in my email asking me to verify anything! Once I saw the attempt at password reset, I tried to use the app to change it and that’s when I received a pop up notification that the account was disabled along with every app that uses Facebook as a log in method. Facebook help center provides no help. All they ask for is your email, name, and ID for their investigation purposes. Then I get an email stating the account was permanently disabled and can never be reinstated—but it wasn’t even me! Now I don’t even know what else the hacker was able to get into prior to it being disabled. Did they gain access to other apps with more sensitive information? Can I not even appeal and prove it wasn’t me trying to reset a password in a states miles away!?!? Very frustrating. And with no real online support or customer service—I’m dead on the water. Help?!"
1,WHaynie,"February 15, 2020",1,"Forcing “Continue in Watch” is a very bad move My two stars from the other week in regards to my saved items automatically being saved to a folder when they aren’t supposed to is now down to one star due to the newest excuse for an update. In the past I would be watching something and if I clicked on it to watch it bigger it would then show other suggested videos from Watch under it. That was fine. But now I will only be a few seconds into a video on my feed without touching it yet and it will COMPLETELY STOP the video and te me to continue watching  it on Watch. HOWEVER when I try to click the video to make it bigger and thus open it in Watch it won’t do jack squat. This tells me I would have to click over to Watch and then attempt to refind the video just to bloody watch it in the first place. I don’t know who was smoking the stupid juice this time, but I would rather watch no videos than have to go out of my way to hunt a video down just to watch after it’s already been presented in front of me. And as someone with a business page that posts videos (AND PAYS GOOD MONEY to use some as ads) it makes me want to cut back what I spend with you all if this is what my users will be left with. Please please PLEASE change it back."
2,WinstonFl,"September 17, 2019",2,"Buggiest app on my iPad Let’s face it, if you use social media Facebook is a must have to stay connected.  However the Facebook app is a complete bug filled app that only seems to break more with every update.  I’ve been waiting for years for it to work right and yet I always know when an update comes, because something you use regularly will break guaranteed.  If by some miracle it gets fixed in the bi-weekly update, I promise you something else you use will be hindered in the next version. "
3,MKaip,"November 19, 2017",1,"Locked Out of Account If I could give 0 Stars, I would.. Facebook has locked me out of my account for days, saying they need to review a photo of me. There is no one to contact or email to fix it. I have had my account since about 2005 so it doesn’t make sense.. The Help Page is of no help because it consists of regular people who do not have access to unlock accounts. Facebook needs to have a direct contact via Chat or email to assist their customers."
4,Mzkishanicole,"November 14, 2019",2,"Ok app, people you may know feature is annoying The app is ok to deal with but the people you may know feature is completely annoying and frustrating. I must say it’s a nice feature but it gets frustrating when you remove people and the next day or a few days later they show up again as people you may know. Facebook needs to add a delete button for that and not just the remove button or the remove button should remove that person and their profile permanently because hitting the remove button only brings that person profile back up within a day or a few days. I’m completely irritated with it because if I hit the remove bottom it’s because I don’t know that person, I don’t want to know that person, or don’t want to be friends with that person. I shouldn’t have to spend so much time “removing” but not permanently removing people from the “people you may know” only for them to pop back up as people I may know 24-48hrs later!! IT’S ANNOYING. STOP IT FACEBOOK LET ME PERMANENTLY REMOVE PEOPLE I DON’T KNOW AND/OR DON’T WANT TO KNOW OR BE BOTHERED WITH WITHOUT HAVING THEM POP UP AGAIN AND AGAIN AND AGAIN. REVAMP THE “PEOPLE YOU MAY KNOW” FEATURE SO THAT IT CAN BE BETTER MANAGED BY US!! Thanks 😤😤"
5,Valensghost,"November 16, 2019",2,"Issues that need fixing There are several things that are frustrating.  1- if I mark See posts first, that means I want to see this persons posts first — NOT three days later, and not after seeing countless posts from people not marked See first. See first means see first.  2 - when I scroll through my newsfeed I doesn’t want it to stop after 3 or 4 posts.  I want it to keep scrolling.  When I’ve seen enough I will quit. If I delete the app it and reinstall, it will work for awhile but will behave the same way again soon.  3-  if I see a post on my Facebook iPad app, I should be able to also see it on my iPhone Facebook app.  Why aren’t these two newsfeeds consistent? 4 - if I have a custom list or a smart list, why can’t I click on that list and see posts from just those people?  5- if there are birthdays or events that show up in the right hand column, I don’t want to see the word DONE, I want to see the event or birthday.  Again, I can get this to work again if I delete and reinstall the app. Perhaps rather than working on enhancements the developers just need to fix the bugs, and then be sure future bug fixes don’t break things again."
6,Pu Erh Tea,"April 19, 2020",2,"Attn: FB suspended my account for no solid reason suddenly Greetings Facebook crew! The purpose I write to you is none other than to impart my report as well as to acquire assistance pertaining to Facebook account service. So today all of a sudden Facebook is asking me to submit a photo ID upon logging in; and I have uploaded and sent a photo of my driving license (genuine!). I have been using Facebook since 2009 if my memory serves me well and I never did infringe your ToU or regulations but somehow you team got me as using a fake profile name? I believe someone from within my friend list or a page (I don’t know as I followed/Liked tons of pages) was behaving mischievously and made a false accusation or report over my profile for no solid reason. What’s more, I did not do anything wrong ever since I use Facebook, or use the service for illegal purposes. Pretty please review my account suspension that does not hold water and reinstate it in next to no time. Please reach out to me please. It is the quarantine period and I need to work from home. Not to mention I have other foreign accounts that I link FB to login with. Thank you for your concern. Why do I have to bear a fault that is not mine?"
7,Pikaboo09,"February 17, 2019",3,"New update causing newsfeed to freeze Didn’t have this problem until yesterday when the new update kicked in. Everything else works fine, notifications, clicking through group posts and whatnot. But as soon as I go to news feed before or after doing other things on the app it just freezes. I’ve reset the app, I’ve reset my phone, I’ve cleared all of Facebook’s caches, and I’m going to try uninstalling and reinstalling next."
8,ehmob,"March 17, 2020",2,"WHAT IS GOING ON??? A couple of my posts are being removed as going against Community Standards regarding spam. One was an historical article entitled “Coronasvirus and the Sun: a Lesson from the 1918 Influenza Pandemic” (I posted one and the other that appears on my timeline I was tagged in) The other post that was removed as spam was regarding digitized artwork from Paris museums entitled “Paris Museums Put 100,000 Images Online for Unrestricted Public Use”. In this case I did post both, the first time was March 4th, the second time was March 16 with a title that suggested a wonderful way to view the art work - by streaming the site. A form of entertainment that is both beautiful and educational. I would not be writing this here except for the fact that there is no longer a place on the app under Help and Support were I could pose questions or defend my posts. I was also unable to find FB’s definition of spam. Did I miss something or miss an update? I do try to update regularly. Or perhaps the most recent update for my phone, needs to get some more bugs worked out and improvements made. "
9,Daaabby,"November 2, 2019",1,"Terrible app, terrible website I hate Facebook. There's more things than I want to even write out. The security/customer service is pure garbage. Why? Because they don't have customer service! My Instagram (of course Facebook owns Instagram) got hacked and the situation was so complex that there was no way the automated response service could help with it. Come to find out there's no live customer support... Honestly, how is that even legal???? Does it even matter how many accounts there are on Instagram? It's not like Mark Zuckerberg and Co have no money to hire people or something? I don't know maybe I'm just crazy. Because I thought they were pretty rich."
