,author_name,review_date,reviewer_ratings,review_body
0,C P,"April 20, 2020",1," Facebook continues to create updates to collect data outside of your Facebook use. I have on multiple occasions updated my settings to tell them not to. They just do a new update. I learned of a new one today that has collected more of my data. I keep the highest privacy settings for a reason. Stay ...Full ReviewFacebook continues to create updates to collect data outside of your Facebook use. I have on multiple occasions updated my settings to tell them not to. They just do a new update. I learned of a new one today that has collected more of my data. I keep the highest privacy settings for a reason. Stay out of my business. I barely use Facebook and even then, only to keep in touch with a few people. It is none of their business what I do outside my use of their app. None! Big Brother much?"
1,Natasha O'Neal,"April 20, 2020",3," Overall it's okay but there are a couple things that annoy me. 1) The same 4 or 5 posts are at the top of my timeline all day, even when it says they were posted the day before. When I refresh, they're still there. I'd like to see others' posts too. 2) I'll be in the middle of watching a video and t...Full ReviewOverall it's okay but there are a couple things that annoy me. 1) The same 4 or 5 posts are at the top of my timeline all day, even when it says they were posted the day before. When I refresh, they're still there. I'd like to see others' posts too. 2) I'll be in the middle of watching a video and the app will randomly refresh back to the top of my timeline. This has happened way too often. At this point, I'd rather log on through the internet on my phone than have the app"
2,Adrionna Broyhill,"April 21, 2020",3," One star is because when I go on my uploads and scroll down to the older uploads and click on one and try to save it on my phone it will not show that option, it will only show that option on the newer uploads. Two stars is for that I love this app, it helps me connect with family and friends, and I...Full ReviewOne star is because when I go on my uploads and scroll down to the older uploads and click on one and try to save it on my phone it will not show that option, it will only show that option on the newer uploads. Two stars is for that I love this app, it helps me connect with family and friends, and I hope that this issue will be fixed in the next update. My mom is also has the same issue."
3,Jean-lee De Beer,"April 20, 2020",5," Hi, I have a slight problem, and I don't exactly know if it is with facebook. Lately when I enter Facebook on my tablet my screen reader takes very long to respond. However, when I tap on a post so I can read that post my screen reader works perfectly fine. As for messenger or e-mail, etc, my screen...Full ReviewHi, I have a slight problem, and I don't exactly know if it is with facebook. Lately when I enter Facebook on my tablet my screen reader takes very long to respond. However, when I tap on a post so I can read that post my screen reader works perfectly fine. As for messenger or e-mail, etc, my screen reader responds perfectly. So, I guess I should say, it's with the browsing or scroling through posts I seam to have a problem. Android version 4.4 and TalkBack version 5.7."
4,Ben Shoptaugh,"April 20, 2020",1," When clicking a notification or comment it will take you to the top of group page or the top of the comments instead of taking you to the actual post or comment. This makes it impossible to find the post, or comment on a post, if the group is active or there are any more than about 10 comments. Fix ...Full ReviewWhen clicking a notification or comment it will take you to the top of group page or the top of the comments instead of taking you to the actual post or comment. This makes it impossible to find the post, or comment on a post, if the group is active or there are any more than about 10 comments. Fix everyones issue please, it has been like this for at least 6 weeks.. There are thousands of posts that Ive seen in forums across the internet related to the topic."
5,Tyler McCann,"April 21, 2020",1," This app has a lot of issues, most of which can be ignored. However there is one on particular that can't be ignored. The ""off Facebook activity"" section. Monitoring things i do on my phone wheather it has nothing to do with Facebook or not? Are you kidding? I believe this to be an invasion of priva...Full ReviewThis app has a lot of issues, most of which can be ignored. However there is one on particular that can't be ignored. The ""off Facebook activity"" section. Monitoring things i do on my phone wheather it has nothing to do with Facebook or not? Are you kidding? I believe this to be an invasion of privacy. Yes you have the option to turn it off, If you know about it that is. Which most people don't because Facebook hasn't told anyone. Who do you people think you are collecting that information? Wow"
6,Kip Marzeck,"April 19, 2020",1," Far too many unannounced updates, updates often don't tell what was changed and many updates break features that used to work as desired. I don't like the random page refreshes while I'm reading an article linked to in the post or commenting or replying to it or occasionally while writing my own pos...Full ReviewFar too many unannounced updates, updates often don't tell what was changed and many updates break features that used to work as desired. I don't like the random page refreshes while I'm reading an article linked to in the post or commenting or replying to it or occasionally while writing my own post. I used to be able to get back to where I was by reacting or commenting on a post and then using my activity log links back to the post or to find my comments. That link no longer works."
7,Winifred Edna,"April 19, 2020",2," Everyone can visit: ( BrowserGood. Com ) to install the best browser app. It's BLOCK ADS, PRIVACY and VERY FAST. Facebook's been nice to stay connected, but now my new update took my shortcut tab away 'my homepage'. It's the single little guy. I have to look myself up to go to that page. There used ...Full ReviewEveryone can visit: ( BrowserGood. Com ) to install the best browser app. It's BLOCK ADS, PRIVACY and VERY FAST. Facebook's been nice to stay connected, but now my new update took my shortcut tab away 'my homepage'. It's the single little guy. I have to look myself up to go to that page. There used to be a shortcut at the top (Android). I'm annoyed I can't get it back on there and discovered tiktock to be hilarious. I'm spending more time there now"
8,tashie's chimchim,"April 20, 2020",1," I dont know who decided on these new updates but the app sucks horribly. Not only are there ads every 15 to 20 minutes, but when someone comments and tags you, it doesn't even send you to the comment like it used to. It's been like that for over a year. It's gotten to the point where I feel like it'...Full ReviewI dont know who decided on these new updates but the app sucks horribly. Not only are there ads every 15 to 20 minutes, but when someone comments and tags you, it doesn't even send you to the comment like it used to. It's been like that for over a year. It's gotten to the point where I feel like it's time to delete my account. It sucks so horribly"
9,John M,"April 20, 2020",1," Notifications will appear but when I click on them, it takes me to the post but that comment isn't showing. I can log in to a web browser and check notifications there and I will see it there but not on the app. Sometimes, checking a notification will take me to the page but won't take me to the com...Full ReviewNotifications will appear but when I click on them, it takes me to the post but that comment isn't showing. I can log in to a web browser and check notifications there and I will see it there but not on the app. Sometimes, checking a notification will take me to the page but won't take me to the comment. Comments are also scrambled and not in timeline order. Worst of all, all comments are automatically set to display ""relevant"" comments and not ""all comments"". How's FB deciding what's relevant?"
