index,app_name,number_of_ratings,overall_rating,category,cost,number of downloads
1,Facebook,"98,054,036",4.2,Social,0,5000000000+
2,storyo,839,4.1,Photography,0,100000+
3,survey solutions tester,91,4.3,Productivity,0,"10,000+"
4,World Bank Project Procurement,0,0,Business,0,"1,000+"
5,Miller's Ale House ,63,4.5,Food & Drink,0,"10,000+"
6,Robeks Mobile Ordering,82,4.4,Food & Drink,0,"10,000+"
7,Five Guys Burgers & Fries,"5,111",3.6,Shopping,0,"1,000,000+"
8,99 Restaurants,15,3.3,Food & Drink,0,"10,000+"
9,California Fish Grill,14,3.7,Food & Drink,0,"1,000+"
10,Zoup! Eatery,11,3.5,Food & Drink,0,"1,000+"
11,Goodcents,"1,330",3.1,Travel & Local,0,"50,000+"
12,Corner Bakery Cafe,56,2.9,Food & Drink,0,"10,000+"
13,Piada,74,3.9,Food & Drink,0,"10,000+"
14,Black Bear Diner,62,4.7,Food & Drink,0,"10,000+"
15,Lion's Choice,18,3.4,Food & Drink,0,"5,000+"
16,STONEFIRE Grill,53,3.4,Lifestyle,0,"10,000+"
17,Cheba Hut Ordering,116,4.5,Lifestyle,0,"10,000+"
18,Kneaders Bakery & Cafe,59,4.3,Lifestyle,0,"10,000+"
19,Benihana,21,3.3,Food & Drink,0,"5,000+"
20,Milio's Sandwiches,27,4.2,Food & Drink,0,"1,000+"
21,Bubbas 33 Ordering,13,4.6,Lifestyle,0,"5,000+"
22,Velvet Taco,29,4.6,Food & Drink,0,"1,000+"
23,The Patio,6,4.5,Food & Drink,0,"1,000+"
24,Burgerville,22,3.9,Lifestyle,0,"5,000+"
25,Earl of Sandwich,100,3.2,Food & Drink,0,"10,000+"
26,Down to Earth Deli,20,4.6,Lifestyle,0,"1,000+"
27,Happy + Hale,5,3.6,Food & Drink,0,500+
28,Curry Up Now - Ordering,7,1.6,Food & Drink,0,"1,000+"
29,St. Louis Bar & Grill Ordering,5,5,Lifestyle,0,"1,000+"
30,Fresh Eats Kitchen,16,4.4,Food & Drink,0,500+
31,Bullritos Ordering,54,3.3,Lifestyle,0,"5,000+"
32,Insightly CRM,"1,461",4.1,Business,0,"100,000+"
33,FoodKick,85,3.1,Shopping,0,"10,000+"
34,FreshDirect,849,2.2,Shopping,0,"100,000+"
35,APX Hotels,0,0,Travel & Local,0,100+
36,CA Mobile,"1,775",3.5,Finance,0,"100,000+"
37,Captio - Expense Reports,666,4.1,Finance,0,"100,000+"
38,Fareboom Discount Flights,714,4.6,Travel & Local,0,"50,000+"
39,UPS Mobile,"46,721",4.3,Business,0,"5,000,000+"
40,UPS Access Point,16,2.6,Business,0,"10,000+"
41,Microsoft Azure,"2,441",4.5,Business,0,"100,000+"
42,outback,150,1.5,Food & Drink,0,"10,000+"
43,Allscripts Professional,0,0,Medical,0,"1,000+"
44,Allscripts® Patient Flow,0,0,Medical,0,500+
45,Sunrise Mobile,16,2.4,Medical,0,"1,000+"
46,Appy Weather,"1,422",4.4,Weather,0,"100,000+"
47,ruff,333,4.1,Productivity,0,"50,000+"
48,Aggreko,7,5,Business,0,"1,000+"
49,HCL Engage,188,4.3,Business,0,"10,000+"
50,Microsoft News,"107,716",4.5,News & Magazines,0,"1,000,000+"
51,BBC Good Food,794,3.7,Food & Drink,0,"100,000+"
52,Caren,17,4.8,Medical,0,"5,000+"
53,American Cancer Society FUNdraising,565,4.4,Lifestyle,0,"50,000+"
54,BBVA,"11,084",4.1,Finance,0,"1,000,000+"
55,MyCoach,11,4.3,Education,0,"1,000+"
56,Mile of Music,54,3.7,Music & Audio,0,"5,000+"
57,Expensya Expense reports,"1,127",4.5,Business,0,"100,000+"
58,Facebook Ads Manager,"33,402",3.9,Business,0,"5,000,000+"
59,Bloomberg,"69,621",4.3,News & Magazines,0,"10,000,000+"
60,Gyroscope,704,2.4,Health & Fitness,0,"100,000+"
61,Myntra,"2,696,504",4.4,Shopping,0,"50,000,000+"
62,UberEats,"2,357,343",4.3,Food & Drink,0,"100,000,000+"
63,Instagram,"98,166,510",4.5,Social,0,"1,000,000,000+"
64,Facebook Analytics,"2,918",3.5,Business,0,"500,000+"
65,Pinterest,"6,301,674",4.6,Lifestyle,0,"100,000,000+"
66,Skype,"11,063,887",4.3,Communication,0,"1,000,000,000+"
67,Tesla,"11,252",4.2,Lifestyle,0,"500,000+"
68,Walmart,"518,574",4.2,Shopping,0,"50,000,000+"
69,Wix.com,"37,665",4.4,Productivity,0,"5,000,000+"
70,CBS Sports Franchise Football,"5,374",4.3,Sports,0,"100,000+"
71,Delivery.com,"2,844",4,Food & Drink,0,"100,000+"
72,JD,,,,,
73,Salesforce,"27,946",4.4,Business,0,"1,000,000+"
74,QRCode Reader and Generator,122,4,Tools,0,"10,000+"
75,Shoot I Smoke,256,3.8,Health & Fitness,0,"50,000+"
76,LBRY beta,"1,844",4.3,Entertainment,0,"100,000+"
77,Tencent QQ,"181,825",2.6,Communication,0,"10,000,000+"
78,Rocket Chat Experimental,231,4.5,Communication,0,"10,000+"
79,RSG Chess,25,4.7,Board,0,"1,000+"
80,Chain React Conf,11,4.9,Events,0,"1,000+"
81,Joplin,"1,485",4.3,Productivity,0,"50,000+"
82,Zulip,264,3.6,Communication,0,"10,000+"
83,Pride in London,53,4.6,Lifestyle,0,"10,000+"
84,Forex Rates,20,4.9,Finance,0,100+
85,eLadder,0,0,Tools,0,50+
86,arXiv Papers,20,4,Education,0,"1,000+"
87,Kitty Rescue,0,0,Puzzle,0,50+
88,Hydropuzzle,15,4.4,Adventure,0,"1,000+"
89,Baidu Mobile,"17,796",3.5,Tools,0,"5,000,000+"
90,Color Match,34,4.9,Educational,0,500+
