app_name,category,number_of_downloads,review_body,reviewer_ratings
Asphalt 8,Racing,high," Outstanding car race plus bike race game. The graphics are fantastic. Although some drift gates are not crossed ,the game is super exciting. All the cars are of new models in these game. I had played most of the racing games but these Asphalt 8 created by Gameloft is of next level. I request to all ...Full ReviewOutstanding car race plus bike race game. The graphics are fantastic. Although some drift gates are not crossed ,the game is super exciting. All the cars are of new models in these game. I had played most of the racing games but these Asphalt 8 created by Gameloft is of next level. I request to all car racing game lover to paly this game once. I just get a lot of joy while playing this Asphalt 8 .",5
Asphalt 8,Racing,high," Just like the description says, real car fun racing game. It is real fun. Send your car flying through the air, crash right through your competition. Totally awesome. Graphics are awesome. If we had a game with graphics this good when I was a kid we would have been so thrilled. T",5
Asphalt 8,Racing,high," Great game, unfortunately over the years it has just made it near impossible to purchase top cars without spending real $$. And to get them to pro/max levels even harder now you need fusion coins aswell. So you have pretty much made the game less enjoyable, you get less prize money and cars and mods...Full ReviewGreat game, unfortunately over the years it has just made it near impossible to purchase top cars without spending real $$. And to get them to pro/max levels even harder now you need fusion coins aswell. So you have pretty much made the game less enjoyable, you get less prize money and cars and mods are more expensive!!",3
Asphalt 8,Racing,high," I love this game. The graphics are awesome and the game play is challenging. I can't think of anything that I would ask or suggest the developers to charge or improve. Well yes there is one thing; seems like after EVERY update I install, the game gets on the loading screen and just spins and spins a...Full ReviewI love this game. The graphics are awesome and the game play is challenging. I can't think of anything that I would ask or suggest the developers to charge or improve. Well yes there is one thing; seems like after EVERY update I install, the game gets on the loading screen and just spins and spins and NEVER loads. I then have to uninstall and reinstall the game which is frustrating.",5
Asphalt 8,Racing,high," This is a improvement because you started out giving free cars very kind of you gameloft, but the problem is in multiplayer at a low rank many cars like the Audi r8 Etron special edition, Mercedes Benz SLK AMG Special Edition have been ruining beginners and people that want to be in the higher ranks...Full ReviewThis is a improvement because you started out giving free cars very kind of you gameloft, but the problem is in multiplayer at a low rank many cars like the Audi r8 Etron special edition, Mercedes Benz SLK AMG Special Edition have been ruining beginners and people that want to be in the higher ranks just fail and get stuck at the first league everyone starts, please nerf this power from those cars.",4
Asphalt 8,Racing,high, The game sucks! I have hundreds of dollars in this game. Buy 30 days of double credits with tokens purchased from GAMELOFT and GAMELOFT raises the prices. All of the tokens I payed for double credits are gone. If this was the result my reinstallation of the game & a failed cloud save I would take cr...Full ReviewThe game sucks! I have hundreds of dollars in this game. Buy 30 days of double credits with tokens purchased from GAMELOFT and GAMELOFT raises the prices. All of the tokens I payed for double credits are gone. If this was the result my reinstallation of the game & a failed cloud save I would take credit... This is on you and because of greed.,1
Asphalt 8,Racing,high, I like the game but its car prices seem to be so MUCH EXPENSIVE please don't make this game pay to win cause lots of players are kids and they cant even afford a motorbike in this game so please adjust all token price to get lower and maybe you can change token prices cars and motor bikes in to cred...Full ReviewI like the game but its car prices seem to be so MUCH EXPENSIVE please don't make this game pay to win cause lots of players are kids and they cant even afford a motorbike in this game so please adjust all token price to get lower and maybe you can change token prices cars and motor bikes in to credits and please we offline players highly recommended that we can upgrade our vehicle even in offline mode that would be great for us offline players,3
Asphalt 8,Racing,high, I'm editing this review cause the game is super pay to win fusion coins they're still in the game not gone even though you give free cars from festival it's super difficult to pro them cause they need millions of fusion coins and so many kit card's needed for them make it less pay to win gameloft yo...Full ReviewI'm editing this review cause the game is super pay to win fusion coins they're still in the game not gone even though you give free cars from festival it's super difficult to pro them cause they need millions of fusion coins and so many kit card's needed for them make it less pay to win gameloft you are killing this game 😓,2
Asphalt 8,Racing,high, Super awesome and fantastic and good for me and I live that game so much and it's like the only car game I actually realy like............. so I love it so much and the new updates were really cool and because of that I have sweet and awesome cars and which are hyper fast,5
Asphalt 8,Racing,high, good and amazing game but some times when i purchase 18000 box my money gets deducted and box does not open.so plz rturn my money. i m a big fan of this game.i daily play game. From december game is not opening if open then it automatically closes from 1 december 2019. I finish octane session if i c...Full Reviewgood and amazing game but some times when i purchase 18000 box my money gets deducted and box does not open.so plz rturn my money. i m a big fan of this game.i daily play game. From december game is not opening if open then it automatically closes from 1 december 2019. I finish octane session if i claims it shows error everytime. So kindly suggeat me asap.i çomplete my octane but prizes is not claiming each and every time it shows error,5
Asphalt 8,Racing,high," I can't even get to play asphalt 8! When I try to press the app, it says error! and also this game runs smoothly but now I can't even get in it! I'm Uninstalling it. Please fix it. Otherwise, I will rate this app a five star!",1
Asphalt 8,Racing,high, It is a very very excellent game for kids who are like me. But only 1 problem is you could give offers in all cars for like 3 days. Otherwise it is an extraordinary game. Thanks to GAMELOFT.,5
Asphalt 8,Racing,high, Very nice game I have been playing it for 3 years but my only problem is there are too many things that lead you to pay to play that I hate the most but otherwise this is the perfect game in play store,5
Asphalt 8,Racing,high," another new currency you have to buy to upgrade vehicles. So credits are useless now, new players will find it even more difficult to peruse upgrade. Updates reflect nothing be greed, time to move on and find another game.",1
Asphalt 8,Racing,high, Gameloft really why you trying to kill this game I started playing on 2013 and now is 2020 from this year and after the game gets worse and worse year by year so Gameloft if you want to destroy it whatever do whatever you want this game especially with the fu******ng fusion coins yeah terrible it's ...Full ReviewGameloft really why you trying to kill this game I started playing on 2013 and now is 2020 from this year and after the game gets worse and worse year by year so Gameloft if you want to destroy it whatever do whatever you want this game especially with the fu******ng fusion coins yeah terrible it's just terrible,3
Asphalt 8,Racing,high, Entire game is ultimately bulit to get real fun of racing.. But one this that for every upgrade of vehicles it takes more points or else we have to purchase them.. So i request the Gameloft please reduce the purchasing options..,4
Asphalt 8,Racing,high, I give 5 stars because the drifting and the graphics are nice . Because of the racers the game is enjoying me... 😊😊 Now I am updating this new version to see .. . Please make sure that the asphalt 9 is lessing to mb because it is 1.. Gb you know.. Soo please,5
Asphalt 8,Racing,high, This game used to be good. I had no problem with it and even spent money. Now it's trash. I wouldn't give these devs a single penny or anymore of my time. Uninstalled!,1
Asphalt 8,Racing,high, OK Gameloft why in the heck do you add a ridiculous GTA Spano 2015 for 4.000 dollars who wants to buy dat thing and mastery rewards suck now and why do you remove the scion f-rs (ok that was 5 years ago) and blueprints are deleted if blueprints is still here i will have the ED desingn torq because i...Full ReviewOK Gameloft why in the heck do you add a ridiculous GTA Spano 2015 for 4.000 dollars who wants to buy dat thing and mastery rewards suck now and why do you remove the scion f-rs (ok that was 5 years ago) and blueprints are deleted if blueprints is still here i will have the ED desingn torq because i have 3 of the blueprints before,2
Asphalt 8,Racing,high," Nice game, Gameloft. The new update doesn't let you claim your rewards. Also the rewards you used to get in the collection's category have been stripped to a minimum. 😁😎",5
