index,app_name,number_of_ratings,overall_rating,category,cost,number_of_downloads
0,Google Classroom,"128,620",3.8,Education,0,"50,000,000+"
1,Google Lens,"471,587",4.5,Tools,0,"100,000,000+"
2,Google Keep,"945,050",4.4,Productivity,0,"500,000,000+"
3,Google Chrome,"20,590,887",4.4,Communication,0,"5,000,000,000+"
4,Google Photos,"25,066,493",4.5,Photography,0,"1,000,000,000+"
5,Google Drive,"5,378,250",4.4,Productivity,0,"5,000,000,000+"
6,Google Calendar,"1,231,817",4.3,Productivity,0,"1,000,000,000+"
7,Google Earth,"2,576,397",4.4,Travel & Local,0,"100,000,000+"
8,Google Assistant,"210,413",4.1,Productivity,0,"50,000,000+"
9,Google Docs,"1,227,623",4.4,Productivity,0,"500,000,000+"
10,Google Fit,"355,870",3.8,Health & Fitness,0,"50,000,000+"
11,Google Tasks,"67,401",4.5,Productivity,0,"5,000,000+"
12,Google Opinion Rewards,"1,690,198",4.3,Tools,0,"10,000,000+"
13,Gallery Go,"19,595",4.3,Photography,0,"5,000,000+"
14,Google Slides,"371,932",4.2,Productivity,0,"500,000,000+"
15,Google One,"59,058",4.3,Productivity,0,"10,000,000+"
16,Google News,"1,275,705",4.4,News & Magazines,0,"1,000,000,000+"
17,Google Home,"810,542",4.2,Lifestyle,0,"100,000,000+"
18,Photoscan,"102,646",4.3,Photography,0,"10,000,000+"
19,Google Duo,"5,408,519",4.5,Communication,0,"1,000,000,000+"
20,Google Voice,"215,427",4.4,Communication,0,"10,000,000+"
21,Google Go,"317,898",4.4,Tools,0,"100,000,000+"
22,Google Translate,"7,023,909",4.5,Tools,0,"500,000,000+"
23,Google Fi,"12,864",4.1,Tools,0,"1,000,000+"
24,Google Sheets,"736,634",4.3,Productivity,0,"500,000,000+"
25,Google Arts & Culture,"37,227",4.2,Education,0,"5,000,000+"
26,Google Maps,"11,393,217",4.3,Travel & Local,0,"5,000,000,000+"
27,Google Podcasts,"272,828",4.4,Music & Audio,0,"10,000,000+"
28,Google PDF Viewer,"328,477",4.3,Productivity,0,"50,000,000+"
29,Cloud Print,"380,198",4.1,Productivity,0,"1,000,000,000+"
30,Google Console,"7,561",4.3,Tools,0,"1,000,000+"
31,VLC,"1,344,221",4.4,Video Players & Editors,0,"100,000,000+"
32,Concepts,"1,958",3.8,Art & Design,0,"100,000+"
33,Duolingo,"9,092,833",4.7,Education,0,"100,000,000+"
34,Ingresso,"49,068",4.6,Entertainment,0,"1,000,000+"
35,RedBus,"772,508",4.4,Travel & Local,0,"10,000,000+"
36,Roblox,"12,711,045",4.4,Adventure,0,"100,000,000+"
37,Evernote,"1,554,148",4.2,Productivity,0,"100,000,000+"
38,Infinite Painter,"59,365",3.9,Art & Design,0,"5,000,000+"
39,Squid,"47,884",4.3,Productivity,0,"1,000,000+"
40,BeautyPlus,"4,398,679",4.5,Photography,0,"100,000,000+"
41,Tinder,"3,834,749",3.7,Lifestyle,0,"100,000,000+"
42,Zillow,"493,622",4.5,House & Home,0,"10,000,000+"
43,iHeartRadio,"2,141,153",4.6,Music & Audio,0,"50,000,000+"
44,Hike,"146,485",4.4,Social,0,"10,000,000+"
45,Hinge,"110,817",4.1,Dating,0,"1,000,000+"
46,The Economist Espresso,"27,185",4.7,News & Magazines,0,"1,000,000+"
47,Noom,"198,848",4.2,Health & Fitness,0,"10,000,000+"
48,Twitter,"15,124,519",4.5,News & Magazines,0,"500,000,000+"
49,Cornershop,"14,020",4.1,Shopping,0,"1,000,000+"
50,"Mint: Budget, Bills, & Finance Tracker","168,543",4.5,Finance,0,"10,000,000+"
51,Remember The Milk,"47,395",4.6,Productivity,0,"1,000,000+"
52,Vimeo,"112,260",4.3,Entertainment,0,"10,000,000+"
53,Naukri.com,"994,094",4.5,Business,0,"10,000,000+"
54,Ultimate Guitar,"352,425",4.4,Music & Audio,0,"10,000,000+"
55,Wego,"123,507",4.5,Travel & Local,0,"10,000,000+"
56,Zynga Poker,"2,439,032",4.4,Casino,0,"50,000,000+"
57,WSOP,"1,266,090",4.4,Card,0,"10,000,000+"
58,War Robots,"3,974,800",4.3,Action,0,"50,000,000+"
59,Asphalt 8,"9,126,537",4.4,Racing,0,"100,000,000+"
60,Sudoku Quest,"38,048",4.6,Puzzle,0,"1,000,000+"
61,Dots,"334,630",4.1,Casual,0,"10,000,000+"
62,Leo's Fortune,"62,576",4.7,Adventure,$4.99 ,"500,000+"
63,Devil's Attorney,"14,534",4.5,Puzzle,$4.99 ,"100,000+"
64,Indian Rummy,228,4.1,Card,0,"10,000+"
65,Tiny Village,"265,833",4.5,Casual,0,"5,000,000+"
66,Jalebi,"149,765",4.3,Word,0,"10,000,000+"
67,Galaxy Attack,"1,627,643",4.6,Arcade,0,"100,000,000+"
68,Space Shooter,"403,331",4.5,Arcade,0,"50,000,000+"
