index,app_name,number_of_ratings,overall_rating,category,cost,number_of_downloads
1,Facebook Ads Manager,"33,402",3.9,Business,0,"5,000,000+"
2,Bloomberg,"69,621",4.3,News & Magazines,0,"10,000,000+"
3,Gyroscope,704,2.4,Health & Fitness,0,"100,000+"
4,Myntra,"2,696,504",4.4,Shopping,0,"50,000,000+"
5,UberEats,"2,357,343",4.3,Food & Drink,0,"100,000,000+"
6,Instagram,"98,166,510",4.5,Social,0,"1,000,000,000+"
7,Facebook Analytics,"2,918",3.5,Business,0,"500,000+"
8,Pinterest,"6,301,674",4.6,Lifestyle,0,"100,000,000+"
9,Skype,"11,063,887",4.3,Communication,0,"1,000,000,000+"
10,Tesla,"11,252",4.2,Lifestyle,0,"500,000+"
11,Walmart,"518,574",4.2,Shopping,0,"50,000,000+"
12,Wix.com,"37,665",4.4,Productivity,0,"5,000,000+"
13,CBS Sports Franchise Football,"5,374",4.3,Sports,0,"100,000+"
14,Delivery.com,"2,844",4,Food & Drink,0,"100,000+"
15,JD,,,,,
16,Salesforce,"27,946",4.4,Business,0,"1,000,000+"
17,QRCode Reader and Generator,122,4,Tools,0,"10,000+"
18,Shoot I Smoke,256,3.8,Health & Fitness,0,"50,000+"
19,LBRY beta,"1,844",4.3,Entertainment,0,"100,000+"
20,Tencent QQ,"181,825",2.6,Communication,0,"10,000,000+"
21,Rocket Chat Experimental,231,4.5,Communication,0,"10,000+"
22,RSG Chess,25,4.7,Board,0,"1,000+"
23,Chain React Conf,11,4.9,Events,0,"1,000+"
24,Joplin,"1,485",4.3,Productivity,0,"50,000+"
25,Zulip,264,3.6,Communication,0,"10,000+"
26,Pride in London,53,4.6,Lifestyle,0,"10,000+"
27,Forex Rates,20,4.9,Finance,0,100+
28,eLadder,0,0,Tools,0,50+
29,arXiv Papers,20,4,Education,0,"1,000+"
30,Kitty Rescue,0,0,Puzzle,0,50+
31,Hydropuzzle,15,4.4,Adventure,0,"1,000+"
32,Baidu Mobile,"17,796",3.5,Tools,0,"5,000,000+"
33,Color Match,34,4.9,Educational,0,500+
34,Facebook,"98,054,036",4.2,Social,0,5000000000+
