app_name,category,number_of_downloads,review_body,reviewer_ratings
99 Restaurants,Entertainment,low, Latest update broke app for me. App crashes when trying to set time for pick up. Can't even order.,1
99 Restaurants,Entertainment,low, Not in sync with restaurant wait time. 90 minutes longer than pickup time given.,1
99 Restaurants,Entertainment,low," Can't place order for later time, app crashes when you select that option",1
99 Restaurants,Entertainment,low, Can't even download the app,1
99 Restaurants,Entertainment,low, They will not allow me to order take out. Says that cannot be prepared prior to closing Time although I tried to order to hours before closing.,1
99 Restaurants,Entertainment,low," app does not allow you to order gold fever wings. only buffalo, half and half or plain",3
99 Restaurants,Entertainment,low," Never had a bad meal at the ,99 inconcord",5
99 Restaurants,Entertainment,low, Gyy,3
99 Restaurants,Entertainment,low, <3 <3 <3,5
Aggreko,News,low, One word: Excellent!,5
Aggreko,News,low, Awesome app! Great functionality,5
American Cancer Society FUNdraising,Entertainment,low, Libe this app... Make dinations on line even checks... Great way to stay connected.,5
American Cancer Society FUNdraising,Entertainment,low," Not as easy as past years. Not very user friendly, even for a computer literate user !",1
American Cancer Society FUNdraising,Entertainment,low, So easy and allows us to keep fundraising!,5
American Cancer Society FUNdraising,Entertainment,low, Works great for uploading donations and keeping track of them,5
American Cancer Society FUNdraising,Entertainment,low, The app won't start up. It's stuck on the loading screen and then it eventually crashes.,1
American Cancer Society FUNdraising,Entertainment,low," This app needs to be all encompassing so that you can access team information, not just fundraising.",3
American Cancer Society FUNdraising,Entertainment,low, It's great but being on 2 teams you can only see and manage 1...,4
American Cancer Society FUNdraising,Entertainment,low," Never loads, throws so many errors.....",1
American Cancer Society FUNdraising,Entertainment,low, Love the app makes everything so easy,5
American Cancer Society FUNdraising,Entertainment,low," I don't get notified when I get a donation anymore. Last year I received an email along with a yellow flower icon notifying me of a donation. Now the only way I know when I receive a donation is when I open the app and check under donations. I like to publicly acknowledge my donations in a timely ma...Full ReviewI don't get notified when I get a donation anymore. Last year I received an email along with a yellow flower icon notifying me of a donation. Now the only way I know when I receive a donation is when I open the app and check under donations. I like to publicly acknowledge my donations in a timely matter, yet without the notification, it might be days before I find them . Please fix this issue.",3
American Cancer Society FUNdraising,Entertainment,low," Good for keeping track of donations since I'm having issues not receiving any emails when I get a donation. Also, just tried to update, since it told me I needed to, and there was no update option so I had to uninstall and reinstall. Ok just re-installed and it still says I need to update????",1
American Cancer Society FUNdraising,Entertainment,low," Not user friendly. I personally haven't had a lot of problems, but my husband has and at our team captains meetings I hear the frustrations of others.",3
American Cancer Society FUNdraising,Entertainment,low, I have been able to use this app in years past & it was very helpful. This year's app keeps stopping after less a minute of use. Can't use it at all.,1
American Cancer Society FUNdraising,Entertainment,low," Way too many notifications. I keep turning them off under settings, but it won't save the selection. It reverts to ""allow all"" when I go to another screen. Uninstalling.",1
American Cancer Society FUNdraising,Entertainment,low, makes it super easy when people pay you cash or check.... you can use your card and still give the sponsor name and credit!!,5
American Cancer Society FUNdraising,Entertainment,low, It keeps saying theres a required update to be done in the play store window...but no update button to be found. Needs this bug fixed.,3
American Cancer Society FUNdraising,Entertainment,low," very helpful ...learn more about fundraising, and ACS through the App. love to reveive checks and scan them...great App...",5
American Cancer Society FUNdraising,Entertainment,low," Great app, very convenient, fast account updates when funds are added.",5
American Cancer Society FUNdraising,Entertainment,low," a wonderful way to get money to our rely for life team!! makes fund raising easy, quick, and convenient!",4
American Cancer Society FUNdraising,Entertainment,low, I installed it for my boyfriend's father he was not well. But unfortunately he died before we could arrange funds for him. I feel so sad and guilty for not coming across this app before. But I will definitely help others if I start working again. I am surely share link of this app on my page. And le...Full ReviewI installed it for my boyfriend's father he was not well. But unfortunately he died before we could arrange funds for him. I feel so sad and guilty for not coming across this app before. But I will definitely help others if I start working again. I am surely share link of this app on my page. And let know all in need of this kind of app. Regards Mysa.,5
American Cancer Society FUNdraising,Entertainment,low, Easy to use. But Couldnt change/update the Team name.,5
American Cancer Society FUNdraising,Entertainment,low, It's not accurate and it doesn't allow me to do as much as original website,1
American Cancer Society FUNdraising,Entertainment,low, easy and great to have for raising money on the spot,5
American Cancer Society FUNdraising,Entertainment,low, Not always dependable when doing onsite fundraising which it is designed for.,2
American Cancer Society FUNdraising,Entertainment,low, Great way to track progress and accept donations.,5
American Cancer Society FUNdraising,Entertainment,low, App keeps telling me to update it but when I go to play store it doesn't give me the option to update only uninstall and open. I cant even bypass it so I cant access the app at all.,1
American Cancer Society FUNdraising,Entertainment,low, does not work well.recieves several error messages.,3
American Cancer Society FUNdraising,Entertainment,low, I am so grateful this app really helped me raise money last year and has gotten better this year.,5
American Cancer Society FUNdraising,Entertainment,low, Great easy to navigate,5
American Cancer Society FUNdraising,Entertainment,low," the most beautiful experience anyone can have. A day full of fun, games, friends and so much more, its so worth contributing too.",5
American Cancer Society FUNdraising,Entertainment,low, I love that this app!! It allows everyone to donate safely knowing that their donations are going to the cause. ~MsAngela Hogan Team Lady Soldiers 💋,5
American Cancer Society FUNdraising,Entertainment,low, not had any problems with app. stays current,5
American Cancer Society FUNdraising,Entertainment,low, Finding the cure is very important to me my mom passed away from breast cancer in 2010. So this is a good app to use to help fight for the cure.,5
American Cancer Society FUNdraising,Entertainment,low, very helpful and quite user friendly,5
American Cancer Society FUNdraising,Entertainment,low, a little tricky to get used to but really worth it.,4
American Cancer Society FUNdraising,Entertainment,low, photo easier than in the past.,4
American Cancer Society FUNdraising,Entertainment,low, love this app. Very informative!,4
American Cancer Society FUNdraising,Entertainment,low, Easy to use. Very convenient.,5
American Cancer Society FUNdraising,Entertainment,low, Easy to use and collect donations,5
American Cancer Society FUNdraising,Entertainment,low, great tool to help with fundraising,5
American Cancer Society FUNdraising,Entertainment,low, great app and easy to navigate,5
American Cancer Society FUNdraising,Entertainment,low," Awesome, easy way to raise money!",5
American Cancer Society FUNdraising,Entertainment,low, What a great app! Very user friendly :),5
American Cancer Society FUNdraising,Entertainment,low, very easy and useful,5
American Cancer Society FUNdraising,Entertainment,low, Just got Started yet I Look forward to the experience,5
American Cancer Society FUNdraising,Entertainment,low," So far, I have not had problems using this app.",4
American Cancer Society FUNdraising,Entertainment,low, This app is so user friendly!!😁 I love it!!,5
American Cancer Society FUNdraising,Entertainment,low, uploading check donations is super easy!!,5
American Cancer Society FUNdraising,Entertainment,low, Very easy to use,5
American Cancer Society FUNdraising,Entertainment,low, The app has changed from last year.,4
American Cancer Society FUNdraising,Entertainment,low, Easy to use,5
American Cancer Society FUNdraising,Entertainment,low, won't work. can't post donation,1
American Cancer Society FUNdraising,Entertainment,low, user-friendly no way you can make a mistake I love this app,5
American Cancer Society FUNdraising,Entertainment,low, very easy to use,5
American Cancer Society FUNdraising,Entertainment,low, All donation can be noticed,5
American Cancer Society FUNdraising,Entertainment,low, easy & fast,5
American Cancer Society FUNdraising,Entertainment,low, Easy to check donations.,5
American Cancer Society FUNdraising,Entertainment,low, makes fundraising easy,5
American Cancer Society FUNdraising,Entertainment,low, Fundraisers for a good cause are always a great way to make money for donations and get the word out about organizations,5
American Cancer Society FUNdraising,Entertainment,low, Great when you are accepting donations on the go,5
American Cancer Society FUNdraising,Entertainment,low, We are new to cancer so we are learning as we go.. And if someone knows how i can change the name to Molly's Ninjas i will appreciate it thank you kindly and let us all fight the battle together,5
American Cancer Society FUNdraising,Entertainment,low, Great way to fundraise on the go. Great cause it's goes to great resources,5
American Cancer Society FUNdraising,Entertainment,low, Easy to use.,5
American Cancer Society FUNdraising,Entertainment,low, great for updates of monies raised to find a CURE!!,5
American Cancer Society FUNdraising,Entertainment,low, I love relay for life and help fellow relay for life partiant,5
American Cancer Society FUNdraising,Entertainment,low, It's a waste of data,1
American Cancer Society FUNdraising,Entertainment,low, so east to use even for a computer illiterate.,5
American Cancer Society FUNdraising,Entertainment,low, easy to use,5
American Cancer Society FUNdraising,Entertainment,low, Last Season I met my Goal in Fund raising.,5
American Cancer Society FUNdraising,Entertainment,low, good little app,4
American Cancer Society FUNdraising,Entertainment,low, hard to figure out,4
American Cancer Society FUNdraising,Entertainment,low, it help us save lives,5
American Cancer Society FUNdraising,Entertainment,low, I luv it...,5
American Cancer Society FUNdraising,Entertainment,low, Love supporting this cause,5
American Cancer Society FUNdraising,Entertainment,low, easy to use,4
American Cancer Society FUNdraising,Entertainment,low, i love this app,5
American Cancer Society FUNdraising,Entertainment,low, It was fun,4
American Cancer Society FUNdraising,Entertainment,low," Easy as 1, 2, 3",5
