index,app_name,number_of_ratings,overall_rating,category,cost
0,Facebook,446000,3.1,Social Networking,0
1,Facebook Ads Manager,914,2.5,Business,0
2,Facebook Analytics,204,4.2,Business,0
3,Instagram,16600000,4.8,Photo & Video,0
4,Oculus,909,3.9,Entertainment,0
5,Skype,45800,4.5,Social Networking,0
6,Discord,869100,4.8,Social Networking,0
7,Bloomberg,38300,4.6,News,0
8,Pinterest,3100000,4.8,Lifestyle,0
9,Tesla,2900,3.9,Lifestyle,0
10,Walmart,791200,4.7,Shopping,0
11,Uber,1600000,4.8,Food & Drink,0
12,Wix,20600,4.7,Productivity,0
13,Salesforce,183300,4.7,Business,0
14,Artsy,932,4.6,Shopping,0
15,Chop,6,5,Food & Drink,0
16,delivery.com,25400,4.8,Food & Drink,0
17,Gyroscope,1500,4.5,Health & Fitness,0
18,SoundCloud,913,3.2,Social Networking,0
19,Myntra,434600,4.6,Shopping,0
20,Vogue,848,4.7,Entertainment,0
21,Quirk CBT,256,4.6,Health & Fitness,0
22,Rocket.Chat,2100,4.3,Business,0
23,Joplin,88,4.3,Productivity,0
24,Smart Language App by Ulangi,43,4.8,Education,0
