apps,links
Airbnb,https://apps.apple.com/us/app/airbnb/id401626263
Bitmoji,https://apps.apple.com/us/app/bitmoji/id868077558
CNN,https://apps.apple.com/us/app/cnn-breaking-us-world-news/id331786748
The Weather Channel,https://apps.apple.com/us/app/weather-the-weather-channel/id295646461
Dubsmash,https://apps.apple.com/us/app/dubsmash-videos-music/id918820076
Eventbrite,https://apps.apple.com/us/app/eventbrite/id487922291
Fitbit,https://apps.apple.com/us/app/fitbit-health-fitness/id462638897
Wallapop,https://apps.apple.com/es/app/wallapop/id692753615?l=en
Flipboard,https://apps.apple.com/us/app/flipboard-latest-stories/id358801284
Groupon,https://apps.apple.com/us/app/groupon/id352683833
Hotwire,https://apps.apple.com/us/app/hotwire/id566635048
Imgur,https://apps.apple.com/us/app/imgur-funny-meme-gif-maker/id639881495
KAYAK,https://apps.apple.com/us/app/kayak-flights-hotels-cars/id305204535
LinkedIn,https://apps.apple.com/us/app/linkedin-network-job-finder/id288429040
Lyft,https://apps.apple.com/us/app/lyft/id529379082
Medium,https://apps.apple.com/us/app/medium/id828256236
Meetup,https://apps.apple.com/us/app/meetup/id375990038
Microsoft Selfie,https://apps.apple.com/us/app/microsoft-selfie/id1064676206
Mint,https://apps.apple.com/us/app/mint-mobile/id1295303441
MyFitnessPal,https://apps.apple.com/us/app/myfitnesspal/id341232718
Pandora,https://apps.apple.com/us/app/pandora-music-podcasts/id284035177
Product Hunt,https://apps.apple.com/us/app/product-hunt/id904658671
Timehop,https://apps.apple.com/us/app/timehop-memories-then-now/id569077959
Truecaller,https://apps.apple.com/us/app/truecaller/id448142450
Tumblr,https://apps.apple.com/us/app/tumblr/id305343404
Twitter,https://apps.apple.com/us/app/twitter/id333903271
VSCO,https://apps.apple.com/us/app/vsco-photo-video-editor/id588013838
Venmo,https://apps.apple.com/us/app/venmo/id351727428
Vimeo,https://apps.apple.com/us/app/vimeo/id425194759
