index,author_name,review_date,reviewer_ratings,review_body
0,Benjamin Cosic,"March 22, 2020",3," Great game, really great concept but it is too short. If you dont want to make the game longer, make a multiplayer. It would be amazing to play this game 1v1 pvp"
1,nc69chicano Gaming,"April 5, 2020",4," This game was so great, but over really quickly. If only there were additional chapters missions"
2,Camreth,"April 25, 2020",5," Fantastic game, only issue is that it is a bit too short."
3,T K,"January 30, 2020",5," Fun, fantastic game. Great animation and voice acting. Probably my most favorite game on Android ever."
4,Aaron Baca,"March 8, 2020",5," Extremely polished. Took years before it ran, but it's a great game now."
5,Melanie Nutile,"February 17, 2020",5, I love this game! It gets really challenging toward the end but not too hard. I just wish it was longer.
6,Amanda Anderson,"December 19, 2019",5," So fun!! A nice strategy game, gets harder as you go. The lawyer and the headlines make me laugh. Overall worth the purchase and I recommend. Graphics and speed are also top notch."
7,Chris Joannou,"April 17, 2020",5," One of the best phone games of all time. Enjoyable, funny and free. No weird in game buys. Superb."
8,Daniel Bryant,"February 18, 2020",4, Great game but action not working right have to tap it twenty times and not accidentally tap it once it selects the action. But selecting witnesses etc works perfectly fine
9,George Thomas Davis Jr,"September 19, 2018",5," This game is so good that it will always be too short. I literally played the game constantly my first time for hours. Very entertaining dialogue. Game play so entertaining that I searched the company and the internet for similar games, to no avail. Loved the 80's theme. There needs to be a sequel, ...Full ReviewThis game is so good that it will always be too short. I literally played the game constantly my first time for hours. Very entertaining dialogue. Game play so entertaining that I searched the company and the internet for similar games, to no avail. Loved the 80's theme. There needs to be a sequel, and it needs to be a bit longer."
10,dead killer had its revenge,"January 26, 2020",3," Really cool game but DEFINETLY not worth the price. It is fun but way to short to be 5 dollar game. Plus at times, it can be quite unforgiving with the number systems. Most times it will give you lower numbers. Was charming but not worth the 5."
11,Dario Dareich,"February 5, 2020",5, Fantastic game and value. Like the quality for a mobile game is fantastic.
12,rainbow weirdo77,"December 29, 2019",4, i wish i could give this game 5 stars cause its a really good game but there is one problem.Everytime i try to get into the apartment the app closes.i still haven't seen the inside of the apartment.
13,A Google user,"September 24, 2018",4," The underlying game is basically like a simple, turn-based RPG combat system, trying to destroy the ""credibility"" (hp) of witnesses, attorneys and evidence before they can ruin your case (your hp). It's not hugely deep, but it has a lot of style and is fun and diverting."
14,Michael Alspach,"October 15, 2018",3," Kind of hokey but still funny. The game mechanics are pretty basic and easily understandable. Unsure as to whether it si really a game or just humor, seems like more humor than game really, but thats ok too.  The theme song is terrible, like 80's themes were.. I know, I was there.  But in all seriou...Full ReviewKind of hokey but still funny. The game mechanics are pretty basic and easily understandable. Unsure as to whether it si really a game or just humor, seems like more humor than game really, but thats ok too.  The theme song is terrible, like 80's themes were.. I know, I was there.  But in all seriousness, the game needs more cases/randomization, because every game is exactly the same the replayability is none, isn't really worth the $4.99 pricetag, even the original 2.99 is kind of steep all things considered."
15,Quinn Griffin,"July 23, 2019",5," This game is very simplistic and a enjoyable way to pass the time, however there is a bug on my samsung galaxy note 9 where I have to click either a lot farther left or right of the ""X"" button. This may haps be a product of creating the game for smaller devices and not taking the window size into co...Full ReviewThis game is very simplistic and a enjoyable way to pass the time, however there is a bug on my samsung galaxy note 9 where I have to click either a lot farther left or right of the ""X"" button. This may haps be a product of creating the game for smaller devices and not taking the window size into consideration. I've found a temporary solution until the devs fix it. Excellent game nevertheless!"
16,Holly Pracht,"November 7, 2019",5," I played it straight through for something like 5 hours. It was great! The dialogue had me giggling and it was fun! Well made, good job!"
17,James cruz,"November 30, 2019",5, I love this game. I wish more content or stories would be added every half year to quarterly. I would pay for expansion play passes.
18,Zander van Asperen,"January 4, 2020",5, Great game. Fun gameplay and the conversations between lawyers are really funny. Worth the money.
19,alan morgan,"February 14, 2019",2, 2 star because its not much bang for the buck. it's a really great concept plays well and everything. my issue is the game is far to short for the 5 bucks i spent on it i had it beat in a little over an hour of play time.... kinda looking to get it refunded. if it were a longer game i would have rat...Full Review2 star because its not much bang for the buck. it's a really great concept plays well and everything. my issue is the game is far to short for the 5 bucks i spent on it i had it beat in a little over an hour of play time.... kinda looking to get it refunded. if it were a longer game i would have rated 5* but for 5 bucks its way to short
20,Phone Screen Fiend Machine,"August 12, 2019",5," This game needs DLC, the dialogue in court and after purchasing upgrades is well written and very humorous. Every upgrade ""card"" in home, chacter worn, or placed on a personal item has funny names for their effects and those effects are extremly balanced, better than any game I've played. The answer...Full ReviewThis game needs DLC, the dialogue in court and after purchasing upgrades is well written and very humorous. Every upgrade ""card"" in home, chacter worn, or placed on a personal item has funny names for their effects and those effects are extremly balanced, better than any game I've played. The answers seem so simple but the path may not seem clear at first; however, after playing multiple times, there are many ways to finish the cases, but, the final case is certainly a well deserved plot twist."
21,Tee Riggs,"October 15, 2019",4," Funny, brash and all sorts of quirky! Devil's Attorney is a blast to play with its simple, pick-up-and-play controls and easy to understand rules to abide by to succeed in the courtroom. The story and characters are outrageously original and each case is a hoot to play just to hear the clever back-n...Full ReviewFunny, brash and all sorts of quirky! Devil's Attorney is a blast to play with its simple, pick-up-and-play controls and easy to understand rules to abide by to succeed in the courtroom. The story and characters are outrageously original and each case is a hoot to play just to hear the clever back-n-forth banter between lawyers. The game's not particularly long but otherwise it's pure comic bliss!!!"
22,Sam,"December 29, 2019",5," One of the greatest mobile theme songs ever! Straight from an 80s show 😂. Good game too, look forward to seeing what this developer does next!"
23,Scott Ryan,"March 3, 2019",5," This was one of the first games I installed on my first Android device 7 years ago. Just played if again and it is still awesome. The voice acting is superb and the dialogue is wonderfully witty... would love to see more of Max in other forms. Where did you go, Senri?"
24,Brian Tiller,"June 10, 2019",1, Do not use with Samsung!!! buttons on the right side of the screen dont line up with where u have to touch to activate them. If you touch further to the right they will work however if you accidentally go back a chapter there is no way to go back forward as there is not enough screen room to activat...Full ReviewDo not use with Samsung!!! buttons on the right side of the screen dont line up with where u have to touch to activate them. If you touch further to the right they will work however if you accidentally go back a chapter there is no way to go back forward as there is not enough screen room to activate the right button like the others.
25,Duodecimus .Anemoi,"February 20, 2020",5, Fantastic game that you can replay a reasonably amount of times.
26,森川聡,"July 23, 2019",5," As an English learner, I was looking for a game which helps me improve my English. In that sense, this game was a good choice. I enjoyed the conversations between the protagonist (attorney) and the rivals (prosecutors). English subtitles helped me understand unfamiliar words."
27,Jason Provost,"February 3, 2020",4, The input fix for Samsung devices needs more work. 5star with fix.
28,Zenzi Tachikara,"July 10, 2019",2," Having same problem others have reported where I am unable to use many buttons. Most seem to be tied to the ""right"" directional button. Now stuck at previous chapter and out 4.99 for a game that was fun while it lasted."
29,Natalie Fidler,"June 6, 2019",5," Didn't have high expectations for this but it completely surprised me. It's a well designed, creative little game all wrapped up in charming graphics. The humour is on point and the combat is surprisingly fun. Definitely worth the price."
30,Sarah Weyrum,"January 21, 2019",5, I'm playing it for the second time. I had it on my old phone and while searching endlessly for a game that's actual amusing I found this again. There's only a handful of games worth downloading that are both funny and clever. Maybe it's not for everyone but I like it.
