index,author_name,review_date,reviewer_ratings,review_body
0,ewizard,"May 25, 2019",5,"Updated review and Fix for pairing oculus quest Okay, I finally got past the pairing issue I had where the oculus quest refused to pair. It turns out it was an issue where the iPhone required an iOS update and once I did that, it paired no problem. Developers should please add this to the help with setting up an oculus quest. After that, smooth sailing. App is great, quest works really well. While the battery life will last about 4 hours, it’s still good enough because you don’t want to be in it too long. All the apps and games are great. I hope more become available soon and that more become cross play as I have an oculus rift also and would enjoy some of those games on the quest as well. Beat saber is crazy good! Also, the oculus app has no lag or issues and you can find the games easy. I would like to see a complete browse all feature so you can scroll through every game available - not sure if I missed it. App is same on phone as it is within headset. Flawless integration. I would like to see a power off feature inside the headset instead of pressing and holding the button to shut down. Keep up the great work!"
1,Roxtar73,"October 1, 2019",5,Great app for Quest owners I e seen many 1 star reviews that make no sense. They are rating the app based on their experience with their headsets. If I were to review the Oculus Quest it would definitely get 4.5 stars. The app however gets a full five stars as it does so much cool stuff. My favorite thing is being able to check my battery while charging my headset. Also being able to see if I need new batteries for my controllers is awesome. I know those data points are on the Quest Menu Bar but when your charging you may not have the Quest available to check so you can use the app. I love that I can buy and install games directly to my headsets from the app too. There are just so many cool things this app allows you to do. I’ve seen lots of tech and I’m not easily impressed by tech nowadays however the Oculus Quest and this companion app have highly impressed me. I haven’t been wowed like this by tech since I first wrote a program in basic back on a TRS-80 (Trash 80 for those who remember them) in the mid 80’s(I’m old I know). Thanks for an exciting and joyous experience both in the app and on the console.
2,Samid Al-Hazared,"March 28, 2019",5,"Set up utility for Oculus Go worked Ok Worked fine and used it to get oculus go set up. This app has the store and setup screens for the stand alone headset, and recently added WiFi streaming, which was really helpful when showing relatives what VR is like because I could put their view on the phone and help talk them through how to play better and they could give each other advice.  They really enjoyed the Keep Talking and Virtual Virtual Reality ones. "
3,Captdax,"October 16, 2018",2,"Still no casting (Major Fail) I love the idea of the go and I enjoyed the initial implementation of the headset. That being said the only issue that I have a problem with now that’s ruining the experience is that there is still no casting or a release date. If you aren’t ready to activate casting then why put it into the app update notes? Also, why is it that despite being a major feature request, there’s zero information about its progress or an estimated release date other than “soon”. If you really want your initial go adopters to push for your product then why take away the one thing that could help them promote the headset to others? In summary, it’s a fun headset for a while but without the added social feature you might use the headset once every couple of weeks just to see if there’s anything new (which there won’t be)."
4,ApallingPoodle,"April 11, 2020",5,"Almost Perfect! I love the easy access to the oculus store. I really appreciate that I do not have to put my headset on every time I want to buy a game my friend tells me about. I love that I can start a game in the headset before I’m ready to play it to warm the headset up and reduce loading times. One thing is missing though: Often, I will find an amazing game in the Oculus AppStore, and I will want to share it with a friend. Unfortunately, either there is not a “share app” button, or it is just really hard to find. Please add a “Share App” button in the Oculus Store! I would love to be able to send my friends a direct link to the cool new game I want them to try!"
5,KingOfOWtlaws,"September 7, 2019",2,"Unable to sort app reviews or access version notes I love using this app as it makes it much easier to manage apps on the Oculus Quest, but with the recent update I no longer have the ability to sort app reviews or access the version + release notes. I like to sort the reviews by most recent for when apps are upgraded so I can get a better idea of how the app is now instead of seeing older reviews. Also, I can’t access the version + release notes for applications anymore either. I use to be able to click on the version + release notes under the app details and see what has been updated on an app. I am still able to do this if I access the Oculus store from a PC so I am using that as a workaround, but it would be great if you all could restore these functions back to the iOS app."
6,Rockytoad,"June 23, 2018",5,"Are commenters trolling?  Easy setup I was reading the comments, and most of the 1 stars are bizarre.  I can’t tell if they are trolling or completely confused to be nice.  (Anyone read the comment about watching Netflix in VR from the app🤔)"
7,cybercookie72,"January 29, 2020",5,Good app that’s getting better all the time I been using the app since it showed up on App Store.... LoL sort of need it for the quest.   And it was a rough start but they have been working on improving it and it’s gotten sooooooo much better. We use the casting all the time so we can help our special needs kiddo play....would love to see some sort of accessibility feature that helps with sight like a zoom for the casting where tapping the screen puts a zoomed bubble next to the finger to help with reading things... thanks for all the hard work
8,Cdeanme,"February 15, 2019",4,"Important problem with battery So, recently my phone has been draining its battery, and I went to check Battery in settings. As the title may imply, it said the Oculus app was eating up /50% of my battery/"
9,A kid who tryed fortnite,"December 27, 2019",5,"Great app! I got a quest and was worried that it would not connect because of the bad reviews on the app and such. However, I was very impressed when I got it! Setup took only ten minutes and got up and running quickly!  When I did not like a game, I asked to refund it and got a refund that same day!  Also you can check the battery life from your phone so I knew when I needed to charge. Casting is great. I played a game while my brother watched and we both had fun! Overall, very impressive with no cons!"
