index,author_name,review_date,reviewer_ratings,review_body
0,schar1111,"August 10, 2019",5,A collectors perspective I’m a serious photography collector and Artsy is invaluable to me.  It’s the first place I go to begin researching an artist
1,No Pasta,"May 14, 2018",1,Not Working I am unable to add any categories other than the only one I chose when I first opened the APP.  (Impossible to return to that page.) Tried deleting the APP and reopening.  
2,Jrrider1,"January 15, 2019",3,"Not as good as before The app was great a while back. Now they removed other features like magazine/news content.  It would have been good to be able to access this news content from the app. You put so much editorial work into it, not sure why you would remove it from being read and to increase readership on that content."
3,Cliffsonly1,"January 1, 2020",1,Devs Loss To the devs: Very unfortunate you get featured in Apple Apps and you don’t feature self representing artists...your loss!  Deleting app...sounds like you have further issues anyway...good luck...perhaps I will redownload if you get it together. 
4,mmmaxie,"April 17, 2020",5,"Great Online Market Source This site is well designed, intriguing and responsive with a minimum amount of stress. All parameters of the art transaction are clearly explained by logical tapping on proffered artwork or prompts. Never was I led down a rabbit warren of twists and turns, unable to return to where I started."
5,EricClampton,"January 9, 2020",5,"Some feedback I love the app, website etc. one thing that would be very helpful is if you could choose a currency to display prices in. While some individuals may have the conversion rate of Swiss francs to usd in their head, I do not."
6,L.Minor,"March 31, 2018",3,What happened to the articles??? I downloaded this app so I could read the interesting content Artsy puts out. But with the latest update I don’t see a way to get to the articles. Please restore this feature so I don’t have to go to the web separate from the app to read the great information you produce.
7,kgl12,"January 14, 2020",5,"My favorite way to discover new artists Using the Artsy app is such a positive part of my day!! I love how it’s organized, it’s incredibly easy to use, but best of all it allows me to discover new artists I haven’t heard of before."
8,Callen1707,"February 13, 2019",1,Can’t access account settings and website doesn’t work I rarely use this app and decided to delete my account after receiving an email from Artsy about a data security incident. I can’t do that because there is no way to access my account through the app. I’ve tried to visit their website but it’s not coming up so I have no way to even reset my password like the email suggested I do.
9,Roy mercer,"July 1, 2018",5,"Very expensive. UX is great and so is the quality of works on the platform. With that said, it's far too expensive to justify the cost. A great up and coming system is called artcloud. Much more affordable and a comparable experience."
10,Estevan M.,"March 3, 2018",5,"♥️ from Contemporary Collective Gallery! The best art experience on my iPhone! Running my gallery (@contemporarycollectivegallery) an online exclusive gallery, Artsy is crucial for reaching a vast audience of art enthusiasts and artists!"
11,truffleoink,"September 25, 2018",3,How to read articles? I love the artsy app but every time I try to click on an artsy link from Facebook/my browser it launches the app but doesn’t open the article. Unless I can’t figure it out there’s no way to read the articles on the app. Gave up on many articles because of this
12,zbaid,"September 26, 2018",5,"Love Everything but... Absolutely love the content, layout and functionality. Only thing I would like to see is a way to request artist to be added"
13,meeshu13,"October 15, 2018",2,"Facebook articles dead end in artsy app Every time I click on Artsy article in Facebook to read it, it automatically goes and opened my Artsy app but never takes me to the article. Just takes me to my feed of the artist I’m following. So annoying! I basically have no way of reading any articles unless I open on a lap top."
14,Suzannatouzet,"March 28, 2019",5,"Wow Absolutely love the new city guide. This is exactly what anyone interested in seeing arts needs!!! I’m obsessed with maps too, so having them together is the best. Thank you!!!"
15,Yoniben,"July 6, 2019",4,"Enjoyable I enjoy getting updates on artists and their work.  Most items are beyond my price range; or so my wife tells me, however there are pieces I’d love to own.  However,  I already have so much artwork, I’ve no place to hang new pieces. "
16,D.J.Rufus,"January 7, 2020",5,Indispensable for art lovers Easy to discover and buy fine art from famous and emerging artists.   Like having every art fair in the world in your pocket.
17,sh$/ nickname,"April 28, 2020",3,"Magazine Format? I just updated after ages. The old app still worked, and the home was a magazine format with possibly articles and complications, but also large format pictures. Where did that go? It was visually very interesting."
18,TafOnTaf,"March 1, 2020",5,"Artsy is the Future of the Art World Whether you are an established or new collector, or if you’re simply an appreciator right now , Artsy is the one-stop-ship for your digital art appreciating endeavors."
19,Sooj.,"January 10, 2020",5,A great way to find out what is going on near me! A great way to find out what is going on in walking distance to my current location.
20,gadgetsguru,"May 7, 2018",1,"Absolutely useless! First, they expect you to create an account. I’m not even sure I like the app yet. I used a fake email and name. Next, the reason I downloaded the app in the first place - to try it out on my walls with VR - doesn’t even work. The lighting in my room is about as good as you can get, and this can’t detect my walls. Lame. 👎"
21,Francob63,"May 18, 2018",1,Unable to submit artwork to sell Was excited that App offered a way to sell art. Submission page asks to choose artist and it will not save selection. Asks to choose location of art and it will not save selection. Thus always fails on submit.
22,buttered jam,"December 14, 2018",5,How I stay arts-savvy! Following my favorite emerging talents lets me stay connected to the art world and make smart investments. Love the alerts when new works are added!
23,LJAlbers,"February 26, 2019",3,"Data breech issues The recent data breach prompted me to reset my password, but now I have lost data from previous email correspondence as well as art pieces that I was following"
