index,author_name,review_date,reviewer_ratings,review_body
0,dcmsanto,"April 4, 2020",1,"Crappy CUSTOMER SERVICE! Crappy is an understatement! Air BNB is horrendous. Yes, I understand the influx of customers wanting refunds due to the Coronavirus pandemic. However, all of these customer’s should receive their money back. The option of travel credit is also not what I want. They are making it so difficult to get my money back in return because I haven’t given “proper documentation.” That is completely ludicrous! I have sent them documentations of my working in the hospital and my employer stating travel restrictions due to risk of contaminating patients with the virus. I’ve also sent them documentation of my flight being cancelled. My flight and other activities did really well in customer service and being able to return my money in full. But AIRBNB has been so difficult to work with. They have no common sense at all! They are still giving me a difficult time with getting my refund of my money to my card. They instead want to trick you into getting a travel credit for future reservations. Due to their lack of customer service, I told them I don’t intend to make future arrangements with AIRBNB. But they are dragging this on to the point where it’s close to my reservation date. All I want is my money back. I also fall under the extenuating circumstances category, yet still they have been so difficult to work with. And I don’t know what to do. They are really just off to steal my money."
1,Sam Battle,"August 31, 2019",1,The worst service ever!!! Hotels are way better! First off it takes forever for Airbnb support to get back in touch with you. I dealt with a place INFESTED WITH SPIDERS! And it took DAYS to deal with customer service for a solution. They then wanted proof and I sent a pic of one spider and they said it was NOT ENOUGH EVIDENCE! Then I sent 4 pics of 4 different spiders and THEH CLOSED MY CASE WITHOUT A RESOLUTION! A hotel would NEVER make a guest prove an infestation to change rooms!!!!! And they wanted me to talk to the host about it like I want to confront someone about their spider infestation in Their home! Thats not my place! I paid hundreds of dollars to be comfortable!
2,$@h67,"December 24, 2019",1,"DO NOT RECOMMEND THIS APP!!! I had the worst experience ever! Every year my family makes plans to go out of town to celebrate Christmas, this year we decided Orlando, FL. I heard about AirBnb and decided to check it out. I reserved a house for December 27-January 2 and reserved it on August. I get a text a week before the trip saying the host canceled the reservation. The host didn’t let me know the reason and just canceled. I try contacting the host and he didn’t respond to my calls and text. I call customer service and they tell me it was an emergency and that my money is going to be refunded in 5 to 10 business days. They didn’t give me an explanation at all. I decided to get another house that was $1000 more, but I was ok with it since I had everything paid for and family from another country was coming. 2 days before the trip I get a cancellation message again about my reservation on the new place. This host was decent enough to tell me that he canceled due to the days I reserved for were already booked. Apparently Airbnb showed available rooms that were not really available. Called customer service and they didn’t give me any solutions, just sent me listings of places that were already not available or $5000 more in price. Give me a $200 coupon like that was any help at all. I’m never using this app again and I recommend you do the same."
3,Hoodoo2,"January 14, 2019",1,"Ridiculous So I signed up and attempted to book for the first time about a year later. In the mean time I had canceled the credit card I signed up with. So I attempted to book but it failed because of the credit card. I got an email, a text and a message through the app telling me it failed. I clicked the link in the email which opened the app but there was no indication of how or where to update the credit card. I finally found it, not in account settings, but (strangely) on the page of the failed booking. There was no option to remove a payment method nor to update a credit card. However there was a button to add a new payment method except the feature would not load. I just got the white page and the little animated dots. I tried restarting the app, restarting the phone, updating the app, and tried it on WiFi and cellular all over the course of about 12 hours. Nothing worked. So I logged into the website. There I found an option to delete a payment method but incredibly there was no option I could find to add a payment method. So I contacted customer service. The replied to my message at 4AM the next day but gave me no helpful information. I replied, but didn’t hear back from them for three more days. By then I had already booked with a normal hotel which, of course, was no problem. Good riddance Airbnb."
4,Dustpal,"March 5, 2018",1,"Why yes, I would like to stay 30 minutes away from my destination Something is wrong with the search engine airbnb uses. I put in a City and great, there's like 800 places to pick from. Problem is that most of these locations are 30 minutes away from where I actually want to be. As a traveler, this is mostly inconvenient. So then you have to waste your time checking through each posting to see which one is actually close to where you want to be. Please add a distance filter from the city center to fix this mess. Other room finding applications know how to manage distance, so airbnb is way behind."
5,Ashley K05,"August 13, 2019",1,"Don’t stay with AirBnB I am very disappointed with Airbnb. We had an ant problem in our house, and when I tried to resolve it with the host, she turned on me and blamed us. She said she went above and beyond and that is just not true. Since we didn't think to ""document"" the ants, Airbnb took the hosts' side of the conversation. That is so wrong and has made me never want to use Airbnb again. While the host insulted me as a person and said I was too demanding and minimized what actually happened, Airbnb was no better. They said they had to side with her because I had no pictures. I am sorry but who thinks to take a photo when your hand is covered in ants, and you are just trying to make sure they aren't all over everything you own, which for the record they were. They were in the bed, on my retainer, glasses, clothing, etc. It was one of the most disgusting things I have had to clean. Yes, that's right, we had to clean it because the owner didn't believe in taking a more drastic measure to clean then Windex. Airbnb's customer service was no good either. They made it seem like they empathized with me when they called to hear more information and that they were so sorry, yet they did nothing to rectify the situation. I will never stay with them again. Beware, if anything happens - DOCUMENT IT ALL, otherwise your words mean nothing."
6,Leaux3,"November 14, 2019",1,"Worst customer service ever Let me start by setting the scene.... I am 4 months pregnant and I have a 4 year old son. My fiancé’s bday was the other day and he had to travel to Miami for a work trip so we made a family weekend out of it. The hotel we were staying at was over booked so we decided to try to use Air B and B to find something cheaper that was still local. Downloaded the app, set up a profile and picked a place. Confirmed it and were excited out our new reservation. Not even 15 minutes later we get a message saying our reservation was canceled. Called the hotel and they said the never received the payment so we need to contact air B and B. I contacted them and the lady “couldn’t give me any info” so we waited for a “case manager” to call back. A couple hours later a women who spoke extremely broken English called and said they were sorry they have to cancel the reservation but we broke the terms and agreements.... which I don’t know how when we literally set up the profile properly and verified everything! And booked a place AND THEY TOOK THE NEARLY $200 OUT OF OUR ACCOUNT!!!!!!! They would NOT give us a further explanation at all and the lady would not work with us at all and HUNG UP ON ME! Needless to say they put us in an extremely tight bind and we will never use this app ever again. Beware! Seems pretty scamish."
7,sea225,"June 15, 2018",4,"So far it’s been good, but needs a little work! So far it’s been good, but still has some work to be done On the app ect. sometimes the app crashes or takes a while to update. I get messages way later like a day or 2 later on guests asking me questions. I did notice that it has not been sending the check In information to the guests so they get trapped out side the gate for a while because the messages don’t come in to my phone right when they message. Also I’ve been getting guests having a hard time keeping the booking I get them confirmed and then a day later it’s canceled on them. Guest call me a lot trying to figure out how to book. Maybe make the booking a little easier. Also if you are in a state that they pay the tax for you make sure to look in to it cause they only pay the state tax not the city tax. Wish they could pay that also each quarter for me. I give Airbnb over all a 4 cause it’s good just not yet a 5 yet. Work on app a little more and maybe put a system in that is like doc u sign. that way it just automatically sends the booking waver that we need each guest to sign so I don’t have to do it manually."
8,es-py,"December 25, 2018",1,"Do Not Do Business With This Company My family and I are stranded in an unfamiliar state thanks to Airbnb and their unwillingness to correct their mistakes. Thank you for allowing us to book a condo under construction. Thank for allowing us to find this out after thousands of dollars of airfare, time off and hours driving to the booking. Thank you for failing to send any emails or messages informing us of this issue. Thank you for acknowledging the mistake and shooting down any attempt to accommodate my family by booking us a similar listing even though similar listings were available on your app and website. We were forced to deal with horrible customer service representatives. If anyone at the company is reading this please invest in some workshops/training idk maybe a Christmas bonus or something because dealing with your representatives took this experience to another level of frustration. I would not be sitting here writing this essay if it wasn’t for the young lady I had the pleasure of speaking to last night. Thank you for this experience Airbnb! Who would have thought opening Christmas gifts in rental cars would be so fun! And thanks for the great advice of finding a hotel to accommodate 6 adults on Christmas Eve for 8 days in Orlando. The amount of options were plentiful!!! Thank you! Merry Christmas from our Ford Explorers."
9,ehowle,"August 30, 2018",2,"Cancellation by host Was recently cancelled on for one of our trips. There was absolutely no recourse. I went to your q&a and found out you have a pretty strict set of rules for canceling on the host, but no real strict set of rules on hosts cancelling on guests. This is absolutely horrible. The host only loses the cancellation. The guests lose all that they had invested in the trip - airfare, other places to stay, any reservations and down payments on things like prearranged things or trips such as boating, kayaking, entry fees, etc.  Also I could not leave an Airbnb review on the host. This is absolutely uncalled for. Both the host and Airbnb need to know the consequences of this action. And others need to know that the host cancels on guests.  Airbnb really needs to rethink this policy. If a host cancel, they should be responsible for any costs that the guests incurred. I have heard that hosts will cancel if they get a higher rental fee. Don’t know if that happened to me, but that should absolutely be forbidden and if one cancellation occurs, the host should be moved to the lowest ranking. They must be discouraged from doing any cancellation.  They have to be running this like a business. The excuse I got was the host had to leave town and could not find someone to clean it before the last guest before me. Really poor excuse!!"
