index,author_name,review_date,reviewer_ratings,review_body
0,Steve Vogtle,"April 30, 2020",4," This app does virtually everything o want it to... and more. I am NOT a technologically gifted person, but learning to navigate through it was doable most of the time. Recently, the date on my widget does not reflect the current date. It's stuck on the date 3 days ago. When I press on the widget to ...Full ReviewThis app does virtually everything o want it to... and more. I am NOT a technologically gifted person, but learning to navigate through it was doable most of the time. Recently, the date on my widget does not reflect the current date. It's stuck on the date 3 days ago. When I press on the widget to move it the current date pops up. When I release it goes back to 27 (it's now the 30th). If it can't be remedied I may need to switch to another app. I utilize my phone for such info daily.l"
1,Jeremy J,"April 29, 2020",4," Editing the calendar used to be easy but now it doesn't give me the option to modify the single event in my recurring events without altering all very disappointed Update * After a month the issue was resolved the only thing I did was delete all my past edits and I haven't had the problem since. So ...Full ReviewEditing the calendar used to be easy but now it doesn't give me the option to modify the single event in my recurring events without altering all very disappointed Update * After a month the issue was resolved the only thing I did was delete all my past edits and I haven't had the problem since. So because that I would have to say the calendar is ok. Now if we can just make an event ""checkable"" like something off a to-do list, were checking it of also changed the color to show completed. Thx"
2,Nomathic,"April 30, 2020",1," I don't understand what goes through the mind of these developers. On the desktop app you remove the reminders option and keep the tasks option, on the mobile app you keep the reminders option but don't have lists any tasks from the desktop version ""because there's a separate google tasks app"". Make...Full ReviewI don't understand what goes through the mind of these developers. On the desktop app you remove the reminders option and keep the tasks option, on the mobile app you keep the reminders option but don't have lists any tasks from the desktop version ""because there's a separate google tasks app"". Make up your mind. If you're going to have something to seperated events at the very least have them able to be viewed on both desktop and mobile. What is the point in what you're currently doing?"
3,Frances Ellison,"April 29, 2020",3, My notifications for my Outlook synced calendar (not sure if my Google calendar events are also having the same issue yet) have suddenly stopped working. There doesn't seem to be any troubleshooting info on this either. I tend to rely on my Calendar to keep me organized and plan my week so any help ...Full ReviewMy notifications for my Outlook synced calendar (not sure if my Google calendar events are also having the same issue yet) have suddenly stopped working. There doesn't seem to be any troubleshooting info on this either. I tend to rely on my Calendar to keep me organized and plan my week so any help would be greatly appreciated
4,Laura M,"April 12, 2020",4," I love my Google calendar, but I have a criticism one of the more recent updates. After moving an event to a different day, it no longer toggles back to the day you were on. For instance, if you want to move an event from Sunday to Monday, it stays on Monday. It sounds like a small deal but it used ...Full ReviewI love my Google calendar, but I have a criticism one of the more recent updates. After moving an event to a different day, it no longer toggles back to the day you were on. For instance, if you want to move an event from Sunday to Monday, it stays on Monday. It sounds like a small deal but it used to toggle back and now I start wondering why stuff I have done (Sunday) isn't done. Could be it is only affecting me but wanted to mention it."
5,Adel Omar,"April 14, 2020",3," Hi I think there are few important features that the app don't have yet. 1. In other calendar I used before, when I want to add new event it gives me option to select from history and my contacts. It's too important 2. Can't edit an event period after adding it, by dragging the start or end of the e...Full ReviewHi I think there are few important features that the app don't have yet. 1. In other calendar I used before, when I want to add new event it gives me option to select from history and my contacts. It's too important 2. Can't edit an event period after adding it, by dragging the start or end of the event line in the schedule view. 3. ""Go to"" option, if I look for far date in the past or future."
6,Andrew Tippett,"April 16, 2020",4," Almost perfect.... I've always used this app and really rate it as extremely simple to use and as such very effective. BUT, the regular issue with it is that default reminders cannot be saved to raise a notification on the event time.... there is a way of setting up a default notification to happen ...Full ReviewAlmost perfect.... I've always used this app and really rate it as extremely simple to use and as such very effective. BUT, the regular issue with it is that default reminders cannot be saved to raise a notification on the event time.... there is a way of setting up a default notification to happen 0-minutes before the calendar event (so that new calendar entries can be assigned such a notification), but this default seems to clear almost after every app update. Please fix! Thanks."
7,William,"April 20, 2020",5," Google, great app. Interface is easily navigated, organizational tools are easy to understand. It can be synched to virtually any and all calendars I believe. If not correct me if I'm wrong, but, I'm almost 💯% thinking it does. It has several different looks types of skins you can choose from, like...Full ReviewGoogle, great app. Interface is easily navigated, organizational tools are easy to understand. It can be synched to virtually any and all calendars I believe. If not correct me if I'm wrong, but, I'm almost 💯% thinking it does. It has several different looks types of skins you can choose from, like monthly, weekly or a daily list. Looks good, has reminder settings. 👍👍👍👍👍thumbs up along with them 5 Stars. That will be $5,000.00 dollar please. Yeah I know, checks in the mail. Hahaha..."
8,Ibra Salawu,"April 25, 2020",2, The app functions well but I don't understand why you can't set an alarm (a proper alarm as reminder) instead it comes as a message notification or email notification. This is not effective because I receive a lot of messages that comes as notification as well. Most times I miss my events on the cal...Full ReviewThe app functions well but I don't understand why you can't set an alarm (a proper alarm as reminder) instead it comes as a message notification or email notification. This is not effective because I receive a lot of messages that comes as notification as well. Most times I miss my events on the calendar. I'm not impressed. This function should be developed.
9,Wm. Scott Conway,"April 20, 2020",2," This app is a decent app. My only issue with it is that I cannot make it sync. Events I create on my phone will not show in a browser, or on another Android device under my account. I have scoured the internet looking for a solution. Lots of people seem to have it, with no universal fix. So many say...Full ReviewThis app is a decent app. My only issue with it is that I cannot make it sync. Events I create on my phone will not show in a browser, or on another Android device under my account. I have scoured the internet looking for a solution. Lots of people seem to have it, with no universal fix. So many say that ""clearing the cache"" will do it. First, I cannot find the cache on my device under that app. Secondly, in so doing, wouldn't I essentially lose my events stored on my phone. And thirdly, I shouldn't have to do this. Google, a bajillion dollar app developer, should be competent enough in their field to create an app to maximize the convenience and ease of the user experience. This needs resolved. When a task, event, etc is created on my phone, I should be able to walk over to my computer and load up Google Calendar in Chrome, and BOOM, there it is. You know, when I post something on Facebook with my phone, I can walk over to my computer and see my post. Heck, when I send an email in GMail, I can walk right over to my computer and see my email. Why is this so complicated? Why is proper and easy synchronization of services Google's proverbial Rubicon?"
10,A Google user,"April 25, 2020",5," Updated Review: Still 5 stars as I love this app, but I would love to see Tasks in my mobile Calendar as I can in the browser version, listed at their times on each day. EDIT: Issue fixed! Thanks Google. ORIGINAL ISSUE: Not updating properly, not showing the full info shown on the browser version."
11,Maii Arts,"April 19, 2020",2," It's a good calandra to use, but it is not good if you use multiple calendars...I cannot get rid of my android calandra dates from Goigle calandra without it disappearing from my android calandra...I have tried unsyncing them and it does not work...there needs to be a way I can take off calendars fr...Full ReviewIt's a good calandra to use, but it is not good if you use multiple calendars...I cannot get rid of my android calandra dates from Goigle calandra without it disappearing from my android calandra...I have tried unsyncing them and it does not work...there needs to be a way I can take off calendars from Google calendar without affecting the other calendar."
