index,author_name,review_date,reviewer_ratings,review_body
0,James Brooks's iPhone,"March 26, 2018",3,"It’s great if you had nothing To start Out this app is pretty decent. If you get all the apps that integrates with this app then your off to a go start ,.... but if you already have other apps that do what this apps does.. like tells you what your heart rate is or was at a certain part of the day ( apples health app, under Armour record), or tells you where you were through out the day ( google maps, Facebook, yada yada yada) , or even take selfie pictures ( instagram, Flickr, Facebook) then you might want to hold off on getting this one. I’ve had it for about two weeks trying to get into a swing of things with it but just can’t. If I want to see where I was I have to go to another app that is supposed to work well with this app” moves” but if you didn’t save a location on that app this app don’t know where you went. If you didn’t record a work out then this app doesn’t know you worked out unless the other apps you save a workout in recorded a workout which then saves it to the health app then tells this app that you worked out ... and the list goes on. As I said this app is decent but not great. It missing so much of what I’d like to see this app have so I could use it as an ALL IN ONE app. Maybe down the road if this app and Company use the license or permissions to use other apps like apples health app or UA’s record app then maybe this would be a great warm almost perfect app to use but not till then. Is missing a lot of links."
1,Evilkow,"May 15, 2018",2,"Way too many bugs I really want this app to be great, but it simply has too many bugs. The app freezes up on a daily basis. It has trouble importing data from Apple Health. At the moment, I’m still waiting for step counts to update from yesterday even though I see the total in Apple Health and Garmin. Pull to refresh, and nothing happens. The sleep tracking is poor as well. I wear a device that tracks sleep, but for some reason, Gyroscope thinks it knows better and modifies that data with its “Sleep AI” making it incorrect. Location tracking is horrible too. I am connected to Foursquare as well as Gyroscope’s own location tracking, but if Gyroscope’s location tracking is turned on, it completely ignores the Foursquare data. Oh, and it has the same problem refreshing data. At the end of the day, it will often still show that I’ve only been at home in the morning. "
2,Angie(MillerTime),"March 20, 2020",1,"Bad business w/ no integrity I had this app for at least a year and really liked it. It didn't exactly have mind blowing features or anything, but still, it was nice to use. Just a few minutes ago I got a notification telling me that, after at least a year of using, I now need to pay them to keep using it. At all. So stupid. Apparently, they couldn't give two craps about their customers. Now, just like all the other idiot app devs, they are jumping on that seriously dimwitted subscription service, not even offering a limited free version. And even though they make it look like it's so fancy and does all these neat things, here on the app store, don't be fooled. Honestly, it's just a data and location tracker wrapped up in fake fancy packaging. So unless you like paying your hard earned money to a bad company that has no integrity and couldn't care less about you, just about how much they can get you to give them out of your wallet, and for an app that basically does and tells you the same things other actually FREE apps do and tell you, no less, then go ahead. Break out your wallet. You enjoy handing over your money for a useless app that does nothing for you except aggravate the heck out of you and frustrate you to no end. Me? I'm deleting this ASAP."
3,travlcas1,"January 20, 2018",5,The customer-hostile App Store obsession with subscription pricing is at its 100% worst here. Gorgeous data aggregator.
4,sgmiller,"April 12, 2020",5,Continues to improve This app has improved significantly over the last months and I am very happy with the direction it is taking. I had ranked it down based on poor sleep tracking but this seems to be working now. It is unique as it is the only app that I know of that seriously tries to integrate all of the various health information coming from Apple health. The relatively new health score is a great addition which makes a possible at a glance to see where you need improvement.
5,Mpillegi,"April 19, 2020",3,"The cost x benefit is nothing interesting Just in a time of crisis, not offering a free version anymore, is almost begging for a negative review.  I've been a subscriber twice, and I haven't really found a plausible justification for renewing.  The data seems to be more useful for the owner of the application than for the users, as it is not possible to take personal notes to learn from the mistakes and successes that the data point out.  The cost x benefit is nothing interesting.  I suppose the app had 1 paid user for every 10,000 free users and the decision seems to have been to get rid of free users, instead of trying to practice more affordable prices on a larger basis.  Anyway, despite being the best-designed app among thousands I've ever seen, it failed to make the complete transition from superfluous, to something essential in the day-to-day life of a person looking for improvement. "
6,Eternal Babybear,"July 28, 2018",3,"Much Improvement Needed With Facebook shutting down Moves, I’m looking for an alternative movement tracker app. I’ve been using Gyroscope for almost half a year. I downloaded it at first to analyze my Moves data. However, the free version of it didn’t seem to offer too much insight of my daily movement. It has nice graphics, though."
7,Dicksyatt,"September 14, 2019",5,"I’m very impressed The customer service is excellent. Very fast and patient. Before I linked my other apps and devices I was not impressed. But I have it talking with Apple Health, Oura Ring, QardioArm blood pressure, My Fitness Pal and others. Now, I can’t say enough how much I love the app. I’ve not experienced this with any other app but there are so many features that seem to appear every time I open the app. It’s very rich in content. It’s expensive, but so far I think it’s worth it. I was about to subscribe to Sleep Cycle for $30 a year but that’s just sleep. Gyroscope logs my meditation, work outs, food with pictures and breakdowns of each food. My life in one place. I’m recommending it to friends"
8,Mutty234,"April 15, 2020",2,App is getting much worse It's been really sad to experience the changes in the app lately.
9,Rretzler,"July 17, 2018",1,"Awful without Moves data I subscribed to the pro version as I knew that my favorite location tracking app, Moves, was going away. I’m very disappointed in Gyroscope- many times it doesn’t even record that I have left my house even when I have gone 25 miles across town and stayed for over an hour. As far as my sleep tracking  - it is ridiculously off as well. Bedtimes are incorrect as are times I get up. Frequently it recorded me still being in bed when I had been up and around with my phone in my pocket for a couple of hours. It doesn’t do a good job for what I wanted it to do and I wish I had not subscribed or could get my money back.  Unfortunately the things that I wanted to track were not available in the free version so I had to subscribe. Frankly I would not even keep the free version for all the errors the app has - it is certainly not worth the subscription price."
