index,author_name,review_date,reviewer_ratings,review_body
0,Krahnin,"September 26, 2019",2,"Good App, Few Suggestions Update: Dropping this to two stars. All of the below still stands true. I have the lovely added benefit that whenever my car goes to sleep, the widget used to display “asleep”. Now it displays an error icon and says “please open app”. This has been an ongoing issue now for months."
1,s_b_3,"November 5, 2019",2,"Lousy solar app This is a review of the solar energy tracking part of this app. I don’t own a Tesla car. The app works, so I have to give it more than one star, but that’s about it. It has three major problems. First, while it has options for showing energy data on a year, month, week, or day period, when you select one of those options it brings you to the current day, week, etc. If you want to see data from 2 weeks ago, you have to view the current week, then hit the back arrow to go to the previous week, wait for it to get and display the data, and then hit the back arrow again. Repeat as necessary. Suppose I want to see the data for the summer equinox 2 years ago, I repeat these steps some 700 times?! "
2,Model 3 Mike,"February 23, 2019",5,"Great app, keeps getting better Tesla keeps improving my driving and car management experience regularly, through this app. Being able to adjust and readjust the climate remotely from my phone, including individual seat heaters, defrost, cabin temp, has been great this winter. Being able to remotely open the two trunks and charging port, flash lights and horn, etc., is nice to have when you want it. Being able to schedule a service appt, control the charging sched, map out nearest superchargers, and find pretty precisely where my car is at the exact moment, is really convenient. Only issue is the time it takes to “wake up” (connect from the app to the car), while it is only less than a minute, takes longer than I would like. When I’m standing in my house next to the router and the car is 20 feet away, also on the router, I would think it would be almost instantaneous. Would really, really like to be able to remotely activate any/all cameras and see the view from my phone. Thanks, Tesla!"
3,zephry0222,"October 9, 2019",1,"They took away the solar city app You took away a functioning app that provided us with useful tools to monitor our solar systems installed in 2 homes.  Also had the ability to make payments.  You forced us on to this app where only one home can be monitored, to a very limited degree.  Can’t make payments.  Can’t get assistance.  Forced into a website, that still gives no detailed information on the system in order to make a payment.  Why would you take away a great tool and replace with something that is of no benefit.  If you haven’t noticed, the world runs on apps."
4,Tech_hed,"September 30, 2018",5,"I don’t have any problems that these others are My experience has been great with no occurrences of issues that others leaving bad reviews mention. I think it is very device and location specific, meaning phone make/model, cell tower connectivity between phone and vehicle, WiFi/internet service (if involved in the connection equation), and potentially needing to reset the mobile phone altogether. Specifically, I have never had username/password/logout issues, so it can’t be the app is poor or my experience would be consistent with theirs."
5,Two year owner,"November 26, 2018",1,"Worse after v9 When I plug in the car to charge I no longer get a message saying charging scheduled for 11 PM or whatever time you set up for.  it just says charging stopped. Therefore when I go to sleep I have no way of verifying that my charge is set and ready to go like i used to.  Also, I no longer get an error message that the cord is plugged in incorrectly or there is a fault or whatever might impede my charge that is going to start a couple of hours after I go to sleep. The old app gave that info which you could check at a glance before retiring for the night. This is quite a downgrade from your previous version which gave all of that information and more. If you’re going to start annoying people with updates that take away actually useful features in the real world, you’re just like every other tech company. Now just to be sure I don’t wake up in the morning without a church I have to manually start my charger at about 10 PM before I go to bed confirm that it’s charging correctly and then go to sleep charging when electricity still very expensive rather than starting later in the middle of the night. Thanks Tesla."
6,DocStitz,"September 9, 2018",3,"Heavy background activity and battery use even with “Background App Refresh” off I’m a new Model 3 owner, and have been using this app for a 8 days. I like the convenience of the effortless lock/unlock functionality the Phone Key option offers. The ability to control so many of the car’s features remotely is great too. But something seems a bit off with this app’s background activity."
7,WALL-E3000,"May 7, 2019",5,"Sentry Mode Request Sadly, our Model 3 got backed into while parked overnight, and unfortunately, that was the one night we forgot to activate Sentry Mode. Fortunately, the other driver left a note but that could have easily resulted in a hit and run with no info on the driver."
8,NCJohn,"January 4, 2019",3,"Phone-as-key needs more flexibility As a I write this, key fobs are sold out. They are a bandaid fix to this issue anyway that I am guessing can be fixed with software. "
9,afgoody,"February 7, 2019",3,"Good not Great I like the app, but there is room for improvement:"
10,rich1383,"March 8, 2018",2,"No notifications! I’ve had the Powerwall 2 since it came out. [We have no solar as we live in a condo.] However, as a back up for the frequent power outages we have in the Northeast, it has been great. Fallback to battery is silent, seamless, and usually not even noticeable.  But that’s my big complaint: there is no text message or notice of any kind from the app notifying you of the fact it is running on backup power. Yesterday, we ran on the PW for 3 1/2 hours and I never knew it!  In previous outages it was the power company text notification that let me know the power was off in our area.  Hence the two star rating for now (and because it is so easy to fix!).  Tesla: PLEASE fix this simple issue! We need to know if we should be conserving power, such as not running the dryer or a/c.  For solar owners it may need to work differently, but just make it an option."
11,asegar,"March 23, 2018",2,"No indication that we’re running on backup power! When I purchased our Powerwall I specifically asked whether there was a way to be informed when our utility power failed and we were running off the Powerwall. I was told the app could be set up to send a text message/email when utility power was interrupted. Now our Powerwall is installed, I discover that this alert system has been removed “because there were problems with it”."
12,acasasola,"April 28, 2018",2,"App shows Phone Key Disconnected This is a constant issue that I’ve been experiencing.  In fact, I took Delivery of my Model 3 on April 24, 2018 and while doing so they couldn’t get my phone to work with the car.  They told me that I may have to drive my car and it will, at some point, begin working.  This is far from the truth.  The issue is that the app at some point drops communication with the car.  If I understand correctly this communication is done by Bluetooth.  The only way the app is able to reestablish connection with the car is by rebooting your iPhone.  Taking this action has worked consistently.  This option, while some may think is easy, is not a good a good option.  For one thing, if you have an iPhone 8 or 8 Plus, restarting the iPhone takes a few steps.  You have to hit Volume Up, Volume Down, Press and Hold Sleep/Wake button.  Please fix this!"
13,WJZA,"November 2, 2018",5,PowerWall2 + 9.0 Model S Update Update!!! The Tesla team has done it again!!! They had tweaked the recent update and now I have Zero complains!! AWESOMENESS!!! 
14,<krs13>,"February 13, 2019",4,Good app but there can be improvements Like the app overall but there are 2 things I think the developers so consider;  1) Adding  a button in the climate control to shut off heated seats.  I have read it is possible to shut it down but holding onto 1 of the seats for a few seconds but so far I have not been able to get this to work.  I don’t use heated seats at all and to shut each individual one off every time in the app is cumbersome.   2) Setting charge time in the app.  This would be a nice feature as I change my battery limit and time almost daily.  I find myself walking to my car too often just to confirm I would have the correct power level for the trip next day.  It would be much more convenient to be able to set both time and battery level in the app.
15,hdc1388,"March 23, 2019",5,"Love the app! In the world we live in today, who doesn’t love having the control of everything right at your finger tips? Love that I can use the app to control the garage door as well, it saves from having to install a wireless connection for it and use a different app for that feature, so it’s awesome that you can do that. What I would like to see is the option to add or remove the widgets on the main screen, right now it has the A/C, frunk, and locking widget. Being able to add the trunk as an option, or turn on sentry mode since it’s not a default, or the garage control, would be an awesome update. Also I want to be able to access the additional camera views, after all, I did just spend over 50k on the car, you’d think I be able to use fully what I purchased"
