index,author_name,review_date,reviewer_ratings,review_body
0,Taja1969,"December 4, 2018",3,"Love the access of important information All I can say is, it’s a great tool for any business that utilize social media platforms and the instructions are very helpful. However, it would be great to have an option to contact support in case there is some obscurities to steps of set up and setting up correctly. Some of it is really overwhelming; due to it being a continuing learning curve.. if there was an actual issue or problem... it’s nice to reach out and have a person walk one through this integration."
1,BIG IRV 23,"April 6, 2020",5,Excellent program when you learn how it works for your business! Excellent for keeping informed on how your ads/post are performing. In depth statistical data to track your business on Facebook.
2,"""Relay""","December 19, 2019",5,"All Business must have Hello,"
3,Exotica1610,"January 18, 2020",5,"Every Business Owner Should Have I love this app, I am able to create ads, see analytics, easy to use, and gives great insight on how your ad is doing. Every business owner who is running a"
4,uugcigskc,"April 2, 2019",5,"Hamdy The only thing I would say to the developers is to make sure all of the metrics are clearly visible. There is one that you can’t see, not a big deal, other than that is great app"
5,LCREALTOR,"November 19, 2019",5,Great App and tool I’ve enjoyed this app. Very easy and quick to be able to see stats quickly and the simplistically of it.
6,Flaev Beatz,"August 22, 2019",5,Accurate This helps me to know what is really going on. Accurate data for marketing purposes. Thank you!
7,ClaytonSalzman,"September 7, 2019",5,Great! It seems like it will be better once I have more experience with my page.
8,Zombatron89 :),"November 16, 2019",5,Nice App! I enjoy having access to this information away from my desktop! 👍👍👍
9,Jcsacto,"November 3, 2019",5,So far so good I like that it feeds me data on my app almost instantly. It’s evolving still but like where it’s headed.
