index,author_name,review_date,reviewer_ratings,review_body
0,S4Adventures,"December 5, 2019",3," Cool app, but not accurate. App is reporting AQ at 98. I live in Salt Lake City, Utah. Our air quality is between 150-190 depending on which part of town your are in. Even our news is reporting it in the 150's at least. It is only pulling data from one station, probably the state run one that isn't ...Full ReviewCool app, but not accurate. App is reporting AQ at 98. I live in Salt Lake City, Utah. Our air quality is between 150-190 depending on which part of town your are in. Even our news is reporting it in the 150's at least. It is only pulling data from one station, probably the state run one that isn't maintained properly. We pull our data from Purple Air's website/sensors locally. I love the concept. People here do not take this seriously, and this would be a good tool to drive the point home."
1,akanksha dwivedi,"November 11, 2019",2, There is something wrong with this app. Me and my sister checked AQI on different phone's but same location and results shown different.How it is possible ?. I think they should focus on this problem and remove asap.
2,Zach Anderson,"November 14, 2019",4, Interesting information and everything but why does it cut all of my audio volume in half while it's open?
3,UTKARSH SHARMA,"November 15, 2019",5, Works good with GPS But can't locate other locations on the search.
4,Mark William Despi,"December 11, 2019",5, Air quality is presented in an easy to understand way.
5,KUNDAN KUMAR,"November 9, 2019",4," While I like the concept, because this is how a laymen can relate to the severity of the pollution. I have a suggestion though. To get more accurate daily, weekly and monthly numbers, just keep the aggregating for the pollution level data on the device for the current location (and any saved locatio...Full ReviewWhile I like the concept, because this is how a laymen can relate to the severity of the pollution. I have a suggestion though. To get more accurate daily, weekly and monthly numbers, just keep the aggregating for the pollution level data on the device for the current location (and any saved location in case user is interested in that) and use it to calculate the values."
6,Yusuf Imran,"October 29, 2019",5, Great work. It will help to raise public awareness about pollution. 5 stars for the effort and ingenuity. Interface needs improvement. There should be an option to manually enter the AQI (like AQI measured by a portable device or purifier). The app should also show trends over weeks/months. Currentl...Full ReviewGreat work. It will help to raise public awareness about pollution. 5 stars for the effort and ingenuity. Interface needs improvement. There should be an option to manually enter the AQI (like AQI measured by a portable device or purifier). The app should also show trends over weeks/months. Currently it just multiplies the todays value by number of days for weekly/monthly calculation.
7,Stefan Vučković,"January 22, 2020",3," Very nice idea, but app gets ""confused"" with GPS and at the end I couldn't get location at all, had to manually enter place. Despite GPS (high accuracy) enabled."
8,Paul Hastings,"December 9, 2019",4, Would be nice if there was an option for metric system.
9,Tudor Cohea,"September 18, 2018",4, It is an interesting concept which provides useful information regarding the toxicity in our neighbourhoods. Funny smart and inteligent but only to some point. Then it starts to be tidious and boring
10,Bryan Walsh,"November 18, 2018",2," Splash screen has a loop on the latest update. Clearing app data doesn't fix it, currently unusable."
11,A Google user,"November 18, 2018",2," The app is totally broken with the recent update. Module AppRegistry is not a registered callable module, after a splash screen bootloop."
12,Luke Bob,"February 28, 2020",1, App keeps crashing
13,Tushar Jain,"June 27, 2019",5, what a brilliant app. looks cool and works well. I have even cloned it from GitHub 😀
14,데릭피코너,"January 12, 2019",1," First of all, what a dumb name. This could be educational for kids, but you name it a swear word. Second, it worked once yesterday, but just stuck LOADING today."
15,Qifa,"September 18, 2019",5, i was really drawn to the app but why can't i download it? i have lots of spaces left on my storage but for some reasons the app can't be installed :(
16,AnonLegionary Liberator,"April 22, 2019",5," Great app! Thanks, Amaury Martiny! Keep up the good work!"
17,Lexíe Ekaterína Scånløn,"November 12, 2018",2, Performance: annoying af
18,Matthew Bird,"November 8, 2018",5, Greet idea well implemented.
19,Carla Mundt,"July 28, 2019",1, message; cannot download....
20,Digital sewa Hindi,"October 30, 2018",1, Very bad fake application
21,Nick Jens,"December 8, 2018",2, Good idea but the app is broken
22,Jeff Smith,"May 20, 2019",5," Simple to use and based on health effects equivalency. Read the Mullers' study and understand. Otherwise, write to me I will explain."
23,Julian Lee,"February 22, 2019",3," No meaurent of time, is the risk breathing 1 hour or 1 day of the air, is it instant calculated risk?"
24,Anoop Chandran,"November 6, 2019",1, This stupid app shows periyar wild life santuary is more polluted than delhi
25,Luke Schoen,"January 6, 2019",5, Sweet. Smoking 0.4 cigarettes/day from tax-payer funded pollution is free and fights cancer
26,Jeet Jain,"November 3, 2019",4, What's with the size of the app?
27,Petra,"May 17, 2019",5, interesting to see the city air pollution
28,Benjamin Sherman,"November 27, 2018",1, Just displays a frozen cigarette turd.
29,Mayank Gupta,"November 10, 2019",5, Beautiful design!
30,Maarten Belmans,"December 4, 2019",5, Top stuff :)
31,Rishi Singhal,"November 10, 2019",5, Works! Scary
32,Manul Madara,"October 24, 2019",5, Amazing idea .
33,Suman Maji,"December 5, 2018",2, Need improvement
34,Sanathoiba Soram,"November 27, 2018",5, Works great
35,Nancy Buono,"August 30, 2018",4, What a great idea! Both funny and educational. Maybe it will make some parents think twice before sending their kids out without masks. (I wish it showed the cumulative amount of cigarettes for an entire 24 hrs rather than just current conditions.)
36,Michael Bowers,"August 21, 2018",5," Great app to put air pollution into much easier to understand terms. Well done! I just wish the explanation of the math behind it clarified that (according to the source article) the cigarette comparison is compared to an average person's daily exposure to air pollution, not compared to being outsid...Full ReviewGreat app to put air pollution into much easier to understand terms. Well done! I just wish the explanation of the math behind it clarified that (according to the source article) the cigarette comparison is compared to an average person's daily exposure to air pollution, not compared to being outside all day. This makes the statistic even more alarming. Many articles are referencing this app due to wildfires, and they're getting this wrong."
37,Kitab Shah,"August 15, 2018",2," 600km to nearest pollution measuring station. Nice idea, probably better in 
urban centres"
38,A Google user,"August 16, 2018",1," The apps data is wrong it seems. I searched Delhi in the app and it said 
2.6 cigarettes per day, however according to the WHO air quality DB it's 
over 6 cigarettes per day"
