index,author_name,review_date,reviewer_ratings,review_body
0,fmurphy92,"November 26, 2019",1,"Be careful and PAY ATTENTION The day one of my favorite bands put tickets on sale I tried to use the Eventbrite link for my local hometown show. It directed me to the wrong show 1 day later, and I made the mistake of not reading every detail and made the purchase with excitement. AS SOON AS I got the confirmation email I realized there was a glitch with the link that I clicked on bc the show was obviously not the show I was looking for, so I immediately tried to contact Eventbrite to explain my mistake. I still wanted 2 tickets, but I wanted them for the show that I originally clicked on. They emailed me back about 3 days later and basically said it wasn’t their problem and there is nothing that they would do to help me, but that I am more than welcome to sell them to someone else. Thanks a lot for that helpful response. I will try to avoid buying tickets from this company for the rest of my life now unless they are the only ones offering them. Terrible customer service, even when the mistake was on both of us. I should’ve read the fine details, but they also shouldn’t have had a broken link. I tried the link several times after that to make sure I wasn’t crazy, and the same thing was replicated over and over. After they emailed me and told me there wasn’t anything they would do, I also emailed them back pleading my case and they didn’t even bother to respond again."
1,Mishel Mandujano,"January 13, 2020",3,"Great but needs improvement to facilitate usage. I really like the app, however I think it would be very useful if we could remove events we saw and are not interested on. For example, when scrolling down I see something I am not interested on I would like to swipe left or something and not ever see it again. Also, events that repeat every week are annoying. They are the first ones to show up and they are like surfing lessons or something and each week is the same thing. Even if I choose filters that do not apply to that they still show up. Finally, filters are not always helpful. I could select community and nothing will come up, but after searching on google events do show up and they are on eventbrite!! Maybe have people posting events answer more questions so the filters can be more accurate."
2,milehighlover,"October 5, 2019",2,"What’s the point of this app? I have tickets to two Eventbrite events but cannot see the tickets under this app. When I click on tickets they are not there and I am redirected to login to their website where I can see them but there is no way to get them to be on my app. What is the point of this app then if I still have to login to the website to see the tickets I bought? I signed up on the app with the same email and password. Also, thought it was weird that the app didn’t give me the option to sign in. I was only able to create an account or sign in with Facebook. Must be why I can’t see my tickets...the app is not linked to your already created profile through their website. Amateurs made this app as far as I can tell. So It looks like I have to buy through the app in order to see those tickets and vice versa. Makes no sense."
3,VoiceOver user,"May 6, 2017",1,"This app does not work for me as a blind person using VoiceOver I enter act with my iPhone using voice over, a screen reader built into every iPhone. When I navigate the main screen of this app, I see categories I can select, but attempting to select them brings up no corresponding events. The window which would list events doesn't even open, and the List box at the top of the app doesn't populate. When I navigate from the top of the screen down, I do not see hashtags I can select, but when I navigate from the bottom of the screen up, I do see hashtags."
4,makersmark8350,"May 31, 2019",1,"Logging in Good luck logging into the app to get the tickets you’ve purchased.  There is no place to put a password after hitting login.  I already have an account with eventbrite but all it does is say “this email already exists” and it automatically sends an email to change my password.  Kind of hard to login anyway when there is no field to input a password.  Good job evenbrite I feel like I’m being punked.  It’s obvious they don’t care, if you read all the reviews about logging in all they say is contact customer support.  Not even the developers know how to login on their own app.  Horrible app and horrible customer service.  After contacting I still can’t login.  It’s sad that people use this and I’m assuming the rating on the App Store is purely employees trying to save themselves a job while they look for an employer and development team that doesn’t have their heads shoved you know where."
5,whfjfuisbs,"October 25, 2019",1,"So fricken annoying This would be a great app, if the login wasn’t impossible. If you go to settings, hit login and then put in your email address it doesn’t give you an option for password. The options are login with FB or get started. If you hit either of them they send you a reset option for your password, WTH!? You can login when you are registering for an event, BUT it doesn’t keep you logged in so you can’t tell what you’ve registered for and what you haven’t. I spent way too much time trying to figure out how to log into the app. Guess I’ll use the site from now on 🤷🏼‍♀️"
6,Sincere S.,"October 23, 2016",4,"Event Bright Wether your trying to be a social elite or not, very hip to what's going on platform in the application out to-date ❕Seriously it gives you inside scoop on events going on for the weekend,weekdays,popular, and you can also set the filter to your liking! Great application for this day and era. If you don't get out much and when do happen to get out, and your trying to find something to do or wanna make plans. But no clue or idea on what? I for one definitely recommend opening the app to see what's going on. You'll go from no plans to something fun and cost effective to do or even free! That's right F R E E ❗️ So have fun people who've never tried out take this App users word for it !"
7,RV Winkle,"October 14, 2017",4,"Update:  Beware!!! Prior to today, the Eventbrite app settings did not have a toggle nor option to disable cellular use. What I find strange is that since my previous post, now, there is a cellular use toggle option.  I know my previous claim was not overlooked because the app did not list in the cellular section. And when I checked the general listing for apps, inside Eventbrite settings, there was no toggle, nor cellular option to disable. However, there was location option that I allowed Eventbrite to use my location when in use.  I am not sure if this was an app glitch or update, but problem was resolved. Therefore, I increased my rating from 1 to 4 stars."
8,Drew927,"November 20, 2019",2,"Can’t find events Had used app in the past. Didn’t have it on my new phone, so when a link wanted wanted to open it, I had to re-download it. Knew exact name and location and tried to find it, but would not work. Have had trouble with wi-fi giving location of internet service provider instead of my actual location, so when it asked for permission I clicked “no”. There was a search window to enter location, but it wouldn’t work. At that point, rather than go to location services to give it permission, I just deleted it. Don’t give me the appearance that I have an option if I don’t! I’ll use something else. Works fine when clicking on a link and it is already installed, but no good in trying to find events that you may be looking for."
9,dirtylooks22,"January 10, 2020",2,"Great product and terrible customer service if something goes wrong I like the eventbrite platform. It’s relatively easy to use and I’ve met some cool people through it. I have run more than 10 events in the past and the first time I had an issue where customers of mine ran into trouble because of their UI for discount codes I ended up having to eat the fees. When I explained that it was an older audience and they thought that they were not going to be charged, they didn’t listen to my actual situation. They just followed their policy of not refunding fees."
10,2344t,"March 24, 2017",5,"Terrible search results So there is an event near me. I saw it on LinkedIn and the way you register is through Eventbrite. Due to the fact I saw this on the LinkedIn app, there was no option to go to Eventbrite app. I cant remember my password for Eventbrite, but I have the app so I'm already logged into my profile. I go to the app, copy and paste the title of the event, change the settings for ten miles, change the event to free (which the event is). The search brings up events that are not relevant to the the title of the event and shows me events on the other side of the state. "
11,veritia,"April 6, 2017",5,"Never had a problem I personally have never had an issue with the app, but I take that with a grain of salt, as all of the local events I attend are run by the same group and have been for over a decade (and thus are a trustworthy seller and always keep the same dates from year to year, which seem to be what the complaints in other reviews are for).  It is very handy to have my ticket digitally as I tend to lose paper, and everything transfers nicely whether I am using the website (way back before I found this app), or on the app itself."
12,Planckster,"May 5, 2017",3,"Too Much Data!! Eventbrite requires too much data input! I wanted to buy four tickets to an event. All event tickets were the same price. I entered my info (name, address, phone, email, credit card). "
13,Nochsr,"September 23, 2018",4,"Hardly a Glitch - Easy to Use IF... I’ve used the Eventbrite app a few times now. Most of the time, I end up on the app because I’ve followed a link directly from an advertised event, which goes to the Eventbrite webpage, and then I choose the ‘open in app’ option."
14,Jmkeasler,"December 1, 2018",2,"Don’t get to choose seats on phone I bought tickets recently, using the app on my phone. They were for a school performance at a local theatre. I wasn’t asked about seating, so I assumed it was just first come first serve. After buying the first 2 tickets, i had other family decide they wanted to go. I bought a couple more- no problem I thought, except when I printed out the tickets I discovered they were assigned. And because I bought the last 2 at different times- they were all in different places. This was frustrating. When I checked in, they explained it was because I used my phone. For some reason when using your phone you aren’t shown seating choices. Therefore, I’ve deleted the app."
15,Standardson,"December 6, 2018",1,"EventBrite SCAM – Drake Halloween / birthday party performance at San Francisco city hall Completely got scammed by eventbrite’s false advertising. Drake was set to make an appearance and perform, however, Drake intentionally showed up and enjoy cocktails in the bottle service area. Not once did he even address the crowd or pick up the microphone."
16,John in PA,"February 26, 2019",2,"Email address management needed I now have five separate Eventbrite accounts that can’t be merged together. There is no option to add a secondary email addresses, so every time I got a ticket from someone else to a different email address, Eventbrite automatically created an account and locked the ticket to it. The ticket claims path has no option to login and claim with your actual account. Customers typically have more than one email address. I don’t subscribe to one canonical email. Fragmenting my data across different accounts makes the app pretty much useless for me. It’s more efficient to just search email. The FAQ claims such futuristic feature requests are under review, while other apps consider this standard practice."
17,juancho45,"March 18, 2019",1,"Scams I’m so sorry but you are promoting fake events and fake organizer don’t buy no tickets from this app. I bough few tickets for a techno event in Dallas. And I just found out yesterday that not only change the event dates, but I talk to the manager of the artist and I can show proof of it. The event was for the 30 of March and now "
18,chachy56,"January 4, 2020",4,"Where did my ticket go? I have used eventbrite multiple times with no hiccups and the process has been seamless. This time it has not been so. I bought tickets Saturday evening for a show on New Years 2019 and after entering my information (email, phone number, credit card information) I received no conformation email with my tickets attached nor did I receive my tickets in the Eventbrite app. Checking my banking app my card was charged. *Update* there was a typo in my email that their algorithm missed when filling out my email but after sitting on the phone like for a good amount of time the issue was resolved."
19,gkmvl,"July 19, 2019",1,"Contact support Horrible app/website! I am very upset! I had an issue with tickets of a event that was going to happen next month so I decided to contact the organizer to help resolve the questions I had. I emailed not once but twice ,through their website not only was there no trace of my emails but no where to see if they replied or not ! So I decided to go through customer support even worse I don’t get why they ask for all the information and details of what my issues were if it was going to be like I never sent an email. Not only did I not get an answer but there is not even a place to check if you even sent the email because it won’t show up anywhere. It will only say “messaged sent” after sending the email and nothing more."
20,Alpha3plus,"May 5, 2017",3,"Should be able to purchase without saving credit card info The first time I used this app, I could make a purchase without saving a credit card.  Now you must save a credit card to complete a purchase.  You have the option of removing a saved credit card in the desktop version but not from the app.  Even in the desktop version, the screen to remove a saved credit card is a couple of sub menus down.  Searching for ""remove saved credit card"" gives lots of hits, but the obvious page should be the first hit instead of much further down, mixed in with a hundred other pages."
21,Gdawg1101,"June 14, 2017",3,"More Options Please!!! Show how many people are attending events on this app. I love the meetup app specifically because it shows how many people are going to each event. I don't want to show up to an event, and there is a room with me and two other people. I love to network, which also helps in the learning process. "
22,Wyatt's Tech Corner,"October 8, 2018",3,Grouping old tickets with new So I’ve never had a ticket issue with Eventbrite until now. Recently purchased some tickets to a local event and when I saved them to the Wallet app on my iPhone I couldn’t find them. After searching every single ticket I found them grouped with an unrelated even from another year. This makes no sense because now I have to either remember this or delete the tickets entirely and just print out the paper version. The point of digital tickets is that they or organized for you which I never had an problem with until now. Anyway I hope this gets fixed soon.
23,sjelms,"February 23, 2019",1,"Generally a horrible experience Eventbrite don’t understand that people are mobile. I’m forced to have three (3) accounts at the moment because from time to time I travel and book for things in the US, UK, or E.U.  Each requires a new account and new login despite the fact I’m the same person on the same device. Why is this such a challenge for them? "
24,Twistedesoterix,"March 24, 2019",5,From an investor So I have been reading reviews. Your forgot password is not fluid.  It should allow me to use my facebook even though I already have an account via eb.  Your event managers should have a reviews section!  I want you to succeed.  Stay away from
25,scaly_dragon,"April 5, 2019",3,"Stupid glitch please fix This happened a while ago and I’ve not used the app in a while, but when I tried today, the same issue! I was following a link on a web search results and it did open the app and even flashed the ticket price, but before I get a chance to tap it to purchase tix it overrides the event page with “where do you want to go?” when instead it should take me to the checkout. It doesn’t let me use the link to get directly to the event. So I have to find the same event AGAIN within the app using the search button. This is very annoying."
26,Ehn'Reil,"April 8, 2019",5,"🤭🤭🤭 Reading the recent reviews have me a little worried. Fortunately the only issue I’ve had is remembering the events I’ve planned to attend or just over booking for different things. Outside of that I’ve had no issues with the app really. Twice it had been running EXTREMELY slow, but I just had to close the app completely. After that it ran fine. I’m worried because I JUST updated the app and so hopefully I won’t experience any issues now lol. Yet and still I love it! 🥰"
27,Jmamba7,"April 24, 2019",3,"Months of Not being able to login UPDATE 2: not working again. Wish i could provide screenshots etc. It worked for maybe a day. I was able to see tic etc and now there’s zeros all around. Logged out, redownloaded. Restarted phone. Nothing. #overit "
28,BonoboBaba,"March 5, 2020",1,"You’ve been warned... This app is garbage. Trying to find & recover over $600 of tickets that seem to have vanished. Every link in the confirmation email takes you to the same place on the web, can’t access anything in the app. Trying to reset a password just results in the “Log In” banner @ the top of the app screen turning white, then dumping you back at the same broken login page. Good luck trying to contact your “Event Organizer” too, guess what—you have to log in for that. Round and round it goes. Guess that’s goodbye to a fun long weekend in Sonoma, since all my info is gone. Thanks for ruining that, guys. Before you download, do yourself a favor and ask “Do I really want to throw my money away in an app, or just pay at the door?” You decide...Caveat Emptor."
29,anonymous6824,"January 1, 2020",1,Stealing money Event Bright is the worst. They actually don’t verify if the individuals are real and they can actually steal everyone’s money. 
30,pinkhellokitty1981,"December 7, 2016",5,Love the app but would like to make a request I love Eventbrite and the app. It stores my info it's fast and until recently it could search venues and pull all shows  (I'd like that back) but there is one thing I'd like to see added. The wallet on iPhones should have an option to always add to calendar and to apple wallet. It should also automatically delete old shows from the wallet or store in a folder that's in the me tab on the app.
31,menzamusic,"May 3, 2017",3,"Worst. Ever. The app, the online site, the architecture, the design, the user interface(s) are all the worst.  I have been forced to use Eventbrite multiple times with a range of events from multiple sources.  I wind up cursing each and every time I deal with it.  It should one or two steps to accomplish what they so bravely profess to do.  Instead it's a ridiculous amount of steps and an opaque path to just get your tickets.  Whether it's on a desktop to printout or in my phone with their app.  It all should be seamless.  Super frustrating. Stupid design, worse implementation."
32,Red3000GTgirl,"August 11, 2017",5,"Upcoming purchased tix don't show but past ones do I bought tix to an event via the website and downloaded the app to be able to easily retrieve them. My upcoming event tix don't show under my Tickets in the app, however, past events tix are showing. Tried logging out of app & back in, same result. This year's upcoming tix do show on the website when I login so they are not lost. I don't see me using this app much since it doesn't appear to sync correctly."
