index,author_name,review_date,reviewer_ratings,review_body
0,grrrrr_sir,"March 13, 2020",5,"Hair I love this app! But there has been one issue that have been there for me and many other from the beginning. There are options for straight hair, kind of Wavy hair, and extremely curly/kinky hair. But there is not a single option for looser curls.  Afro texture is almost all there is, which isn’t necessarily a bad thing. I’m glad they have so many options for those with super curly locks! But as a curly haired woman myself, everyone (a lot of girls) I’ve met with the same hair texture as me have complained about this when it’s brought up. This includes every women in my family, we have been forced to use straight hair on our bitmojjis. And my god is it annoying that not one style of hair matches our incredibly common curly hair texture.  There is (being generous) maybe one hair option in-between straight/sight wave, and 4C kinky curls. Even just adding three or four generic options at different lengths in the very middle of wavy and kinky would make SO many people happier with the app.     If there were 4 groups of hair, moving from straightest to curliest, just to illustrate. Let’s say:    Straight. Wavy. Curly. Kinky.      There would be nothing for the curly category for women except maybe one hair style. Please make more hair!!!!!!!! I’ve been waiting for it for years now! And am leaving this comment after silently just hoping for an update."
1,diany nails,"April 19, 2020",5,"Could improve but overall great app To be honest I really love this app but some things do bug me sometimes, I did see that you guys have different styles of Bitmojis and one of them is bitstrips. I have nothing against that style but why do they have more hair and the ability to have earrings? I hope you guys actually update the deluxe type because that would be great. I would also love it if you guys had accessories like necklaces, earrings, things like that maybe some chains you know get creative with it. Also I LOVE that we can now create our own outfits, I hope the clothing choice becomes bigger in the future but for now it’s really nice! I would love to see oversized sweaters and hoodies, more shoes and socks, high waisted sweatpants, skirts with patters, shirts with design on them, and basically just items that will make us look more fashionable and also let us express ourselves. now hats, they are really good believe me but I would love to see some bandanas in the “babushka style” or the new trendy look, clips, a plant cause aEsThEtIc, and some butterflies but again anything creative and fun is ok with me. That’s all I have to say but for now it’s a pretty good app keep up the great work! :)"
2,crawfishaquatics,"April 16, 2020",5,"Love it! But I would like to add some things I love bitmoji and so does my best friend. We use it all the time and love the new outfit update. I would just like to make a few suggestions on stickers and outfits. First, i use the YES MA’AM soldier bitmoji ALL THE TIME and love it, so if you guys could keep it that would be awesome. Second, I would love if you could add a hair flip bitmoji because me and my friend do so many hair flip worthy things and we always wish there was a bitmoji for it! Third, could you guys add more shoes? I know that you just added more shoes but maybe some different styles and classy ones too. (I don’t think that 3 is necessary but I was just asking) Lastly, I would like to ask that you guys could make new shirts, and maybe a plaid one. The reason why I am requesting plaid is because I wear plaid all the time and wish that I could dress my bitmoji in the clothes I love to wear. I would also like if there could be swimsuit options that we could wear with shorts and whatever because being a swimmer, I do that a lot. I also would like to add more hair styles, I’m not too picky about that but just in general. I hope you take into consideration these few things and have a great day."
3,JD 😉,"January 21, 2020",4,"It’s nice, but could use some upgrades! Bitmoji is a nice app. I think that it should let you customize your skin color, hair color, hair treatment color, and some other color stuff. I want to be able to customize my hairstyle. I also wish that you could customize the color of your makeup, clothing, and shoes. I think that chest size is another thing. They don’t have mine.... and I think that they just need more customizable things.  There should be more sweatshirt and coat options as well. They don’t have any options that I like. They should ask if you wanna customize your pants, and if you do, then they’ll let you do it that. Shirt options is another thing. I don’t really like any of them. They’re way too simple, I want some more color options, and I want to be able to customize the length. I don’t want a full half top, but not a really long shirt. Or I want a VSCO shirt, a oversized top. I also want better looking shorts. I’m being picky, but it’s better then giving nothing at all. I also want more body type options. I’m going to be giving more of a review. But this is all for now. Maybe vans, the checkered, and shirts and stuff 😉"
4,CerealGurl767,"November 28, 2018",4,"Great app!!♥️🥰 Bitmoji is an amazing app! Weather you use it for SnapChat,Texting, whatever! I enjoy how you can customize your own little you. But there is so many ways that you could make bitmoji an even more amazing app! First off more fashion! There is already lots of clothes to choose from, but try to put even more in the app more frequently and that would be fantastic! Second, you should be able to customize even more, like your height, the length of your hairstyle, and have more options for breast sizes. Thirdly, you should be able to change the color of clothing. When I go to pick a different clothing item I want and it’s bright pink or some color that I don’t want I no longer want to wear that item, there should be an option to change the color of the clothing item. Finally, please consider being able to mix and match items, like have and an option to ‘mix clothing’ and select the items you want to mix. Please take this into consideration it and I would give it 5 stars, it would also make the app so much more amazing! But overall I totally recommend this app over any other, it is amazing!♥️♥️♥️"
5,mbella2090,"July 17, 2019",3,"Men and Women come in all shapes and sizes! I love Bitmoji and have used it for years. My only issue with it is the limited body sizes and shapes. I hoped with the deluxe upgrade you would remedy this travesty but we’re already halfway through 2019 and from the chin down your Bitmoji editor is still failing to account for the majority of the population. You have 4 super skinny options and one “plus-size” that could be mistaken for pregnant instead. As a large framed, hourglass shaped woman I find this incredibly disheartening. There are twenty different options for noses, chins, even ears, but when you finally get to body size you get 5?!? I’m sure it’s more difficult to create clothing options for every size you offer, but I know I’m not alone in wishing my Bitmoji avatar reflected more of my real life curvyness. Read any women’s magazine today you’ll be sure to find an article discussing how to dress for all the different body shapes. It’s time for Bitmoji to stop catering to a one size fits all market and start offering options for ALL the major body sizes. I would love to see you add options for Pear-shaped, Apple-shapes, Oval, Square, Triangle and hourglass body shapes plus different frame sizes as well. Please make this happen!!"
6,Limelight456,"June 29, 2018",5,"I love it but I have one suggestion. Bitmoji is such a great app. I love the new clothes, skin tones, accessories, etc. I love the new “hair treatment” thing because so many girls have ombré balayage or colored hair in general. Everything is more diverse and you have many options. I have used Bitmoji for a long time now and I am obsessed. I recommend this to absolutely anyone and everyone. This is such a great app to have. Even if you don’t have Snapchat. My one suggestion is that I wish there was a section where you could create your own Bitmoji. Of course you customize your little person, but I don’t mean that. I mean, like if you can send a Bitmoji with a personalized message/pose/background. For example, for all the limelights, a Bitmoji that says “I said boom boom boom now lemme hear you say wayhoo!” Or “Boom boom boom” and a separate one that says “wayhoo!”  Or for non limelights, a personal message that says something specific like “I can’t wait to see you later at the game.” Or whatever. Do you see my point? It would be nice to have a variety of Bitmojis ready and to be able to form your own."
7,kk_coolgirl,"December 7, 2019",4,"Needs Improving This app is really amazing and I love to use it whenever I text, on snapchat, or just to customize it just for fun. One really big thing that bothers me is for the hair, there is no option to put highlights. I feel like most people either have dyed or natural highlights which is why you should add it to the hair section. "
8,🥳🤓,"February 14, 2019",4,"Amazing app! 😁 I think this app is good, but there still could be some improvements. First off hair. I think there should more options for people who have curly hair like me. I also think there should be more options for eye color. Some people have hazel eyes, not just one color. Another improvement could be with clothes. I think there could be something where u could customize clothes or make new clothes more often. And maybe u could have an option for people who have ear piercings. Also there could a setting where u could add jewelry or something like that. And maybe have more options for clothes. This app is really amazing, but just because something works well doesn’t mean we can’t make it better!! Other than this the app is really amazing!!! I have fun reading the funny things my Bitmoji says. If u r interested in getting this app u TOTALY should. I use this app everyday. It is so entertaining and u will find that ur bitmoji is quite the character!😉 It is a fun app where u can customize ur character. I hope the creator of Bitmoji will consider my suggestion!!! Love this app tho!!! 😊"
9,celina_the_swiftie,"February 24, 2019",3,"LOVE IT but.. ok so i love this app. i use it on an almost daily basis when i’m texting my friends, and there’s a bitmoji for nearly everything. however, there’s not enough hairstyles. i always style my hair in an ariana grande ponytail but there’s no bitmoji hairstyle for that. plus, instead of dying the ends of my hair a different color i have highlights, blue highlights, but again there isn’t an option for that so my bitmoji doesn’t look like me..please fix this and i will make my rating five stars. thanks."
