index,author_name,review_date,reviewer_ratings,review_body
0,YungWad,"August 27, 2019",5,"I HIGHLY RECOMMEND!!! I’ve been with several service provider sprint, at&t, and T-Mobile. I worked in a phone repair store and offered other prepaid services , I must say MINT has been the best ! For the price you get it for how can you complain. The block plans are what made me intrigued with the company and what they offer . I was recently laid off from work and got tired of paying T-Mobile nearly $150 a month for 1 phone on the plan . So I unlocked my iPhone 8 Plus and got a MINT started card . I Tried it out for a week with their trial and I must say , I was getting the same signal strength and data speed as T-Mobile . So I got the 3 month $60 promo plan with 8GB of data . Besides watching my data usage, I’m used to unlimited data the overall of the service is amazing . I’m glad I made the switch and definitely will be referring a lot more people to the company ."
1,Ashaleymusic,"August 12, 2018",5,"So excited! I recommend not porting your old number I tried porting my old number, which was a big mistake, this is a very cheap service and it comes with the price of activities your new number glitching out and making you wait days after you’ve purchased your plan. When switching from porting old number to taking a new number, that took 4 days talking to customer service to work out. So having said that, just skip trying to keep your old number and enjoy the benefits of a cheap and good service. $25 a month for unlimited 10gb is insane and I can hotspot it to my laptop. No overage charges and slowed down data afterwards. T mobile service! Which is no Verizon obviously but for the price it’s amazing.  Thank you Richard at customer service for being the only one who got it to work. Now that it works I’m so happy with it."
2,jkreth,"December 15, 2019",5,"Top MVNO provider Full disclosure — I am no longer a Mint customer, but only because I live in an area that doesn’t have good cellular coverage from T-Mobile (their coverage maps are overly optimistic/generous). I’m a fan of MVNOs, and I wanted try out the Mint plan, as they offer a price point that is an outstanding value. I had some difficulty with the initial port-out, but that was caused by Sprint telling me that my phones were unlocked, which wasn’t true. After solving the port-out issue, we got to try out the service. Unfortunately, it wasn’t right for our family due to our location, but true to their word, they refunded my purchase. Kudos to Mint for sticking to their 7-day money back guarantee. "
3,PLUVC1993,"March 5, 2020",5,Worth the change I was a little hesitant at first...I have had ATT for years and was paying $165 a month for two phones for the unlimited plan. The only reason I had the unlimited plan was because of daughter who is constantly watching videos on her phone. Well my daughter now has her own plan so it was time to start shopping for a new plan. My girlfriend has had Mint Mobile for a few months now and loves it. So I decided to give it a try....what can I say. I am sold...never have problems making calls or texting. The data I use is probably no more than 6 gigs a month because I am always on wifi....and don’t really watch videos on my phone except on WiFi. Now I pay $300 for the whole year for 12gigs of data a month. How can I complain....money in the bank.
4,Michael Kirkman,"November 23, 2019",1,"Poor Service & Poor Customer Service Waste of money. My service was great for the first couple weeks, then my calls were consistently dropped within 60 seconds, and I could not use data at all (when well within my limit). When going back and forth with customer service and even getting ignored at one point, I did everything to fix the service issue and it didn’t work. Then when I tried to get a refund I was denied and told their policy states I was outside of my window to get a refund. A horrible window of opportunity for a refund when the service becomes awful midway through the 3 months I bought and I tried handling within the second month, how can you not refund that? Don’t waste your time, the service is awful and they won’t give you your money back if you experience such poor service. You get what you pay for, but they could at least reconcile really poor service issues. If I could at least get my money back I’d be happy to remove this review."
5,arrrrt,"June 16, 2019",3,"Lacking Features I am critiquing this app based on my past experience with numerous carriers and their apps. What I quickly noticed about this Mint Mobile app is it’s strength is in helping you set up a new service and/or selling you additional services. It is EXTREMELY LACKING in easily informing you on the important information as to how much data you have used, texts used, and minutes used. I’m assuming that since texts and minutes are unlimited Mint doesn’t feel like we really need to know this."
6,J-LeTHaL-,"February 2, 2019",5,"I Love This Company I've been using Mint for two years now and as long as you can get a T-Mobile signal where you live they have the best prepaid prices around. I've never had any problems, their app and website always work, and their plan selections are great. It's good to see they are growing, which will probably bring even better deals in the future, and I'm really happy that the annoying problem I had where you always had to re-type your password every time you went to open the app has now been fixed. Not many companies listen to their reviewers and fix small things like that so it's greatly appreciated. You can buy a 12 month plan and feel confident knowing you're going to get your money's worth."
7,Brownbear628,"December 27, 2017",1,"Horrible customer service! Wifi calling not supported on iOS! Tried this out with high hopes of replacing my AT&T service but what a waste of time. I found out that wifi calling is not supported on iOS devices for some reason. When I called them to inquire further, they said they didn’t know if or when they’d offer that. That’s pretty much a must have feature these days because you rarely get full bars inside a building, especially when visiting remote areas with limited coverage. When I asked the rep on the phone to verify that my service cancellation request had been received and was being processed he told me he couldn’t see anything I may or may not have done through their website on his system. That means their site is not integrated with their call center systems! What a joke. I didn’t expect the moon given their low prices but this really is a chop shop of an operation."
8,gunderson00,"March 18, 2019",5,"Very good, all-around service provider Preface by saying I used to sell cellular service for the big 4 networks, as well as many MVNO pre paid providers, during my time with a nationwide electronics retailer. "
9,bboxx1,"May 12, 2018",3,"Setup and price is good, but I’d like WiFi calling for iPhone I purchased the MintSim trial kit for $10, and after testing it out and picking a plan, I was refunded the $10 back for the trial kit - Not bad! Setup was a breeze and porting my number from Verizon was pretty straight forward. The broken-down monthly cost of Mint Sim is hard to beat - it’s so great that I almost don’t mind the service being a bit spotty in some areas and getting 0 bars inside various buildings. I feel like this aspect could have easily been forgiven if I at least had a WiFi Calling option for my iPhone; however, this is not currently available for Mint Sim. I’m now looking into another MVNO that might be a little more expensive, but at least has WiFi Calling for iPhone."
