index,author_name,review_date,reviewer_ratings,review_body
0,er_got,"May 4, 2018",1,"It would be difficult to produce a worse SalesForce app What a horrendous, awful application. This app is bad enough that it is often touted as the reason that people in my organization are unable to do 100% of their work from an iPad Pro - “I’d love to, but I need to use SalesForce on a consistent basis”. If SalesForce is Hugh Grant, SalesForce1 is Andie MacDowell; dragging down the entire operation, forcing constant recaptures of her dialog because she’s unable to enunciate properly, and generally making the whole process feel much more like a funeral than any of the four weddings. "
1,Centersj,"February 27, 2020",1,"New Update - OUCH The latest update was recently pushed to my iOS device. I know this is a new design, but navigating is the most painful experience I’ve ever had with an App. As a project manager who travels periodically I rely on this application to manage my projects. I am no longer able to see a list of my projects or even access them without digging so deep into the interface that I am ready to pull my hair out once I finally get to where I’m going."
2,jtr02a,"February 16, 2018",2,"Ok, when it works Using app on an iPhone X and have constant issues. When I click a SF link that opens in the app, it only works occasionally... most of the time it never loads the screen. Additionally, reports of any size are practically unusable. Furthermore, when attempting to log a call, it should be more intuitive (checking matching leads/contacts/accounts in close proximity to the device). Instead the user has to perform a specific search and hope the results are relevant (and actually show up). For the amount of money spent on SF, one would hope to see a better thought-out and more thoroughly tested app. Very disappointing; my outside sales reps continually tell me it is easier to boot up their laptop to log a call then try to frustrate themselves with the app."
3,rsearle13,"June 28, 2019",2,"Great system, just never runs smoothly. Salesforce would be a great system if it would run smoothly, which it rarely does. On a desktop it can get really glitchy and I’ll lose information I just finished inputting, it gets stuck scrolling, or it starts backing the page up every time I hit backspace. "
4,colt____45,"November 7, 2019",5,Wish I didn’t have to use this My market just started rolling this app out. I don’t think a single person I work with likes this garbage. I especially hate it when putting in my time for the week. It’s extremely frustrating just to put your time in. I’ve just stopped doing it went back to the old system we use. It’s always glitchy and people can’t get anything done on this. Just looking at the platform and how they have it set up makes me cringe. It makes everything we do harder than it is and this is just my opinion but why...WHY ARE WE USING THIS!??
5,Reese125,"February 17, 2018",3,"Horrible user experience -needs overhaul A $112 stock, millions of users do business on their Androids/iPhone every day, but yet the developers of this app still don’t get it or flat out don’t care because they are more concerned with business to business functionality."
6,ctay9,"August 25, 2019",1,"Do better, salesforce. Unfortunately, my organization uses this junk of an app. The app has so many bugs. Home screen loads a blank page, when trying to log back in there are numerous error codes. The help instructions from Salesforce are vague and don’t provide help. No live chat with support. Try to reset password using the user name and NO reset email goes out. Their URL login no longer works - and throws back error messages. You can use your login credentials to get in, but as soon as you close the app then the credentials disappear. Why would anyone want to entered a password every time you open the app? When you close the app and immediately reopen it, then you have to start the login error cycle again. Frustrating beyond belief. Do better salesforce."
7,SparksCVEN,"April 26, 2018",2,"Terrible User Experience I am very much a fan of integrating technology with business, but this application is wretched.  I cannot believe this is not an app in Beta.  The load times are horrible, I find myself clicking 100 buttons to get to something that should be readily available. The menus are confusing and not helpful.  Links to projects do not work, and I am constantly having to reload the app because it will not load images.  "
8,DNA Kruis,"August 28, 2017",5,!!! Amazing Tool !!! You can't find a better more tuned tool anywhere. Once you learn all of the options and use them your on your way to a very successful sales career. The only thing that's slowing this program down would be the person thats not using it.. I would like to personally thank those people that don't use this tool. Thanks to you I've gained more sales and more money....
9,MattLax2020,"March 11, 2020",1,"Great CRM, Terrible Mobile App I am a huge fan of Salesforce, i have always spoke very highly of your company. The company i work for uses Salesforce. The overall CRM platform is very useful from a desktop, there are many ways to run specific reports and capitalize on opportunities with customers. "
10,lockalicious,"August 4, 2017",5,It's quick and easy There are other apps that are better at pipeline management like clari etc but SF1 is a simplified version of the web vetsuon perfect for sales people needing to input and capture meeting notes and look at a high level opps or contacts on the go. In other words it's not as robust as the web version but the UI is much better in terms of workflow for people on the go and it is fast. Can't create RFx activities but can input notes and chatter is easy.
11,SkeevieWonder,"August 21, 2017",2,"Terrible App The purported purpose of this app is to make things quick and simple, so you can enter information easily on the go. This app fails miserably."
12,PC Field Tech,"September 21, 2017",3,"PC Field Tech My employer uses this app for dispatching tickets to myself and other techs to document work we do. I believe the app can have more features such as different statuses like EnRoute to Site, OnSite, etc. My previous employer used EFS when I started working with them and then began using Clearvision. I would have to say those are better and user friendly with more features compared to using this app. Overall, the app is not that bad but it can use more features and have improvements. That's why I only gave it 3 stars instead of 4 or 5 stars."
13,dontpeonme,"May 11, 2018",1,"Rarely works Update after update this app continues to disappoint. The only functionality that always works is the chatter feature which I seriously don’t care about. I haven’t been able to search for an account for months and the scheduler feature doesn’t ever load, always says no internet connection. I’ve checked, I’m connected. Whether it’s a WiFi connection or over LTE in the field says “no internet connection tap to reload”. So I tap, it spins, I give up, open my laptop or iPad, find the record I need and move along. I keep thinking the app will work and to my dismay it never does. Salesforce mobile app, this is your precipice. Until the functionality is actually working this is a waste of time."
