index,author_name,review_date,reviewer_ratings,review_body
0,consumer 2016,"April 15, 2018",3,"Most features you liked are gone I'm sorry team, I know you are excited and you wanted to ship, but I don't think any users were asking for this update. At least not enough to outweigh the fact that many of the features that your users like and consider an important part of the app, are missing now. I know you'll be adding back some later, but as of right now it's frustrating that I can't do things I used to be able to, all for a design update that I honestly don't consider an upgrade. I don't care how hip my tweets look or that my photos are now in frames. I can't access my original tweets any longer or click on the links within them. I can't really scroll past large photo sets, or easily past whole years like I used to be able to. You put design over function and now your users are upset and potentially permanently lost. I know I'll keep using for a little while because I'm addicted to myself, but that won't last forever if every time I try to use the app, the features that I got the most utility out of aren't there, and the experience is negative each time instead. Did you survey your users about what mattered most to them? Did you look at metrics on what features were most used? Did you do any user testing with actual loyal users? Maybe you did all of this, but for someone who got this update out of the blue, I am both not happy and am passionate enough to write this, but how much I care for your app won't last long. --user since it was just a daily email back in 2012."
1,Haleyhurricane5,"January 13, 2019",5,"Love it, but I wish one small feature would come back! I’ve used timehop every single day for over two years, and before that still used it almost every day with a couple of small breaks while traveling. The only thing I wish would come back is the ability to click on the part that shows how many likes and comments you had and see them pop up right there. It now takes you to the app (Facebook or IG) to view the post and see your comments and going back and forth between the two for every list of comments I want to see for that day gets to be a hassle and I don’t end up checking the commments at all now. But other than that I wouldn’t change a thing! I love the format and every update they make somehow makes the look even cooler. I like that you can even sync your iPhoto.  I love the flashback video and the screen at the end with a new blurb every day and the fact that it lets you know how many days you’ve consecutively checked in with a banner for each year. Well done!"
2,danielanddan,"July 13, 2018",4,Is that possible to have a feature for deleting the photo? I downloaded this app recently suggested by my boyfriend and I felt it was an awesome and fun app to check the memo everyday.
3,augzea,"December 17, 2017",4,"Good app, careless retrovideo mistakes I use Timehop every day, I loved the concept from the beginning. Still like the old format better, but used to the current one now so it’s been fine."
4,2hellwitit,"January 25, 2019",3,"Update It seems that every time that you do an update you change the ways that things are done and you have to figure it all out again when you could do it without even thinking before the update. I have been having issues with the app stopping every 2-3 days I go on (I’m currently on day 201) and when I click on the widget agin it starts all over from the beginning and when I get to where I was if I click to save photo it shuts down again. I have shut off and restarted my phone but the same thing happens. I’ve made sure I had string internet connection but it still stops. I was hoping that this new update would fix this issue, but unfortunately it did not and now it stops every time I go on. Is there going to be an update to fix this issue. I have contacted Apple thinking it was a problem with my phone, but Timehop is the only one that stops like this. And they said it was an app issue not an issue with my phone."
5,Ninjamusicmom,"February 15, 2020",4,"Love the memories, could be improved I really do appreciate Timehop. It’s fun to see posts from this day several years ago. Sometimes it reminds me of things I had forgotten! I like how you can click through to open the entire post in Facebook, if you want, and see all the comments. I’m coming up to my 1,000 day streak, so I’ve had a lot of time to think about two things I would change. They are both in the Rewind portion. First, that screeching tape rewind sound effect is dreadful. I want to hear the narration sometimes but I do not like that horrible screeching. It goes right through me- not a great way to start the day. Second they have icons at the bottom of the page when they are playing the top hit from today that actually cover up the title and year of the song. Every time! So frustrating! Other than that Abe keeps it entertaining and fun!"
6,band_nerd789,"January 21, 2018",5,Take the autoplay off the videos. Edited! Thanks for the fix! 😘
7,lynnekaren,"October 14, 2017",5,Thank You Timehop. October 2017:
8,Mary23456789,"July 10, 2018",5,I check this app every day I check this app every day and I’m now up to over 400 in a row. Just part of my OCD I guess. But enough about me. I really enjoy this app because it takes me back to what was important to me three or four or even more years ago as opposed to now. I also enjoy seeing the pictures I took in the past. Sometimes I’ve lost track of them and it’s good to get a chance to save them again. 
9,catzac,"November 13, 2019",2,Was ok until I couldn’t connect to FB Loved this app....until the last few weeks.  Was dis one chef from my Facebook and since then I can’t log back in with my account.  It automatically asks to connect as my husband with no option to switch to my account. No idea why it goes to him as he’s never logged into FB on my phone and does not have the Timehop app himself.  I co reacted support...told me to log out and delete FB app and Timehop app.  Log back into FB the reinstall TH...which I have done multiple times without success.  Tried it with my cell phone number which didn’t work either.  I’ve logged into FB from my laptop to make sure TH was still active.  Finally tried it on my iPad and was able to connect with my FB.  But no carryover when I tried again on my phone. Unfortunately I can’t go on my iPad every day to check.  Lost my almost 1000 day streak because of this.
