index,author_name,review_date,reviewer_ratings,review_body
0,jay,"April 27, 2020",1," i am trying to copy a cell and i keep pressing the google button rather than the copy button. it's very distracting, and i keep messing up on what i am working. it keeps taking my to google translate when i do not need to translate anything"
1,Samuel Hegedus,"April 29, 2020",1," Its really annoying app. Cant use function paste special, sometimes it works sometimes not. And afterwards when I tend to choose paste, than its behave like paste special and the data arent in comformity with formats, fonts or colors. Sometimes its not possible even use the function an average and I...Full ReviewIts really annoying app. Cant use function paste special, sometimes it works sometimes not. And afterwards when I tend to choose paste, than its behave like paste special and the data arent in comformity with formats, fonts or colors. Sometimes its not possible even use the function an average and I suppose to calculate it mannually or set the formula like this = (A+B+C) /3. Whats that? Driving me crazy."
2,Tim othy,"April 22, 2020",2," Bug-ridden. I love the Google software. For the most part, its seemless simplicity is an ingenious unique selling proposition. Google sheets for mobile, however, has an Achilles heel. When editing a textbox, if the user scrolls down, you lose all text. There is no way to retrieve it again. After hav...Full ReviewBug-ridden. I love the Google software. For the most part, its seemless simplicity is an ingenious unique selling proposition. Google sheets for mobile, however, has an Achilles heel. When editing a textbox, if the user scrolls down, you lose all text. There is no way to retrieve it again. After having this happen to a paragraph I was trying to write for the seventh time, I gave up. Fix this and the review will be changed."
3,Max Howard-Evans,"April 29, 2020",1," Way too much space taken up by padding and unhideable top/bottom areas. You should be able to hide all of this to maximise screen space, especially at resolutions of 1080p and upwards. It makes it so much harder to use well. Cell options are split randomly between lower row and top menu. Can't set f...Full ReviewWay too much space taken up by padding and unhideable top/bottom areas. You should be able to hide all of this to maximise screen space, especially at resolutions of 1080p and upwards. It makes it so much harder to use well. Cell options are split randomly between lower row and top menu. Can't set formatting for columns if cells have no data, which again makes this less productive."
4,Ercan Yuksel,"April 16, 2020",5," It was working perfectly, but since two weeks it's not updating and opening from Android phone. I waited patiently to be fixed with the new update as I've seen also many complaints from many users. But seems like it's being ignored by the authorized people of this app. I will reconsider to change my...Full ReviewIt was working perfectly, but since two weeks it's not updating and opening from Android phone. I waited patiently to be fixed with the new update as I've seen also many complaints from many users. But seems like it's being ignored by the authorized people of this app. I will reconsider to change my rating and review once this problem will be taken serious and fixed by the owners of this app."
5,Matt N,"April 3, 2020",1, The fact that the google play version doesn't mirror the functionality of the web version makes for a very frustrating user experience. They should be identical user experiences. At this time here is no reason to use this over the web version. I would prefer to use the play version to at least feel ...Full ReviewThe fact that the google play version doesn't mirror the functionality of the web version makes for a very frustrating user experience. They should be identical user experiences. At this time here is no reason to use this over the web version. I would prefer to use the play version to at least feel like there's some advantage to owning a chromebook.
6,Farimah Rafiee,"April 29, 2020",1," I couldn't access my laptop so I only had to check sth quickly on my phone through webpage, I have not enough space to download an extra app that I hardly ever use on my phone. This is rediculous not being able to use a web version on phone. As soon as I download the app, I will uninstall it cause I...Full ReviewI couldn't access my laptop so I only had to check sth quickly on my phone through webpage, I have not enough space to download an extra app that I hardly ever use on my phone. This is rediculous not being able to use a web version on phone. As soon as I download the app, I will uninstall it cause I don't use it"
7,Rogier Dikkes,"April 14, 2020",1," Getting forced to use the app instead of the webpage is a choice, but when you make this choice the app has to at least have all features the webpage has. In my case I cannot add any text in the cells. The keyboard never comes up. Poor experience for something that is so old and should be mature."
8,Kanji Watada,"April 15, 2020",1," It's very slow. Opening a sheet is painful. It's very slow. Making a sheet available offline doesn't appear to do anything. It's very slow. Sometimes it doesn't sync changes. It's very slow. Even with fast internet, 100+ Mbps, pages take a long time to load. It's very slow."
9,Khateeb Ahmed,"April 9, 2020",1, Hello Sir Actually i started using sheets almost 2 years ago and i found it's very useful especially the feature that it can automatically sync on drive but I'm very disappointed today i opened the file that i edit almost every day(it's a file that contains my shop sales and marketing) and i found t...Full ReviewHello Sir Actually i started using sheets almost 2 years ago and i found it's very useful especially the feature that it can automatically sync on drive but I'm very disappointed today i opened the file that i edit almost every day(it's a file that contains my shop sales and marketing) and i found that sheets opened up the file that i edited 4 months ago and all the deta of 4 months is gone I'm very disappointed it's very important deta and suddenly it's just lost please fix this issue
