index,author_name,review_date,reviewer_ratings,review_body
0,B.A.Thompson,"February 12, 2018",4,"Blocks spam, but not if they’re collection agencies! I got this app, TrueCaller, and its only works part of the time.  Understanding there are constantly new numbers added to the spam list, I expect to update the app database daily.  Not that big of a deal.  The problem is, it clearly identifies a spam caller, but still allows some through.  I have found it blocks legitimate spam calls as I recently put my resume online and immediately began getting spam calls.  I bought the new iPhone X 256GB, but neglected to turn the blocking options on in settings.  Once that was done, no more spam calls... or so I thought.   The calls I was receiving, promising job opportunities, required me to sign up for more school.  Holding two bachelors and a masters degrees, I politely told the first few I had no interest in school and explained my education level.  If you refuse their persistence in signing up for school, they rudely say they can’t help.   Truecaller stopped these.  However, while clearly marked in red a call is spam and you answer, you will find they let collection agency calls through.  I’ve had my number for 10 years now and still get collection calls for someone I don’t know!   I haven’t found any better app out there, though, so the collection calls will have to manually be rejected."
1,LeonJon,"October 3, 2018",1,"WORTHLESS MAIN BENEFIT IS ALLOWS REPORTING OF A SPAMMER - GEE THANKS I find the app worthless, and the cost to privacy not near worth the price of giving the developers FULL ACCESS TO EVERY SINGLE CONTACT ON YOUR DEVICE.  There are two main benefits to this app.  One, is to allow you to report a spam caller as a spammer to the developer - Gee Thanks (can you hear the sarcasm dripping in my voice?).  Two, allows you to double check a number that has just phone you, to see if other app holders have previously reported the number as a Spammer.  Really do not understand the near five star review average, in fact I’m baffled by it.  Someone, please explain to me how this is not a worthless app. "
2,BasCarMel,"October 5, 2019",1,"Wrong for many reasons We had an issue with someone on Craigslist who tried to get personal information from us.  We hung up on him.  Shortly afterwards we learned that our phone number was listed as a scam on Trucaller, probably as retribution from the Craigslist scammer.  We learned about our phone number being listed as a scam from a local pet grooming shop when they saw it was listed on Trucaller.  Trucaller never bothered to check that we had the same phone number since 2001, nor did they check our home address, nor did they contact us before labeling us as scammers.  When we finally contacted them, they removed our number from their list. Maybe you should check with them to find out if someone has given them your number out of spite.  This is a dangerous violation of privacy for them to convict people in a way for the whole world to see without any proof at all, just some jerk reporting you.  The Nazis and Soviets had the same kind of system where you could rat on a neighbor and they would disappear!"
3,DweezyGurl,"January 10, 2019",5,DUDEEEEeeeee It’s awesome I thought it wasn’t going to work but it immediately turned all those spam calls into red lettered SPAM. I get spam called all day long at school ONLY AT SCHOOL I’ve literally never got spam called at home but at school I get so embarrassed when my ringtone goes off super loud in the middle of class one day it literally happened 3 TIMES i turn my ringer off but the stuff in my backpack shoves my phone all around and one time even ended up calling the cops on accident because of the side buttons. They literally were like “Can the person with the phone number (blah) bla - blah come down to the office IMMEDIATELY.” I was like 😱 but yeah my phone causes problems but this app can fix em so :3
4,Tenthandjordan,"March 14, 2019",4,"Need consistent, frequent app store updates Love the idea of this app and really appreciate it. It seems to work well at blocking spam callers, HOWEVER, I hate that it doesn’t automatically update on its own; notify you when there’s a new update available; or even show up in the app store to show there’s an update. As a result, I still get spam calls more than I should because they are not included until I go open the app, check if there’s an update, and then initiate it myself. Imagine if we had to do this with all apps? That would be obnoxious. I really hope we can get regular/frequent app updates for this via the app store so we dont have to constantly go in this app and check ourselves. It would save time and stress."
5,Sertano,"September 9, 2019",1,"NOT True Caller... After adding the app, my spam calls increased considerably. Apparently, the app sold my phone number.  In 2 weeks, only 1 call was considered spam by the App when I started receiving over a dozen calls per day. I had to turn the ringer off and ignored the calls I didn’t recognize. I called back some of the “missed calls” and all of the numbers were for non-existent lines.  Apparently, the numbers appearing on the calls were randomly generated from non-existent lines.  Most of those numbers attempted to be from areas where my number originally came from.  I no longer live nor communicate with people with numbers from the area my number originated from, but kept the same number because I’ve had it since the brick phones of the early 90s. I don’t know what True solutions are out there to resolve the spam calls issue which has now gotten worse."
6,enginxxxx,"November 26, 2018",1,Uploaded my contacts to their database and made all public I loved this app. I don't know to how many friends I suggested it over the years. I've been one of the early adopters and have been a huge fan. It blocks spam quite effectively.
7,enginxxxx,"December 19, 2018",1,They uploaded my contacts list to their database I loved this app. I don't know to how many friends I suggested it over the years. I've been one of the early adopters and have been a huge fan. It blocks spam quite effectively.
8,JoshuaJ37,"July 2, 2019",1,"App is worthless now I used to love this app, and used to tell everyone I know to download it because of how well it blocked spam calls and gave you excellent caller ID. I work in wireless, and used to tell all my customers about it as well. However, in the last 12-18 months it's slowly but surely been going downhill, and now it's completely worthless. It literally blocks no spam calls anymore, doesn't give me any caller ID, and the number lookup took finds absolutely zero names of people or businesses. I will be deleting as soon as I'm done writing my review. I had always considered this a 5 star app, but now if I could rate it 0 stars, unfortunately I would. "
9,CShay2272,"January 25, 2019",5,Saved contacts I would have lost upgrading my phone. I am very glad I installed True Caller on my last phone and now this phone because when I upgraded to an Apple phone I had trouble transferring everything and wound up with only a portion of my contact list. 
10,GBZA,"October 23, 2017",4,"Great app but not so good on IOS Although, it doesn’t work like it is on the Androids, but it comes handy whenever  I need to check unknown numbers , and there it works at about 98% on all numbers , however I didn't grant the app permission to my contacts anymore because the first time I did, it loaded my contacts with strange numbers called spams, I wouldn't want to scroll through numbers I didn't save in my contact, so  I deleted all those numbers, and  simply denied the app the permission and there after use it in an isolating mode."
11,Quad quad,"November 7, 2017",1,Worse than the problem it purports to solve Once this app is on your phone a red screen will pop up saying ‘SPAM’ every time someone on their list calls. This isn’t often - it only blocks a fraction of unwanted calls - but you will always know about it when a spam call comes in. Infuriating! I don’t want to be notified when a spam call comes in - I want it blocked before my phone goes off!!!
12,Ruilus,"December 19, 2017",3,Works - sort of... The fact that the spam database has to be updated daily is a huge setback. I have to manually open the app and click update every day or otherwise spam calls go through. Why?
13,GhostriderGaleJ,"December 26, 2017",5,"Newbe Haven't had this app long enough to properly review it, but it's bugging me for a review right off the bat! So this is what they get till I use it."
