index,author_name,review_date,reviewer_ratings,review_body
0,WHaynie,"February 15, 2020",1,"Forcing “Continue in Watch” is a very bad move My two stars from the other week in regards to my saved items automatically being saved to a folder when they aren’t supposed to is now down to one star due to the newest excuse for an update. In the past I would be watching something and if I clicked on it to watch it bigger it would then show other suggested videos from Watch under it. That was fine. But now I will only be a few seconds into a video on my feed without touching it yet and it will COMPLETELY STOP the video and te me to continue watching  it on Watch. HOWEVER when I try to click the video to make it bigger and thus open it in Watch it won’t do jack squat. This tells me I would have to click over to Watch and then attempt to refind the video just to bloody watch it in the first place. I don’t know who was smoking the stupid juice this time, but I would rather watch no videos than have to go out of my way to hunt a video down just to watch after it’s already been presented in front of me. And as someone with a business page that posts videos (AND PAYS GOOD MONEY to use some as ads) it makes me want to cut back what I spend with you all if this is what my users will be left with. Please please PLEASE change it back."
1,WinstonFl,"September 17, 2019",2,"Buggiest app on my iPad Let’s face it, if you use social media Facebook is a must have to stay connected.  However the Facebook app is a complete bug filled app that only seems to break more with every update.  I’ve been waiting for years for it to work right and yet I always know when an update comes, because something you use regularly will break guaranteed.  If by some miracle it gets fixed in the bi-weekly update, I promise you something else you use will be hindered in the next version. "
2,MKaip,"November 19, 2017",1,"Locked Out of Account If I could give 0 Stars, I would.. Facebook has locked me out of my account for days, saying they need to review a photo of me. There is no one to contact or email to fix it. I have had my account since about 2005 so it doesn’t make sense.. The Help Page is of no help because it consists of regular people who do not have access to unlock accounts. Facebook needs to have a direct contact via Chat or email to assist their customers."
3,Pu Erh Tea,"April 19, 2020",2,"Attn: FB suspended my account for no solid reason suddenly Greetings Facebook crew! The purpose I write to you is none other than to impart my report as well as to acquire assistance pertaining to Facebook account service. So today all of a sudden Facebook is asking me to submit a photo ID upon logging in; and I have uploaded and sent a photo of my driving license (genuine!). I have been using Facebook since 2009 if my memory serves me well and I never did infringe your ToU or regulations but somehow you team got me as using a fake profile name? I believe someone from within my friend list or a page (I don’t know as I followed/Liked tons of pages) was behaving mischievously and made a false accusation or report over my profile for no solid reason. What’s more, I did not do anything wrong ever since I use Facebook, or use the service for illegal purposes. Pretty please review my account suspension that does not hold water and reinstate it in next to no time. Please reach out to me please. It is the quarantine period and I need to work from home. Not to mention I have other foreign accounts that I link FB to login with. Thank you for your concern. Why do I have to bear a fault that is not mine?"
4,Mzkishanicole,"November 14, 2019",2,"Ok app, people you may know feature is annoying The app is ok to deal with but the people you may know feature is completely annoying and frustrating. I must say it’s a nice feature but it gets frustrating when you remove people and the next day or a few days later they show up again as people you may know. Facebook needs to add a delete button for that and not just the remove button or the remove button should remove that person and their profile permanently because hitting the remove button only brings that person profile back up within a day or a few days. I’m completely irritated with it because if I hit the remove bottom it’s because I don’t know that person, I don’t want to know that person, or don’t want to be friends with that person. I shouldn’t have to spend so much time “removing” but not permanently removing people from the “people you may know” only for them to pop back up as people I may know 24-48hrs later!! IT’S ANNOYING. STOP IT FACEBOOK LET ME PERMANENTLY REMOVE PEOPLE I DON’T KNOW AND/OR DON’T WANT TO KNOW OR BE BOTHERED WITH WITHOUT HAVING THEM POP UP AGAIN AND AGAIN AND AGAIN. REVAMP THE “PEOPLE YOU MAY KNOW” FEATURE SO THAT IT CAN BE BETTER MANAGED BY US!! Thanks 😤😤"
5,Valensghost,"November 16, 2019",2,"Issues that need fixing There are several things that are frustrating.  1- if I mark See posts first, that means I want to see this persons posts first — NOT three days later, and not after seeing countless posts from people not marked See first. See first means see first.  2 - when I scroll through my newsfeed I doesn’t want it to stop after 3 or 4 posts.  I want it to keep scrolling.  When I’ve seen enough I will quit. If I delete the app it and reinstall, it will work for awhile but will behave the same way again soon.  3-  if I see a post on my Facebook iPad app, I should be able to also see it on my iPhone Facebook app.  Why aren’t these two newsfeeds consistent? 4 - if I have a custom list or a smart list, why can’t I click on that list and see posts from just those people?  5- if there are birthdays or events that show up in the right hand column, I don’t want to see the word DONE, I want to see the event or birthday.  Again, I can get this to work again if I delete and reinstall the app. Perhaps rather than working on enhancements the developers just need to fix the bugs, and then be sure future bug fixes don’t break things again."
6,Pikaboo09,"February 17, 2019",3,"New update causing newsfeed to freeze Didn’t have this problem until yesterday when the new update kicked in. Everything else works fine, notifications, clicking through group posts and whatnot. But as soon as I go to news feed before or after doing other things on the app it just freezes. I’ve reset the app, I’ve reset my phone, I’ve cleared all of Facebook’s caches, and I’m going to try uninstalling and reinstalling next."
7,shellbell__,"May 1, 2020",1,"Cut the crap Hi Facebook! Right now people are home full time because they cannot go to work. These people (like me) are messaging more, posting more, and friending more. But for some reason if we do that too much (no one actually knowing how too much is you just have some secret number or something) we get banned! I’ve been banned twice and you wanna know what I was doing? Messaging my family group chat ABOUT MY AUNT BET WHO IS DYING!!!! Please either change this or just stop banning people for messaging too much and posting too much! You wanna know what “weird activity” is? When an account is just made and messages so many people at once and friends so many people at once but when you’ve had an account since 2011 I shouldn’t be flagged!!!! Go look at the new profiles doing this not profiles that’s been here for 7 years!!! I’m so tired of my Facebook being shut down while talking to friends and family or when I’m trying to sell something from market place or Facebook groups it’s absolutely redundant! If you’re going to ban people at least go into detail as of why not just “derrrr your acting weird on facebook derrrr” it’s annoying! Especially when we’re STUCK AT HOME DUE TO THIS VIRUS! Thanks God Bless"
8,ehmob,"March 17, 2020",2,"WHAT IS GOING ON??? A couple of my posts are being removed as going against Community Standards regarding spam. One was an historical article entitled “Coronasvirus and the Sun: a Lesson from the 1918 Influenza Pandemic” (I posted one and the other that appears on my timeline I was tagged in) The other post that was removed as spam was regarding digitized artwork from Paris museums entitled “Paris Museums Put 100,000 Images Online for Unrestricted Public Use”. In this case I did post both, the first time was March 4th, the second time was March 16 with a title that suggested a wonderful way to view the art work - by streaming the site. A form of entertainment that is both beautiful and educational. I would not be writing this here except for the fact that there is no longer a place on the app under Help and Support were I could pose questions or defend my posts. I was also unable to find FB’s definition of spam. Did I miss something or miss an update? I do try to update regularly. Or perhaps the most recent update for my phone, needs to get some more bugs worked out and improvements made. "
9,Daaabby,"November 2, 2019",1,"Terrible app, terrible website I hate Facebook. There's more things than I want to even write out. The security/customer service is pure garbage. Why? Because they don't have customer service! My Instagram (of course Facebook owns Instagram) got hacked and the situation was so complex that there was no way the automated response service could help with it. Come to find out there's no live customer support... Honestly, how is that even legal???? Does it even matter how many accounts there are on Instagram? It's not like Mark Zuckerberg and Co have no money to hire people or something? I don't know maybe I'm just crazy. Because I thought they were pretty rich."
10,Amyncosolo,"October 3, 2017",2,"Shutting down I don't know why but lately Facebook app has been shutting down and going to my main screen while I'm reading something😡very annoying!!! Fix this bug please! It also refreshes on its own. That's really annoying too when you are going through comments and then back out wanting to continue where you were before going to the comments and it decides on its own ""nope you were done scrolling"" 🙄 "
11,Diane Harris,"October 10, 2017",3,"Irritating App The app has been driving me crazy for months now. If I stay on the Facebook page, it only blacks out once or twice per evening. If I want to read something (my cousin's newspaper article, for instance) posted by my friends, the app blacks out every time and if I want to continue on Facebook, I have to open the app all over again and hope I can find my place. I'm almost ready to delete the darn thing!  Wondering if it's worth the frustration! I've written my problems to the staff through Facebook three times and have received no recommendations. Can the app be fixed?"
12,Kristycake,"November 6, 2017",1,"Enough with refreshing the newsfeed! I never write reviews, but these recent updates make me want to delete Facebook. 6 months ago, if I needed to pause my Facebook scrolling go do something else, I would just click someone’s picture and it would “hold my place” in my newsfeed. This was great. I’m a mom to a toddler and I oftentimes have to multitask. NOW, if I switch to a different app or put my phone down for 10 SECONDS to do something else, my newsfeed refreshes, and starts at the top. This is infuriating when I’m in the middle of reading an article or looking at an album of pictures. What is the purpose of this? Who is it benefitting? Certainly not your users. I find myself getting on Facebook less and less these past few weeks because I get more annoyance than enjoyment out of it. Do you not do any kind of market research before you implement these things? And please, get rid of the camera. Everyone and their brother has a camera on their phone. I think we’re set! I’m tired of swiping left to exit a post and accidentally hitting the camera which takes 10 seconds to load.  I can’t imagine what your UI/QA teams get paid to “ok” these poorly planned “enhancements”."
13,So Done!,"October 24, 2018",1,"Someone LIED to you Whomever told you this latest update was a great idea, SHOULD BE FIRED. 1)When notifications come in that I’ve been tagged or someone has replied to a comment I made, it no longer takes you to the post, just to the comment. So if I commented last week and I get a reply today I have absolutely no idea what the original post was about. 2) A notification disappears after I look at it. So if I have to refer back to it for any reason, I have to somehow find the page of the original poster and then hunt for the post. STUPID IDEA 3) When going to some notifications, when you click on it it takes you to a blank post. I see the persons name, the time they posted and maybe if someone reacted to it, but absolutely no post at all. There’s even comments on it but I see no post at all. Yes I have access to  their page, I haven’t been blocked and they call me to say “did you see my last post” and all I see is nothing. "
14,Sheryl1468,"November 11, 2018",2,"No notifications about my posts! For the last 2 months, the notification settings in the app are a complete mess.  The app will have the red number, but one of them are about my own posts. Any reactions or comments to MY posts don’t load in the list of notifications, so I have no idea about comments or reactions unless I actually go to the post itself.  All I see are notifications about my friends’ posts.  Further, while the news feed works fine, the list of notifications is limited to EXACTLY 20 notifications.  When I scroll to the bottom, the page just jumps and doesn’t refresh to show any more than exactly 20.  Maybe once a week I will scroll and be surprised to be able to scroll past 20, but it’s not because of anything I did or didn’t do.  AND once I scroll back to the top of the list and scroll back down, I’m limited to 20 again.   AND notifications for my posts still aren’t in the list.  I have a brand new iPhone 6s Plus (3 months), so if Facebook doesn’t fix it soon, I am going to be convinced that the problems are a way to push people to upgrade their phones to the newest versions."
15,Matti moo,"December 3, 2018",1,"If it isn’t broken, don’t fix it Nobody wants a game page or a group page. It’s amazing how many different ways you want to send me push notifications, that I literally only click on so that it will go away. I went in to change my notification settings and it turns out you will not let me turn off all group notifications at once and I have to go through a list and manually select out of 100 groups which ones I want, the slider for all is greyed out. This is totally unnecessary, and nobody asked for this. Why do I have a notification for every time someone goes live? Anytime an event is added at a venue I checked into ONE TIME that’s across the world in a different country? Facebook notifications used to notify me when someone wanted to talk to me, and I’ve done my best to continually update my setting but it’s getting crazy. Now I’ll have 7 notifications and check it and not a single one is about a friend I have that was reaching out to me. Events, game page, so and so went live, so and so checked in safe, I have memories from 10 years ago to look at, so and so posted in this group, like I do. Not. Care. And I don’t need a red push notification making it seem like I should."
16,The lord is exceptional,"August 4, 2019",1,Following the prompts doesn’t work at all I have follow all the necessary prompts that i am suppose to take and every since i got my new phone but it won’t let me get back into the app at all when i have repeatedly taken four selfies on yesterday with me whole up different numbers and i have taken some other selfies with me whole up different other numbers today as well but by me repeatedly doing this i am putting myself at risk repeatedly doing the same thing over and over again and if you are a new user to Facebook don’t trust it if you get log out and can’t get back in because you switch mobile companies and you don’t have your old phone number or old mobile phone and if you more than Facebook post they won’t take that down neither once putting you at risk for hackers so if you are a new Facebook user don’t trust it if don’t be put at risk for haveing more than one Facebook page and post i will not give Facebook any type of ratings for haveing my identity expose in a manner in which i just stated in this paragraph it’s wrong and will be getting in touching with the Federal Trade commission center since i no way to deactivate all my pages and post.
