index,author_name,review_date,reviewer_ratings,review_body
0,Nucleus Rhyme,"April 15, 2020",3," A decent barcode reader app, and I appreciate the lack of spam, but why bother with this app when there are others that offer the 'pro' features for free?"
1,SOCIAL MEDIA of VIVEK GAUTAM,"March 16, 2020",5, Very fast and ads free..... Most appropriated
2,Radhakrishna N Mohanty,"February 25, 2019",4, Everything is there but the option to scan a photo saved in the mobile is not there. which is a very important feature. waiting for 1.1.0 update... Don't know when will it come?
3,A Google user,"February 1, 2019",2," Took an awful long time to scan a QR code, but if the scanned code is longer than the screen is wide, it doesn't wrap, so you can't read it."
4,Erwin Nguyen,"August 24, 2019",4," Hi dev. I see the tab create qr location code a little bit complicated. I see ""Long Lat"". It should open a map & let you point your finger to a place you want"
5,Anonymous edgy nerd,"June 18, 2019",5," Best I've found, but the ability to share a text from a different application and send to this app would be a great convenience"
6,Dan Poka,"July 29, 2019",4, first time i open it after update didn't pick up qr code off of laptop screen but now looks like it does work. great that it has no ads
7,kyrie Alex,"August 21, 2019",4, I just love the app.. it's really doing an awesome job. Very fast and less Ads..👍
8,Kapil Gupta,"June 9, 2019",5," awesome, didnt know you could use qr code to share so many types of info."
9,Ardianto S. Wijaya,"October 17, 2019",3," Add more options in vcard / contact like an organization, job title, website and geolocation."
10,Nithin A.R,"June 27, 2019",4," The app has some bug problems, So please solve that problem then this app will be the best app."
11,joseph shafik\ يوسف شفيق,"October 14, 2019",5, That's a good app This helps me to do any online works Really it's fantastic app
12,Vivian Rego,"September 28, 2019",5, Simple with no ads
13,Victor Cipriano,"July 19, 2019",5, the best qr code reader ever
14,ShaZz Mughal,"April 26, 2020",5, This app is so good. I use many QR scanners before and i felt difficulty with them but this one is the best i didn't find any error or fault.
15,Zainab Junaid,"April 25, 2020",5, It's easily scan doesn't crash and it's free QR reader or scanner. Very user friendly. Great Job..
16,William Hinoe,"April 25, 2020",5, This QR code reader is very easy ro understand and use. Thankyou . Keep up the good work
17,MD.Junayed Reza Dipto,"October 27, 2019",5, Best app.
18,Graham Neal,"August 17, 2019",5, good
19,waseem mansha,"April 3, 2019",5, nice app
20,Sajjad Sarwar,"April 25, 2020",5," This is an amazing app. Easy to use and no complications. If you are looking for an easy to use QR scanner , you are in the right place."
21,Abid Ashraf,"April 22, 2019",5, good
22,Shahadat Hossen,"September 27, 2019",5, Nice
