index,author_name,review_date,reviewer_ratings,review_body
0,Waelwulfan,"March 28, 2019",2,App needs so much work The service itself is great.  All of my complaints are with the app and not Pandora itself.
1,CrystalNWilliams,"September 23, 2018",3,"Pandora’ Disclaimer Allow me start off with how much I utilize Pandora. I have had a Pandora account for at least 8 years. But recently I have purchased the Pandora Premium account. I loved the idea of downloading music to listen to later and I have my own personal music list. I loved the idea of the “Offline” feature as well. But recently I have ran into a few issues. 1 of them being when I switch the offline due to being in an airplane... it only allows me to listen to SOME of the songs even though I have downloaded them. When I go to click on the song it states that it is not allowed for playbacks. 🧐 Sooooo... why was able to download it if I can’t replay it?? 2. Then I was listening to my songs with WiFi and it was telling me that I can’t listen to the songs because they are not allowed for playbacks... so no matter what.... you allowed me to feel like I was given the opportunity to have the song on my playlist BUT I can’t listen to it?? 3. You are able to listen to a lot of songs. You can search for a lot of songs. You can discover new songs.... but you can NOT download a lot of these songs... so my conclusion is... deal with the lack of skips, commercials and keep the free option because it’s not worth what they charge. Very disappointing."
2,pv15,"December 3, 2017",2,"Two stars for what Pandora once was... I’ve been a fairly long time user of Pandora One. The poor performance of this app is almost making me consider leaving them for online radio. First and foremost, here recently the app has been real garbage. Every time I open it it’s either wanting me to sign into Facebook, or sign up for the higher Pandora service. To me that’s a bit insulting as a person that already pays for Pandora One. There aren’t supposed to be ads, and I certainly don’t want to sign into Facebook on Pandora. Here recently it’s been terrible about audio playback too. For example, the other day if I’d switch to another app or if my phone would go to sleep Pandora would quit playing music. An uninstall and reinstall of the app did fix this. Another issue I’ve been having is sometime I’ll get a notification from another app, the music volume turns down for said notification, but then it doesn’t turn the music back up after, making me close the app and reopen it. One other complaint I have is if I pause the music, the app sometimes just plain seems to forget once I hit play if I spent too long on pause. In order to get music to play again I have to go and reopen the Pandora app. Often times whatever song I was enjoying is no longer there. Really discontent with the quality here recently."
3,Combzz,"October 21, 2017",1,"Ads, ads, and then more ads Too many ads of course. I spend 1 minute (two 30 second ads) listening to your ads, ok great. Then a song comes on that I don’t like, press skip, instantly 2 more adds. So now 2 minutes have passed and I’m still stuck with listening to the SAME ads over and over and over again. The ad frequency is way too high compared to any other free radio out there. Plus, the music that does get to play isn’t even what I like to listen to. And a lot of time the music isn’t even tailored to the station. And then there’s the issue where after 8-10 songs, it literally LOOPS!!! It will the start playing the same songs you listened to an hour ago, or where you last listened to Pandora. Pandora is the WORST out there. Compare that to iHeartRadio who has a way better tailored music experience and less ads that are actually relevant to me. On top of that, the only benefits you receive after paying monthly for their premium is just “more skips” and “less ads”. There are definitely way better services out there that when you pay you get “no ads” and “unlimited skips”. Pandora is just a major waste of time, they’re only in it for the money and because of that they’ll eventually die off as someone else overtakes them; unless they radically change their business model and put the user listening experience in the spotlight."
4,SobbingPuppy,"January 4, 2020",5,"I love this app I don’t have the premium plan but nevertheless I would definitely vouch for this app. I recommend this to anyone who wants to jam to their music even with the slight interruption of random catchy ads that you’d surprisingly enjoy. The only thing I can think of that would make one confused or upset is the replay button when you specifically request a song in exchange of a few seconds of advertisement. The replay button within itself does its job; replays continuously until your time is up. On the other hand, when you tap that button twice, to request the song to repeat only once it doesn’t do so. It would replay the song continuously until time is up, which normally doesn’t happen tho because you’d realize it continued more times than wanted. But that can always be fixed, simply by stopping it from replaying by tapping the replay button once more to allow it to go on auto play immediately after or even just requesting another song 😅"
5,Caleb1744,"February 5, 2020",1,"Nothing compared to Apple Music There are a lot of adds on Pandora and after paying the smaller subscription (something like $5 a month), I found that I was still limited in what I could do. I was not able to make or edit playlists nearly as well as Apple Music if at all (I never figured it out), the amount of likes and dislikes was also limited. There came several times when I noticed an apparent glitch in the system as well. There was a type of song that continued to play on a certain violin station (Daniel D) that sounded almost like a metronome. I pushed dislike. But then, as if I actually pushed “like”, it played another similar song. Before I knew it, I was listening to nothing but that type of music and patiently disliking every last one. Then I ran out of dislikes. I have noticed that a lot of stations are seemingly preset mostly by popular trends. My likes and dislikes don’t have as strong an influence as they should."
6,Fixxerboy,"June 13, 2018",2,"Tricking people into buying the app... disgraceful I am a long time Pandora listener. Decent streams of all sorts of genres of music but a lot of replay in a short period of time which is bad/good for some so I’m not judging on that.  I would happily pay a fair price for their service ($2.99/month).  I feel they are greedy and not in touch with the reality of the situation, the fact that the internet is saturated with online music provides many of which are free.  But the reason I will never buy service from Pandora is because they purposefully try to trick you almost every time you click on the app by moving the “purchase” button at the precise time the average user goes to click on “not now”.  They have spent way to much time and energy trying to trick users into buying their service when a few days of honest assessing of the current competitor market would yield a fair but lower subscription price.  This would in turn give them a larger subscription base and in the end more revenue.  Please don’t do business with a company that practices borderline unethical business practices, if they are willing to do this everyday in front of our faces what else would they do to keep you locked in as a subscriber?  Come on Pandora, is this really the relationship you want with your customers?"
7,Navy Tester,"November 7, 2017",2,"I want an improved music service This is Pandora’s last week to prove that it’s the music service for me.  I drive a lot between major cities and service drops all the time.  Even when i have good service the app locks up and makes me reboot.  Lastly, it’s not clear what or how im paying for plus.  I guit once because of the ridiculous monthly tap when all i wanted to do was pay for a year and forget about the hassle  of remembering to deduct monthly payments.  Now, i cant see (on the app) how I’m paying, again.  Ill logon to the website and find out if I’ll just quit then and there.  Apple music had been sending little treats and Pandora hasn’t been concerned enough to make the app work through my iphone ( so far) and without a pretty rapid service improvement ( i just updated the app) and a means to see how I’m paying for plus from my very secure phone, i will quit and move on.  I have to add one more, i was engaged many years ago by a stellar customer service representative.  She was so helpful that i nearly stayed on, in spite of the required monthly payments option at the time.  When Pandora finally adopted the annual payment option again, I don’t return. But now service is suffering.  Please make this right.  Thank you very much for reading my novella! 😁"
8,Courtney4367732,"February 16, 2020",3,"Pandora Plus...has its flaws. First of all, with Plus you’re supposed to have the ability to listen to a few offline stations. In theory, it’s supposed to switch to offline mode automatically when you lose cell service or internet access...rarely ever does this happen automatically. Also, of the 4 available offline stations, usually only 1 works. At least a third of the time it will say all stations are unavailable and will play nothing. My second complaint is something that annoys me so much, I’ve been looking into other music services. Even though I pay for ad free and already have Pandora Plus, ads for Pandora Plus pop up constantly! Initially premium ads were coming up, and that’s annoying enough, but then to keep pushing Plus on me when I ALREADY HAVE IT is just too much for me."
9,Vipedogg,"December 1, 2017",5,Can’t get it right AGAIN!!! Once’s again you mess up the app. Now I can’t get it to work. When I turn it on the app then   when I closed the screen to let it play in back ground. It turns off the music. Then when I try to put it back on it freezes. I have to turn off the app then turn it back on. This happens every time. Now that I paid for this service it not working. This happen 1 day after the last fix. Plus you can’t see whats playing in the lock screen. Just shows the pandora app is on. GREAT JOBS!!! (Not)
