index,author_name,review_date,reviewer_ratings,review_body
0,Soumya Kumar,"April 30, 2020",5, Amazing travel experience for this app. Best deals for flights & hotels.
1,kumar AMIT SHIVHARE,"April 24, 2020",1, It's not user friendly...if you book tickets unable to find the option of booking details.
2,jarrard lourdes,"April 28, 2020",4, The price is good. Just the timing may not be as good as you want it to be.
3,WhEnG Diomampo,"March 19, 2020",5," Arranging travels is now made easy for me. I have downloaded wego app because it helped booked my flight. To my surprise, it also gave listings of hotel near my destination so I no longer have to download trivago app to look for a hotel! Sweet app."
4,catherine gito-diomampo,"March 19, 2020",5," i love how this app works. it is an all in one solution for someone who is having problems with hotel booking, flights, and itinerary. this app caters to all of those issues!"
5,Vikash Pandey,"April 11, 2020",5, I find it very awesome app and its helps me alot in find cheap and best hotels in maldives
6,prathamesh salunke,"April 20, 2020",4, It's very useful for searching flights and hotels in my experience.
7,Ronald Salami,"March 28, 2020",4, Fantastic It will be nice if you allow 4 installment payment prior to the travel date. it will be nice if you can work something out for people who can't afford one time payments.
8,amarendra kumar,"April 24, 2020",1, No proper response from the live chat. Very poor in customer service .
9,mohammed parvez,"April 28, 2020",3," Website gives best price overall 👍.. but when it comes to refund it's very difficult, so far what ever I cancelled I never got any money back..airline says we refunded ask your website to refund back"
10,Evans Olumene,"April 18, 2020",5, Easy to log in and very fast to show information..
11,Dana pablico,"March 17, 2020",1," WeGo flights its not good Apps.I Have a Very Bad expirience here. They will direct you still in other agencies, if u want to cancel ur flight they will not do anything for u to refund ur money... dont use this apps. if u will struggle it comes of refund."
12,Lewis Sanders,"March 12, 2020",1," no need to send (auto-reply) rather read the original comment which is simple, you guys are obssessed with updates... why the update rush? just make one good update at a time instead of going on a spree!"
13,Praveen Kumar,"April 16, 2020",5, Great app for fligh tickets in best prices ..
14,Mohammed Tariq uddin,"March 16, 2020",5, This app is good for advance ticket booking and hotels and I love that
15,Mohsin Jaweed,"April 5, 2020",5, It very easy to book flight
16,Gerard Gito,"March 12, 2020",5, My spontaneous travel is possible thanks to the wonderful features of this. Browsing place to travel to is easy as the app can make geolocation searches. It also gives me options to bookin for hotels and places I can stay in during travels. I dont have to download any other app to book for flights a...Full ReviewMy spontaneous travel is possible thanks to the wonderful features of this. Browsing place to travel to is easy as the app can make geolocation searches. It also gives me options to bookin for hotels and places I can stay in during travels. I dont have to download any other app to book for flights as this app comes with a feature that solves finding available trips. This app also supports multiple currency which is less hassle when estimating my travel budget. Nothing more I could ask for...
17,Harsh Shah,"March 18, 2020",1, I have made a booking and I have not received any booking confirmation.neither anyone is avilable on chat.what kind of pathetic service is this
18,xXRMGG2 Play_zXx,"March 9, 2020",5," Wego is by far the most reliable travel and booking app out in the market. The features tourist destinations and listings of nearby hotels avai tlable for me to choose from. You can book directly via Wego. Additionally, it also enables me to book my flight. It completely takes out the need to downlo...Full ReviewWego is by far the most reliable travel and booking app out in the market. The features tourist destinations and listings of nearby hotels avai tlable for me to choose from. You can book directly via Wego. Additionally, it also enables me to book my flight. It completely takes out the need to download a third-party app like skyscanner. Wis highly recommeded for travelers like me!"
19,Gloria Perez,"February 17, 2020",2," I always booked my flights from this app. But now I have to think it twice because I noticed that they don't check the agencies and I booked 2 tickets from ""kiss and fly"" that company take the money and don't help at all to resolve any problem with the flight. I just want to change the the return fl...Full ReviewI always booked my flights from this app. But now I have to think it twice because I noticed that they don't check the agencies and I booked 2 tickets from ""kiss and fly"" that company take the money and don't help at all to resolve any problem with the flight. I just want to change the the return flight and everything is via email with no solution what so ever. Very disappointed."
