index,author_name,review_date,reviewer_ratings,review_body
0,tyler2386,"November 27, 2019",1,Fraudulent So I’ve never had problems with other sites booking a hotel and didn’t expect to have such a headache of a time with these scum. I have had two bad incidents now within two days. First I pick the hotel and the bed and go to book and pay I click pay and it says oops the deal is gone select another room and book now. All the while my card was charged the full amount for the room that was never booked. Now when I contacted them they said they didn’t charge my car that it is a hold placed but not by them so says the rep I’m talking to they can only release the funds and then I have to wait 5-7 days for my money to be put back into my account. So I figured alright I’ll wait. Then couple days later going to book another room what do you know same thing happens again charged my card full price and didn’t book the room at all. Now I’m out a couple hundred dollars until this “release” goes through and I get my money credited back to my account. DO NOT ISE HOTWIRE AT ALL FOR ANY REASON THEY WILL SCREW YOU OVER AND NOT TAKE ACCOUNTABILITY ON THEIR END AND BLAME YOUR BANK AND THAT YOU NEED TO CONTACT THEM INSTEAD OF HOTWIRE IM FILING A COMPLAINT WITH BBB AND MY BANK IS OPENING A FRAUD CLAIM AGAINST THEM FOR THEM SAYING THEY NEVER CHARGED MY CARD YET IT STATES CLEARLY IN MY STATEMENT HOTWIRE SO OF THEY DIDNT AUTHORIZE THE CHARGE THEN ITS FRAUD AND NEED TO BE INVESTIGATED SO IT WILL BE!!!
1,Pointless games,"December 26, 2018",1,Hotwire customer care terrible Booked a hot deal and my card was charged. I was then brought to a screen that said an error occurred and that deal was no longer available. So I had a full trip charged to my card and Hotwire customer care refused to do anything except lay the blame on my credit card company and me. Took 4 days for the credit to be available on my card again. Their customer care department is a third party company out of Malaysia that refuses to give you information on how to contact Hotwire corporate offices after they ultimately refuse to help you.
2,Husky Dad,"June 11, 2019",1,"Skip the app and use the website Worst app ever. For most hotels it only shows 1 picture, even when there are dozens on the Hotwire Website. I tried to book a trip on the app anyway, but it kept saying my credit card wasn’t recognized. So I called my credit card company and they said They authorized the transaction, but Hotwire canceled it. So I called Hotwire and they said it’s because I was trying to book a deal that wasn’t available. After hearing this, I looked again, and the deal still showed up on the app. I also had $15 of “HotDollars” credit, which an email said I could use to book, but couldn’t use it on the app. This app is so much worse than the website."
3,Loknasta T,"October 10, 2019",1,"Scam! Hotwire car rental is such a scam!!! I booked car online on September 30th and I got HOT RATE  for it. When I went to rent a car agency ( Ace ) they told me that there is mile limitation for my reservation ( 150 miles a day ) and that I should cancel reservation because if I go further that 450 miles in 3 days I will pay 25 cents per extra mile. These conditions WERE NOT in terms and conditions when I accepted reservation. I called hot wire after agent in ACE told me to call them and cancel. Hot wire did not wanted to cancel my reservation because they told me it was a blind reservation and it is not refundable?! I told them that even if it is blind reservation they SHOULD put all the conditions when you book it, otherwise I got stuck with the car I cannot use. They said they will put those information in the future 😡 I told them I don't care about the future, I want my money back now because it's crazy to scam people like that and do not put all the conditions when you book a car. I ended up being charged for a car I did not use. PEOPLE SAVE YOUR MONEY, do not use HOTWIRE! Their customer service is rude and their supervisors not doing their job."
4,DougBoydad,"November 8, 2019",1,"Poor Customer Service and Retention Our company is removing Hotwire as an option for future travel needs. Due to human error (or perhaps a manipulation by the app) the incorrect date was selected on a reservation. I did make the mistake of confirming that purchase without rechecking the date. Once the error was determined we contacted Hotwire 24+ hours before reservation and they would not cancel and credit. After reaching a supervisor on phone I brought up the fact confirmation email does specify it is prepaid and can’t be cancelled. She wanted to resend confirmation email so I would have the right polices. She sent the email and well it was the exact same. So now I question if I made a human error in date selection or if app moved date. See the hotel was actually sold out for the dates I believe selected and the Hotwire reservation was a night following when the hotel had availability. In any case, Hotwire was unwilling to offer a credit or refund and chooses to loose out on future business. Poorly run and a shame human error is being taken advantage of. Fool me once but not twice!!!"
5,dbstock,"August 2, 2019",1,"Buyer Beware I used Hotwire to book my car rental for a trip 2 months from now. I had to make a change to the dates so went to the hotwire site, no change button to be found. Called customer service and asked to simply change my itinerary dates and was told not possible and reservation non-refundable. Just like that, a click of the button and they are stealing $300 from me. Whatever contracts they have in place with car rental companies, a customer should be able to make a date change, especially for a trip 2 months down the road. We are not talking about airline seats last minute at risk of going unfilled. This is a silly car rental reservation. At minimum Hotwire, you need a flashing pop-up warning with flames at checkout that says something like, “BEWARE Hotwire sucker, if you dare try to make a date change after you click this, just know it won’t happen because we’ve already charged your credit card and pocketed your money!” Next step, contact my state attorney general and file a complaint."
6,Rifferr,"November 13, 2018",5,"Best Deals I’ve seen this far! I’ve used Hotwire twice now, both to book hotels in Charlotte, NC. First one was a 4-Star Hotel in Uptown Charlotte for about $111/night which was about $140 cheaper than any other hotel in the city. Next time I used it we got a 4-Star Hotel in the heart of the city for about $104/night - even better than the first time! Although you may not know exactly where you’re staying at the time of booking, it may be worth while if you are planning on being in a big city or somewhere loaded with hotels because this website will give you the best rate because of that no show until book policy. Just read the details like free WiFi, parking, choose your bed or hotel chooses for you, etc. before booking and you shouldn’t have a problem!!"
7,GuiSBorges,"November 6, 2019",1,I’ll never use this app again PLEASE DON’T USE THIS APP! Just go ahead and stick to booking or Airbnb!
8,Link2Leo,"November 10, 2018",1,Swindler App! I'm a long time user of Hotwire and thought to have learned the ins and outs of the app through experience but when I booked a rentacar with Ace @ LAX I was greatly disappointed to discover not only is Hotwire deceptive but also dishonest. They are swindlers! 
9,Lil Wonder,"April 8, 2018",1,"Won’t even switch hotels when you’re in danger Last year I used Hotwire and I got booked at a Hotel that I was previously booked at through Hotwire in another year and which I felt very unsafe. When I called to see if I could switch hotels and explained to them that the previous year I had an incident happened to me where I was assaulted at that hotel, they refused to change me into another hotel and told me that all bookings were final. It took me two hours to finally get them to at least change my Hotel as they would not give me a refund. "
10,Dmpyle,"October 2, 2017",1,"Terrible app for a terrible company This app and the company behind it are horrible and you can save yourself a lot of pain by avoiding them both. I was trying to book a hotel for the following week and noticed that the app kept changing my dates to the current day every time I refreshed the search. Finally booked one and thought I was good to go. When I arrive at the hotel they have no idea who I am and it turns out the app booked the hotel for the same night I booked it. Then the hotel says someone checked in and used the reservation. I called Hotwire and they said since it’s a “HotRate” deal there are absolutely no refunds or changes, which apparently includes their system screwing up. So now I payed for someone else’s hotel room last week and had to get a last minute room at full price when I arrived totaling over $700 for what ended up being a 7 hour stay in the hotel. I will never use anything with the Hotwire name again"
11,vee562,"June 19, 2018",1,"Not accurate description of hotel I booked a hotel and one of my main filters was a hotel with a pool. I chose the hotel but upon arrival noticed construction going on at the hotel near the pool. I then ask the receptionist and she says it will be opened the next day, FOR SURE. The next day, the new girl now working the front desk, says the pool will be opened after 5. Again I let it go because our reservations were for a few days and we would have time to hang out by the pool once it opened. I return to the hotel later that same day with my two children and husband to see posted signs saying the pool will not be opened til renovations are completed. I was very disappointed with Hotwire for not letting me know this hotels pool would be out of service and then the hotel, Comfort suites Odessa, for giving me the run around. Very inconvenient and upsetting. I work hard for my money and want what I pay for."
