index,author_name,review_date,reviewer_ratings,review_body
0,RedXIII_,"June 14, 2018",5,"A joy to use Kayak has been a fantastic company to use for anything travel! & has continued to impress me with their fun and very easy to use features. Airline companies often set standard pricing for their flights and the caveat that the normal person is looking for it matching all these flights with their specific needs i.e. layover timeline, # of bags, airline make/model, & flight times. A ‘Good Deal’ is a very generalized term and many other apps use that as their main means of persuasion when in fact it’s clear that sites like Kayak are so good at categorizing exactly what meets your needs and alining airliners to your schedule, like advertised they have a multitude of tools like bag number and layover timeline settings with a accurate representation of what the cost will be regardless if it is two separate companies. If you choose a flight selection that has a 2 hour layover for one airliner and you select ‘book’ the airliners website which it directs you to within the app has that selection already selected. I could go on and on about how easy and secure this app is to use so please give it a try."
1,A1y2a3n4a5,"March 17, 2018",4,"Great Site I've been using Kayak to book my flights for about 2 years now. I like them. Only thing that would make it better was if you could filter what types of flights you wanted for alert emails. I have two kids I'm flighting with this time and even though my last two flights basic economy was a great option because I'm not particular about where I sit, this time around I need to ensure my boys are beside me. I get really excited to see a price in a email just to see it's basic economy and the regular economy tickets are like $40 more. $40 difference is a lot when you need 3 of them. Another great improvement would be being able to mix and match the flight there and the flight back. Since we're going to New York to visit my fiancé I want a really early flight to get there and a late afternoon to come back. Sometimes they add up like that but usually they don't. I could book them separate but it would be a lot easier if they could just be chosen like that. Those are my only complaints. Still like and will use the site."
2,H3110 101,"March 4, 2019",5,"I love this app I got this app for one plane flight, simple as that. I was planning on deleting it right after because I thought I had no use for it. But then I started to realize that any trips I was planning on taking would show up on this app and would be organized by time and date (because I connected my email)."
3,Maddie1975,"June 11, 2018",4,"Great except for one thing The app is amazing. It is beautifully designed and works amazing. I only have one problem with it. It won’t let you search for a “youth’s” flight with no adult. Anyone above 12 is allowed to fly by themselves.  They have a “youth” listed as a person between 12-17, whereas a “child” is 2-11. It would seem that they have this separated for the purpose of allowing someone to look at prices for just a youth; However, even when the youth ticket is added, when you try and delete the adult ticket selected on default, it will tell you that there must be one adult traveling. This makes it harder for me because different airlines charge different fees for unaccompanied minors, especially the ones that charge for the unaccompanied minor service no matter their age. As I am trying to book a flight for 2 teenagers, this is necessary for me. Disregarding that, the app is the most user friendly and easy to use booking apps I’ve seen."
4,NOK1033,"April 23, 2018",1,"Beware of “trips” portion of App I have used kayak for a long time but recently had a very terrible experience and will not be booking flights through kayak anymore. Beware of the “trips” portion of the app. I bought a flight through kayak and it was added to my trips. There were changes to my flight, but my trips still reflected the original times, even though I used kayak to purchase my flights. Long story short I ended up missing my flight and paying lots of money in change fees. It’s odd to me that the company automatically lists the flight you purchased through their company under “trips” but do not update the flight information if an airline changes flight times. Even when I missed my actual flight my app still said “4 hours 27 minutes until take off”. Super unfortunate end to a trip, but learned my lesson to never book with kayak again. Also, when trying to sort and talk through this issue, I was unable to speak with anyone from kayak. The closest contact to a human you can get is through an email."
5,Colonel Brian M,"November 24, 2018",5,"Love KAYAK As a retired military officer I’m entitled to “Space Available” flights on military aircraft. For the past five years I’ve taken advantage of this to fly from Travis AFB in California, through Yokota AFB in Japan to my final destination in Singapore.  That’s when I start using KAYAK to investigate and book flights throughout South East Asia.  Using KAYAK I’ve been able to comfortably book flights to Australia, Malaysia, Thailand, Vietnam, Cambodia, Laos, and the Philippines.   I also use KAYAK to get me to and from Orlando to Sacramento to start and finish the free portion of my travel from California.  I’ve tried other travel sites and always return to KAYAK.  I particularly like the feature allowing me to check the day before and after a travel date to get the cheapest flight.  I don’t know how we’ll KAYAK works in other parts of the world, but where I travel it’s clearly the best."
6,Kwalter11,"February 4, 2019",5,Update! This is such a good app so much better than Trip It or any of the other travel apps. But I really wish there was a way to automatically add the same passengers to different flights. So you don't have to add the same info for the same passenger over and over again. Also I wish that after you have put in a passenger/travellers info including their ticket number and seat number it would load mobile boarding passes onto the app for that flight. Or you could import mobile boarding passes. Keep up the good work Kayak. If you add these suggestions it will be 6 stars.
7,H2018A,"September 23, 2018",4,"Not always updated or working It seems your recommendation for price change is not always appearing. Sometimes it recommends to wait as the prices will drop and sometimes does not show up at all. Then you want to follow it, but even the next day it does not tell anything, it makes it confusing to decide on waiting or buying the ticket at that time or still continue waiting as was suggested a day before. You buy the ticket due to uncertainty of the idea that in fact prices are still going up in those two days then after a week it starts showing up to wait again as the prices will drop. This is not costumer friendly. It is valuable to have such option for following, but if not consistent it becomes tricky."
8,Ericwood86,"March 11, 2020",3,"Website is great. App not so much. We’re planning a wedding. The app, despite specifying dates without the option of plus/minus one day, it’s just factored in without making it clear that they have done that.  You have to be smart enough to check dates, for day scouting out a destination wedding venue. Which sounds stupid since dates are obvious. But you give us a cocktease of flights extremely by one day off from correct travel plans and it’s not until we double check that we are disappointed. Appreciate all that you do, but you need to do better. On your website it’s quite clear if you’re adding a day either direction. On your app you just do it and don’t let us know. You have to assume we are stupid and won’t double check until the point we book. Bc that’s what most of us are. Stupid."
9,eddie laso,"March 29, 2019",5,Worst experience ever spend over a thousand because of this company I normally use them for any vacation I go on but I missed my flight on Saturday in lax going to Charlotte NC and when I got to the airport they said only see one ticket from Washington to Charlotte and could not see any other tickets so we had to purchase new tickets on top of this from some where else but kayak charged my bank account and reaching them was impossible because it was an computer speaking for them I left my number and still have not received a call back from them if it was not for my bank I would not have receive a refund so if you do not care to speak to actual customer service reps then use it
10,2man73,"October 31, 2017",3,"Ok for searching flights Using this to compare flights. Works ok if you know how to work around the issues. Airlines are smartening up and for example offer very reasonable prices until you discover that your first checked bag, your hand luggage, your meal and who knows what else all cost extra, so to really compare apples to apples gets harder and harder. "
11,SriniVR,"October 31, 2017",5,"Great app, can improve Kayak is a great app, and I really like the explore feature.  I have found great deals using this feature.  With the explore feature you can set the filters to narrow down by month and $ amounts.  "
12,YuTube2U,"January 26, 2018",5,"Kayak’s trip info is excellent I LOVE this app. Yeah, it does a great job finding flights, cars and hotels but it’s real gem, the thing that makes this The Travel App is how it helps organize your trip. Everything neatly organized, in order. You can simply send your booking receipts to an email address and it organizes everything for you in one neat place. You can even pull up the booking receipt in the app, even if not generated by Kayak. There’s a cool way to show your taxi driver the address in a way that she doesn’t need to use reading glasses. One click and it’ll give you directions on your choice of Waze, google maps or Apple maps. This app Gets it Right. Way to go guys!!"
