index,author_name,review_date,reviewer_ratings,review_body
0,alanaalexis,"March 31, 2020",2,"They lie to you I have never had any problems with this company/app but today really changed all of that. I wanted to add money to my account to cover some charges so I transferred almost $90 from my bank account to my Venmo account. If you have used this app before you know when you make a payment to someone the money comes out of your bank the next day. I checked my bank account and it came out so I check Venmo and it doesn’t show up. I talk to customer service on the chat, over email, and on the phone. Over chat and email they tell me it is run as an ACH transfer and takes 3-5 business days to show in my account. I work in a bank with these types of transfers and they never and I mean NEVER take 3-5 days. They take one at the most two days. Furthermore it was not run as an ACH transfer it was run as an auto debit (as if I swiped my debit card). I asked multiple times why I was being lied to and no answers just a run around. The girl at customer service on the phone was really trying to help me but she just didn’t have any information. I don’t know if she was new or if they just don’t care enough about their customers and employees to give them info and training to be able to help people. "
1,breiannmavraedis,"August 5, 2019",1,"wish I could give zero stars I have money that was sent to me for bills on my Venmo and when I tried sending it to my bank it immediately locked me out and said my account is frozen... I’m not sure why but it won’t even let me do anything from this point in my account. I went online to your “help” page and followed the instructions for a frozen account... it ended up being a dead end. I then called customer support and they wouldn’t even tell me the issue with my account, just said it’s going to take 5-7 business days for an “account specialist” to look into my account. I don’t mind that, all I asked was if I could send that money back to the original sender or just cancel that payment. They said once a payment is sent through there’s no way to get it back to the sender, not even through customer support. So basically I have money sitting in my account and I can’t even touch it because my account is frozen? And they won’t allow me to speak with anyone before the seven business days. Absolutely shocked and mortified with this apps customer service skills. Very obvious that they don’t care about their customers experience and they have zero safeguards for protecting the financial aspect of this app. There should be some way to send that money back to the sender so I’m not sitting here waiting for nearly two weeks just to access those funds, or allow me to speak to an account specialist over the phone. Once this situation is handled I’m never using this app ever again."
2,MrRyanB,"January 3, 2020",5,"Private Commerce Public Benefit The creation of Venmo with its rapid success and broad public acceptance of the ubiquitous private wire transfer-like service, has affected the way we pay our rent, paid our friends for our share of a group vacation, bailed out our college student son when he had unexpected party costs at his fraternity, and there are now myriad other examples of private commerce being conducted constantly between the people of this fair city. But are the exchanges on Venmo more than a mere convenience? I believe that the legitimacy and subsequent public trust of doing business through Venmo has benefited our society in the most positive way by providing a legitimate and convenient way to pay or be paid by anyone with a bank account and internet access. The widely accepted nature of the effect Venmo has had, increasing the ability for people to pay and receive debts and the perhaps unintended consequences have been that Venmo helps the economic conditions of the places it is used, putting money in people’s pockets in a fast convenient way and with Venmo, gone are many excuses for why a debt cannot be paid, which will be the greatest benefit to our economic life that Venmo has provided. This private sector venture is creating public sector benefits and for that I am grateful."
3,Kevin.Christopher,"February 18, 2020",1,"Venmo is a horrible company There are so many issues with Venmo it’s completely ridiculous. Their app is a complete joke. Every transaction I’ve ever done has had issues. Basically you get a generic error that says it’s your bank that’s the problem and that they are rejecting the payment. Which is completely untrue. That happens like 20 times and then randomly on that 21st time it goes through an hour or two later. The customer service is the worst I’ve ever seen. They deactivate accounts without giving a reason or even attempting to contact the account holder first. They just deactivate the account and say we are not going to give you a reason (claiming that this is to protect their other users because knowing why is somehow a security risk). They don’t even let you respond. “If you have any questions on this decision, this matter is closed and we can’t help you”. All the funds in the account they put under hold and you will likely never see them again. They are basically a bunch of thieves taking money from good people who made valid transactions that they deem invalid for their own made up reasons that they don’t want to share. When they see an opportunity, they cash in. I could keep going on with their bad business practices but my advice to anyone is just stay away. I personally wish I had never used their service, if you can use something else. Unless of course you like throwing your money in the trash or burning it."
4,PJB2B,"December 15, 2019",1,"Venmo card has been nothing but grief As far as transferring money to another person the service works pretty well , just like CashApp or PayPal. "
5,alexiam.k,"July 29, 2019",1,"Frustrated and Disappointed 👎 I have had three venmo accounts and all of them had been shut down without any explanation. I use this app as a method of payment for my car cleaning services and without a doubt, each one gets shut down without hesitation in a matter of a couple of weeks, very frustrating. Venmo makes no effort to provide me with a reasonable explanation as to why ALL of my accounts have been shut down other than claiming it was their decision and I can no longer use their services."
6,Jules Jimenez,"November 11, 2019",1,"Venmo is LITERALLY the worst!!! When I first started using Venmo a year ago, I had zero problems. Friends and family would send me money and I would use “instant transfer” to my bank account since that was the quickest way to send money and I would receive it with NO ISSUES! All of sudden I am getting problems with the instant transfer. I have contacted Venmo myself and let them know the situation thinking they could fix the problem since it’s on them, but they are just useless and they offered me a “better solution” to the problem which was waiting 2-3 business days for the money to be sended to my bank account. HAHAHA NO. So apparently now their system is “declining” my instant transfer funds and there is nothing they can do about it. How could you not do something about this!? It’s your company declining my transfer! If anything YOU SHOULD BE THE ONE TO FIX THIS. All I am trying to do send MY MONEY that I need to in my bank account, and yet I can’t touch it. This is absolutely ridiculous. This isn’t the first time this has happened to me with the instant transfer fund, but now that this is happened to me a second time, I am done. After I figure out a way to get all the money onto my bank account, I am deactivating Venmo. I will never use Venmo again. If you read this, please don’t waste your time on Venmo, because like they told me, there is nothing they can do about it. I am extremely disappointed and upset. Goodbye Venmo. 👎🏼"
7,Dklst,"December 16, 2019",1,"Was best cash app until I had a problem with my ATM withdrawal. Not having any transactions for over 24 hours, when I went to the ATM it declined me even though there was more than enough money in there. Thinking it will be a simple fix ended up being a 24 hour headache with still no resolution, And my money on able to be withdrawn or even used for purchases. Went from the best app to the worst app in one day! The funny part of all this headache, every time I called they said there is no holds or locks on your account everything looks fine. Something you must’ve done at the ATM cause the computer to decline it. They couldn’t clear anything in the system and the best suggestion was wait a few hours and try again. After trying again and again, and calling them again and again. I was still on able to withdraw from the ATM. They don’t know why I was being blocked and said there is no hold on my account. I said to them if I can’t withdraw from an ATM I guess there’s no point of me having the Venmo account and I should just cancel it. Their response was yes I agree that would probably make sense if you’re an able to use it. Never in my life have I heard a company tell you to cancel them.  And that was from not only 1, but 2 people. 1 of them being a manager. And the crazy part of it all is still no one can override the computer that’s blocking me from using my ATM card.  So needless to say I’m done with Venmo"
8,FrustratedHerm,"February 24, 2020",2,Convenient but still frustrating Venmo is a convenient money sharing app since it’s the one most people use but man oh man does it have some serious hang ups. It automatically shares your transaction history with all of your friends. It pulls these friends from Facebook and your phone and makes that list public as well. So anyone of those people can see everyone you know and who you’re paying for what. 
9,nasirgold123456,"September 27, 2019",1,"Trash Venmo is literally one of the worst apps you could possibly get. I tried to send money to my account instantly and it wouldn’t go through. The excuse I was given was because of “suspicious activity”. Basically whatever they deem “suspicious” is grounds for your account to be frozen, delayed, and or locked completely. Pretty much any large sum of money is apparently “suspicious” so I wasn’t able to get my money out even after I said oh well I’ll just do the standard transfer and wait the 1-3 business days. I had to send the money to a friend and have him do it instantly and send me the money on cash app. I’d honestly advise using cash app over Venmo easily. It’s simple, easy, and doesn’t have so much baggage with it. You just type the amount you want and you can send the money to someone instantly and take that money out whenever you want to. Customer service was awful and they didn’t believe the account actually belonged to me and had me go through at least 4 different security processes on the phone to make sure it was actually my account even though I explained in detail only things an account holder would know about their own specific account. They tried to make it way too complicated to use and it’s honestly a hassle anytime you actually want to use the app. I deleted it so fast after getting my money out and I’m never using it again"
10,sushichick66,"December 29, 2017",4,"Much easier to use than writing a paper check. Very easy to use money transferred instantly. Much easier than writing a traditional check. I believe Venmo is also PayPal. I took away one star due to privacy. When you sign up it automatically uploads all of your contacts in your phone without warning. It also connects to social media like Facebook. Once you've registered you can change these privacy settings, so be aware to go to settings immediately if you don't want all of your contacts who use Venmo to see your transactions.  Also for each transaction you can select if you'd like your friends, the public to see Who you've paid, minus the amount. You can also set each transaction to private. Personally, I don't understand why it's anyone else's business who you pay for what kind of service. It's a Bizzarre concept to me, but then I don't live my life through social media. I am only using Venmo as a form of payment, like cleaning services. Still, it's easy to use and convenient. Just make sure to check Settings before you start transactions unless you want all of your friends, Family and coworkers to know what you're up to."
11,handsomejex,"September 3, 2018",4,"Really handy -  a few issues I use this app a ton and im a huge fan.   One thing that enraged me though is that they’ll sometimes keep your money hostage when you try to pay someone , adding in layers of verification requirements while possibly collecting interest on the sums held up-  they don't notify the sender that the money they sent was unclaimed allowing the sender to choose an alternative payment channel -  I learned from a young homeless woman who had a Venmo account who i sent money to for train fare, that they would not allow her to accept what I sent.   I consider this to be abusive of their fiduciary role.  I want them to fix this and make it easier for people in her situation to access funds to be able to improve their situation or make it clear to the person who sends money that the money never reaches the intended recipient.  I would give them fewer stars for this issue, but i find for regular use with established contacts it works well.  I wish i had the option to preschedule payments or set regular payments.  I also wish that my venmo balance would apply to my payment when the amount exceeds the balance-  instead of sitting there!"
12,"Waiting, forever","October 6, 2018",5,"Venmo Original I was a Venmo original user, telling all my friends this is the future of payments. I started saying “hey guys Venmo me, oh you don’t have Venmo? What’s wrong with you? Don’t you know about Venmo? We don’t need cash to split bills anymore.” We’ll, this was also in a period when Venmo said they would pay users if they invited their friends and they signed up. Until this day, I still get users that sign up, because of me, but Venmo does not pay me like they said they would. While I love their application, I don’t appreciate that they didn’t pay me for getting many of my friends, contacts, and business colleagues on Venmo. Maybe thousands of users but Venmo only paid me for the first few users. Venmo is great, but they owe me. I was inline with the thinking that there must be a better way to pay people, and I found Venmo, which was a simpler way to pay people than PayPal, which many people did not trust at the time. I convinced people that it would be safe and efficient. Venmo owes me for all the people I invited, as they said I would be reimbursed. Great app overall, just pay me. :)"
13,Kingston Remix is AMAZING!,"December 8, 2018",5,Absolutely ridiculous! My friend transferred $400 to my account I go to do an instant transfer to my personal checking account and it will not go through. And oh how convenient no customer service support to call because apparently they work bankers hours. How in the world are you going to be a 24/7 cash application and not have any sort of online tech support or offer any live tech-support?? This is literally an emergency situation where I needed to borrow the funds which I did.....I now have my funds sitting in this stupid account which I am unable to touch or have access to and will have no way to contact their customer service until Monday morning it is currently Friday 7:30 PM. I am beyond furious. I knew I should’ve gone with my gut and used the other three different cash apps I have on my phone which worked beautifully and have never had an issue with. I only last minute decided to use this one for the first time tonight never thinking for a second that I would not be able to access my funds. USER BEWARE PLEASE don’t use this stupid application....no tech-support after 4 PM M-F.
14,Nickchap85,"December 22, 2018",1,Disappointed and frustrated Had a friend want to send me money but they only use Venmo so I decided to download and set it up everything went great setting it up including the bank account until it came time to add my debit card for payments and instant transfers. It wouldn’t allow me to add my bank debit card or my credit card. I called my bank and they said they work with Venmo and my card should be working no problem. So I tried to contact Venmo today and they are closed to phone calls so I couldn’t talk to a person I could only email and or chat (txt) with them and they told me it was flagged and could not be added and that they couldn’t tell me why and said they weren’t provided that information and it was done by there automated system and there was no explanation they could give me and there was nothing they could do about it. I asked who would be able to give me that information and then they said there is no information available.. now I have to wait and transfer to my bank account in hopes they don’t try to flag that and hold my money. It’s not $20 bucks I’m trying to get out of my Venmo account either. If Venmo will correct my issues or even atleast give me an explanation I’d be happy to update my review but as of now I unfortunately have left this type of review.
15,johniquar,"March 26, 2019",1,They really froze my account and trying to hold my money Okay hello my name is johniqua so it says that Venmo is holding my money okay after my money is returned I’m not using Venmo again. I understand I violated some kind of rule or whatever. I clearly explained what happened plenty of times 4 times in a row sent my ny stat Id picture twice. I don’t get it I couldn’t put the money on my card I clearly explained that then it says I can’t use my account how in the world is it that sending money is so difficult. when you try to get your hard earned money back to you. which your the rightful owner of someone tells you they’re gonna hold it oh heck no. I will like my money returned to me no one has to ever worry about me using this app again. I’m sure I will never use this app. I will be darned if someone freezes my account then I give my Id and tells me they’re holding on to my money as if I’m a little kid who just got there allowance and is spending to much money I understand not you fault I chose this app and have to deal with whatever but if I knew I was causing trouble sending the money back to my boyfriend and requesting it back because we both couldn’t find a card to place the money on I would’ve been asked my sister to use her bank card to put my money on man why the heck why do I have to go through this so I really can’t get my money back
