index,author_name,review_date,reviewer_ratings,review_body
0,491Nlyra,"February 10, 2020",5,"Best thing ever. Because I Recently moved to a new area with no friends or any idea were anything is, I cried many tears believing I had made a major mistake. Thank goodness for Meetup. It takes time to learn each groups rules and I have incurred a couple nasty people for breaking a rule I was not aware of. You can’t make a reservation and be late from work, or you are there but u don’t know them and they  don’t know you so you are armed as a no show even though you pay for your membership in advance. I always try to be courteous and am willing to pay for a meal when I can’t find the location. I also got kicked out of a group for cancelling a happy hour when a close family member died unexpectedly. But those are only growing pains. These people go to a lot of work and time to make these opportunities available for us. I don’t fault them, I just wish they would treat new members as a new customer to their business. I have met some of the nicest people. "
1,Itendtozoneout,"May 21, 2018",1,"I've only just made an account. Is this normal? Sign up was pretty bad on a purely UX perspective. Why is there no exit/done option for users when they're inputting their information? I tapped to enter my age and gender and had no way of finalizing an input, thus couldn't move on to the next field. If I scrolled down to my age, I couldn't hit ""ok"" or ""done"" or even a ""x"" to move to the next section of the sign up form. I opted to just tapping back and forth between things and the screen needed to jump around constantly for me to even be able to reach the ""gender"" input from underneath the scrolling pop-up for the age input. "
2,Jhawary,"September 11, 2019",1,"Not Safe!!! I have an impersonator on this app! There is someone with my same name, in my same groups and same community with my same likes. Please note that my name is uncommon. You won’t anyone with my first and last name combined. I caught a screenshot of of this other profile with a photo. It is definitely not me, but right after I took the screenshot, the profile photo was removed. I reported this a number of times. At first, I thought I may have had established an account at an earlier time and had just forgotten about it. I checked my other emails but found nothing to confirm that. Now, I have proof that this is an imposter! I want this account deleted and I want a response to my complaint! Otherwise, I have to say that the people managing this app are doing nothing to keep the people who want to enjoy this app safe! I have a valid complaint and I have been ignored! The app is a great idea but I need to feel safe. Is this imposter staking me? Do I need to feel afraid to “meet up” with any of the social groups I’m interested in? I need this imposter removed and investigated! What is going on here? How can this be allowed and after I’ve made complaints? Developers (or whomever) pease, contact me further so that I may send the screenshot. I think I might have to report this to the authorities for my safety concerns... I’m only asking that the developers do their part."
3,n_a_t_2,"June 14, 2019",1,"Terrible App Several issues. The app crashes a lot, especially when I try to look at photos. I always see error messages—right now I am trying to see some events for groups I am a member of, but I am getting a message that the content is not available. Events are listed multiple times on the upcoming events section. The app doesn’t allow you to customize the push notifications you receive enough; for example I kept getting alerts every time there was a discussion in a group I’m a member of, which got annoying, so I had to turn off all push notifications from the group. When you look through events coming up, get out of the app, and come back, you have to start scrolling all the way from the beginning. I would like to be able to hide events from groups I don’t want to see. The app allows group organizers to put a so-called number of guests that are coming, which is often inflated by organizers to make it seem like more people are coming then there really are. A lot of the groups were created by club promoters in order to bring people to clubs and aren’t actually real groups. Meetup needs to crack down on groups that are using Meetup to promote clubs/people’s paid events. Like 30 grounds will all list the same event, and you have to scroll through all of that."
4,Plybrook,"September 23, 2019",5,What a god-send for people in situations where they are lonely or want to meet new people! The app lets you search for groups or activities or events by key word....or just scroll through all the events that meet-up groups have planned for the week and just click to join and get the info!
5,Bll711,"August 22, 2019",5,"Needed to find a place and some friends! Are used to Meetup as a recommendation from my sister who lives in Tulsa. She moved there and knew no one, so she got the Meetup app and found some things to do and people to meet, so she recommended it to me. I live in a different State and city and my circumstances are different. I stopped going out or doing anything and got depressed, so I use the app to get myself undepressed. I started out by just going to one yoga class and I just kept going and meeting new people and finding more more things to do and now I’m happy. I have also use the app to look up things for people in different cities and states that I care about and want them to find interesting things to do and people to hang out with. This app gives me the opportunity to check their area and make suggestions and tell them to use the Meetup app."
6,RugPilot,"January 7, 2020",4,"Pretty user friendly I’m new to Meetup and have only attended two events and have enjoyed both outings. The people are amazingly friendly, organized and very helpful. Especially to newcomers! I like the app and would give them a 5 star, except that it could use a couple more tweaks to further optimize it. For example, it doesn’t give us an option to provide feedback (such as volunteering to drive or asking for carpooling), during the RSVP stage. Only after having RSVP’d, we must go into the general comments. Another feature would be to allow folks to see the event description without having to RSVP first. Also, being new to the area, most people don’t know the acronyms which the event hosts use in describing or the names of areas. It would be helpful to have a little more descriptions (such as the level of difficulty, etc.) for the event. The State of Washington’s Mountaineering Organization has a very good system which could be used as a model. Overall, I’m very pleased and thankful for this organization. Thank you!"
7,Salinas0214,"January 27, 2020",5,Great App... better people!! This app is easy to navigate. I like that you can go in and take yourself off an even you have RSVPd for if you have something come up. The reminders are also great to your email because we are all so busy already it’s hard to keep up with so many added events. 
8,Frustrated mom-to-be,"August 15, 2018",5,"Great for travel 3 years after becoming a first time mom, MEETUP has jump started my social life again!!!  I relocated from NYC to south Florida when I was 8 months pregnant with my little one... needless to say, between being a new mom and moving to city with a MUCH slower pace, my social life pretty much took a deep dive then careened to the floor... when I was ready to start going out again, I had less than a handful of friends in my area who wanted to do the same things and were available at the same time. This led to constant cancellations and a few awkward solo outings. With meetup, I was able to connect with Like-minded women who were doing the kinds of things I liked to do so I could go out without the stress of having to do almost EVERYTHING alone. I also really like that I can send messages to the event hostess in advance if I have questions! Nowadays, I’ve been traveling to different states and I like to use MEETUP to find cool things happening in other places before I go!"
9,Littleirishtroll,"December 3, 2018",5,"Fun times, great friends, new horizons When I unexpectedly moved to the city to take care of my mother-in-law I did not know a soul. I started going hiking with a really good friend in Griffith Park through something called “Meetup” "
10,Ben Jiles,"May 9, 2018",4,"Good but navigation is confusing and redundant I honestly don’t understand the quick-to-hate for this version of the app. However, they are right when they say this new version is not intuitive and doesn’t make sense. For example, let me go over the bottom 5 tabs are for navigation of critical aspects of meet ups: 1) find new meet ups (like an advanced search feature), 2) card view of current meetup groups and you’re able to browse new ones (honestly 1 and 2 should be combined. It’s redundant and is confusing), 3) the “check mark” icon tab is for your upcoming or past meet ups. This is where you go to see them. However the check mark symbol is a little unintuitive and confusing. It would make more sense to make it some sort of calendar icon., 4) group and meet up notifications, and 5) profile. "
11,Jayenooooogain,"June 17, 2018",5,"An App to Meet People I love MeetUp. It's safe and definitely more effective than dating apps that offer connections for friends. You get to see what events are close to you, join the group and then the event. I was in a new area, didn't know anybody and through this app I've met a lot of great people. We're buddies ever since and if it wasn't for Meetup, I wouldn't have had such wonderful experiences. I'm a homebody and this app is very eye opening and thankfully the people using the app are genuine outgoing people who have a zest for life and a heart for more friends. So yes definitely pleased. On that note, my only suggestion would be to fix the notifications! Since the last update, my icon badge doesn't show anything and when I tap I see I have notifications."
12,Ekael77$,"November 5, 2018",4,"Great but $$$$$ to start a group I like this app. I’ve been able to meet people and while some didn’t work out as I hoped, I feel confident that I have a good group of people for what I want. "
13,SAS0629,"March 11, 2019",4,"Still Learning My husband and I are fairly new to the area. We hoped to utilize this app to find more activities and people with similar likes and activity level. We like to golf, bowl, bike ride, walk, we’re dog owners, we aren’t musicians, artists, or historians, but we like enjoy concerts, theater, art, and history. My husband is prior military, which helped bring us together over 35 years ago. In the military communities we always had at least one person there who could recommend things and we did as well. We want to find a good community/group and enjoy participating in activities and getting to know others through this App. We’re interested in “meetup” groups who aren’t trying to network to sell something or hook-up. Just build real ‘old-fashion’ friendships and have fun. I do recommend this app. It is up to the individual and his/her time and trust level to be willing too venture out and meet and do new things."
14,BelljarFairy,"April 18, 2019",5,"Great for the Spiritual Community I have found incredible Meetups in different cities across the country for spiritual events that I may not have found otherwise. In particular, I love how many people who host Reiki circles utilize Meetup. I have enjoyed the many yoga instructors who post on Meetup and host their sessions outside of yoga studios in parks, beaches and chapels. I have enjoyed the hikes and philosophical Meetups and the vast array of groups that I can Meetup with and connect on shared passions no matter where I am. "
15,A-Dubb_DC,"July 12, 2019",5,"What an awesome way to connect It’s hard to find other Blacks in tech and this app has given me the ability to do that as well as connect with all the other great engineers around the world that represent their respective ethnicities. All of my hobbies can be exercised on this app. Photography, software engineering/web development, Nature, sports, science, happy hour, socializing, you name it! You get a little bit of everything on meetup. And no one is here to tell you that something is or is not a good idea. Whatever you are passionate about can be pursued unabated and free or regulation and micromanagement. That’s the beauty of it all. Your imagination can take you and others that share it to the same corners of the Earth. So find out what you desire and what you’re into and are passionate about then go for it! Skies the limit people let’s all love and support each other to the best of our abilities. World peace, solidarity, equality, and freedom...meetup (no pressure by the way)!"
