index,author_name,review_date,reviewer_ratings,review_body
0,Sad bloomberg news reader,"May 14, 2018",1,"Long time Bloomberg reader- disenfranchised by the extreme monetization of the content I have been using this app for easily 4 years. I loved it when I first started using it, but, slowly but surely they began to monetize the content with ads which I am all for. However recently on top of the layers of ads and methods of monetizing their content which is already heavily subsidized by Bloomberg’s main business of selling institutional investors trading systems, they have thrown a 35 dollars a month pay wall in front of the same content they have given the public access to with ad support. 35 dollars a month is far too much for an application that has become more and more restrictive in how you use it (in an intelligent but frustrating attempt to maximize ad-space values) this may work for the people who you already have subscribing to your Bloomberg systems but that’s an obscene amount of money for the news especially to a millennial that is just seeking some less biased news to inform him in this world that’s upside down in terms of the news presented to the public. Rethink your pricing structure please 35 dollars a month for a student and to be honest for most people who don’t work in finance is just far too much."
1,Ccox4669,"November 27, 2018",3,"Terrible Research App This app is supposed to be able to deliver you market-related news. That’s why it exists. However, unless it’s current or fairly recent, do not expect quality archives - even of Bloomberg’s own old articles. I’ve used this since it’s debut, very bumpy road of updates, addition of ads, more monetization, now paywall, all of which are tertiary to DELIVERING NEWS. If I type in a stock symbol and you can’t even bother bringing your own articles written about the company, what is the point of using the app?!"
2,tlsalias,"October 23, 2017",2,"A great app from a great company I was excited to see an update to the app because it has been such a pain. All in all, to sum it up: great content terrible after delivery. Lots of user interface bugs. The Apple TV version is also similar in that it has excellent world class content with poor streaming delivery and difficult navigation."
3,Oglopfoosbottom,"March 1, 2019",1,"Paying for Commercials? This app has frustrated me greatly. I am an unlimited digital subscriber and yet I still have to sit through ad after ad after ad. Why? That makes no sense to me and I plan to cancel my subscription at this point because I’m just not sure what this gets me. Also, the app and website look sleek, but I have generally found to be a nightmare to actually navigate for content I’m looking for. It also drives me up a wall that I pay what I pay and yet I can only see excerpts instead of full interviews most the time. I wanted to pay for less noise and deeper insight, I got neither of those two things. If they addressed some of those issues, this would easily be a 5 star review. Remove ads for customers that pay you, and make your video catalog and radio catalog simpler to navigate and more reliable (holy crap do their proxy servers crash constantly)."
4,Keith-My-Ath,"October 4, 2019",2,Fix App Live TV Ads Can someone please explain the live tv ad algorith?! 
5,rnshwa00,"July 18, 2018",1,A once nice app deliberately (?) crippled The older (black background) version of Bloomberg was *so* much better one wonders why they seemingly deliberately stripped out so much of what made it special. Was it to drive users to an expensive paid app that most investors won't purchase?
6,Fred.2,"July 7, 2018",5,"Bloomberg radio I was using Bloomberg radio until they made me use this app. I have to hit 10 times more buttons to get to the radio. I do not mind the commercials, but I start and stop the radio about 20 times a day. I do not want to go throw all the hassle of hitting all the steps to listen to the radio.  "
7,Wrbellsugar,"August 8, 2018",4,Bloomberg! I love the app! I watch Bloomberg TV and listen to Bloomberg Radio all the time. It would however be nice to save commodities such as Brent crude to your watchlist even if they are saved as favorites somewhere else as a favorite on the app.
8,Surveillance Groupie,"December 19, 2018",3,"Buggy app Love the content but the I find the app buggy.  I was forced to switch from the B-Radio app to this app and ever since I have incurred way more commercials.  The preroll ads are very annoying because if I am listening to a radio show and the app or stream drops I am forced to watch another preroll ad before reengaging.  Sometimes I am hit with a preroll ad, then more ads and then finally several mins later I get to the content.  Vs if I open up iHeartRadio I can immediately start streaming.  "
9,Aardvark of the north,"November 5, 2017",5,"Like the news, the app is a pain Bloomberg’s coverage of financial  news is first-rate.  Unfortunately the app is not of that quality.  It is slow, won’t let you swipe past a story until all the ads have loaded, which can easily take 5 seconds.  On my iPad I constantly find myself launching the video attached to the story when I don’t want to ... then it’s again a slow process before the app will let you close it.  "
10,TRemlinger16,"September 17, 2017",5,"Bloomberg is a must have app for college students I'm a sophomore in college and we don't have cable at my house, so it's often difficult to contribute to classroom discussions about current events. Bloomberg is a quick and easy way of staying up to date on what's happening around the world. I find myself spending more time on Bloomberg's mobile app than on my other popular apps such as Twitter, Snapchat, and Facebook."
11,Newbie1501,"October 12, 2017",2,"Back office could be better This is a good source of news, however:"
12,pthatph,"March 20, 2018",1,"Freedom of choice The original app was actually very useful, especially the watch list.  Unfortunately, every update made the features worse - the latest allows you only 25 stocks to monitor (probably because the developers know their app freezes or slows down to uselessness beyond 25) and two watchlists max (so too bad for you if you are monitoring more than 50 issues); plus, it will auto shutdown after a few minutes of use, without the courtesy of even a simple warning.  All these new features in the updates were most likely deliberate, to hopefully make one subscribe to their professional version of the app. That's business! Still your choice to use or not - it's for free, after all."
13,The business addict,"August 17, 2018",1,Disappointed I pay for the Bloomberg channel with my Charter television subscription. When I watch the channel I also put up with all of the advertising. 
14,Dkaaye,"April 1, 2019",3,"Recently, the app just evaporates from view From a paid subscriber using an iPad Air:  A few months back the Bloomberg app began simply dropping off the screen (leaving me at my ""home"" screen).  This seems to happen when I press a link to open a new page (story, video, chart, etc.). The failure rate is about one in four or five attempts.  This problem is unique to Bloomberg ... other apps work correctly.  It's very frustrating to use the app now and since no ""fix"" has appeared in several month's I think it's time to unsubscribe."
15,g1ymoore,"November 20, 2019",1,Ads on a paid service is greedy I really enjoy the content that Bloomberg provides but that has been completely overshadowed by the invasion of ads. As a paying subscriber I do not want to be flooded with ads.
16,GtrInLA,"October 12, 2019",2,"Doesn’t support Dark Mode For what they want us to pay monthly they should at least support native dark mode, this alone is a deal breaker because who doesn’t like to read news before going to sleep?... and it’s so out of control bright white that it’s laughable.  The app appears to be written by a 9 year old, and what’s with the ads? I’m paying you (was) for NO ads.... complete disappointment! Very liberal leaning too, I don’t want conservative news I want it centered, non discriminative coverage. I’ll most likely cancel once the promotion expires and just continue with Apple News, best deal out there, at least Wall Street Journal is a little more centered..."
17,j-say,"February 26, 2020",3,Love the news but stock updates need work! The news is always great and laid out nice. My big issue is stock updates. I just looked at 9:45am and it still shows the price from yesterday. It doesn’t say after hours or premarket prices and doesn’t update in the morning for a while. If I go on google and type in stocks or go to Merrill's app it’s always the latest.
18,BloombergHostage,"November 18, 2019",1,Good luck trying to cancel your subscription... Customer service is essentially non-existent and it blows my mind.  I want to temporarily cancel my digital subscription with hopes of rejoining later when it makes more sense for my situation.
19,Ara.O.,"September 25, 2019",1,"Used to be good If you want to sit through 90% of commercials and 10% actual business news, then this app is for you. The app used to be great when you could get excellent business and world news as well as top notch market commentary; however, you now have to listen to commercial after commercial until you get a quick market update or some nugget news before the commercials start again. I’ve deleted and downloaded this app several times hoping “this time it will be different,” but it’s still the same. It’s too bad because I used to rely on Bloomberg for update date business news."
