index,author_name,review_date,reviewer_ratings,review_body
0,CamilleFromTexas,"April 30, 2019",4,"Easy to use, wish focus was on health This app is very easy to use to log the food you eat - what I mainly use it for, to stay balanced. It’s far more efficient than in 2010, when I first started using it. I spend maybe 5 minutes a day total logging my food intake. I like that it includes nutrition breakdowns so I can pinpoint when I’m lacking iron, or calcium, or etc in my overall diet. "
1,SSJ Klahr,"August 4, 2019",5,"App Review A great service providing a platform for success on a human health quest. The My Fitness Pal application allows anyone to compile a detailed log of nutritional and fitness info into an easy to use, easy to interpret, easy to afford (free), and simple to navigate system. The breakdown of information into multiple charts and graphs is a phenomenal resource. The flexibility of being able to modify multiple facets of your goals such as macro nutrients, weight loss/gain per week, etc. is extremely intuitive and suitable for a wide range of fitness/nutritional goals. Nearly anyone can master this application within a reasonable timeframe of consistent effort and in turn become the master of their fitness/health destiny. My Fitness Pal has provided a great service and allowed for anyone with the desire to do so to achieve the best version of themselves possible. Also, after a long endeavor spanning months or years and reviewing your data in retrospect allows for a particular cognizance for what worked well and what did not. This, in turn, provides a chance to hone an adequate regimen into the ultimate program fine tuned to your personal goals. My Fitness pal provides an amenity that fosters a healthier and happier human race to those who utilize it. This application has earned a large following of motivated individuals for these reasons and stood the test of time. Go forth and conquer your goals with profound efficiency."
2,MomMD of 4,"March 4, 2020",4,They fixed it! They fixed the decimal/fraction issue!  Thank you!  Now hopefully they will fix the other issues....
3,Miles Of Fun,"April 30, 2018",5,"Great App for someone with a disability I have Limb Girdle Muscular Dystrophy, and I am a recent heart transplant patient. I lost about 30 pounds before my transplant because I knew it would be a hard transition and it is important to give yourself and those helping you the best edge you possibly can. It’s also important to really educate yourself on nutrition and your body, I studied nutrition on my own did all the exercises I could, learned my body type and how I metabolize food. I also consult with my doctors and get blood work done so I know how to best tweak my diet to maximize my diet and health. Get some it’s always wise to consult with your doctors and even get a basic basic metabolic panel done to check your blood work. "
4,Casey Alin,"October 26, 2017",4,"Dietary Restriction Alerts & Polar Compatibility In my own, personal opinion, the features that would earn fifth star would be to expand compatibility toward Polar brand products and applications, and to allow users to enter in specific ingredient, calorie, macro/micronutrient restrictions to be alerted to in meals & recipes.  It would be great to know if something I ate (or am logging because I'm about to eat) will conflict with a low FODMAP diet, or has more of a specific nutrient than I want at the time.  I recall a previous version that would offer food tips (""this food is high in sodium"", ""this food is a great source of vitamin c"", etc.)"
5,Smileforliz,"July 25, 2018",2,Why don’t any fitness apps have a “just had a baby” note? I used to love this app and many of its features but I find it lacking after having my baby. 
6,klynnshira,"March 13, 2018",5,"It made me realize My New Years resolution was to get to a certain weight that would call for me to lose about 15 pounds. I already ate rather healthy during my meals, but I had a problem with snacking. I wasn’t at the point of sitting down and eating an entire family bag of chips in one setting. I would however eat a handful here and there, eat 4 Girl Scout cookies twice a day, and some of the candy my grandma loves to send me every and I mean every holiday. I couldn’t see how much that snacking affected me. My fitness pal has helped me keep track of my calories as I take them in and it has worked wonders! I have been successfully losing weight and it’s all because I can actually see a number to know how many calories I have left in my day when I go to grab the snack. Now don’t get me wrong I still snack some, but I’ll do one snack a day now or half of the amount of chips and half of the cookies instead of a large amount. Another thing that this app has helped me with is realizing how I feel after I eat. For example if I am not eating healthier foods I usually feel exhausted the next day. I didn’t realize it before but now that I have a food diary to look back on I can see what I ate compared to how I feel."
7,jonnydesigner,"May 29, 2018",2,"Lots of functionality, but not a very good app This app is a good utility, but if they gave the UI and functionality a bit more polish here and there it could be great. Some things are just clumsy and/or glitchy which makes using it throughout the day kind of a pain. I’ll continue to use it, but as other similar apps arise I’ll definitely keep checking them out as there’s nothing really tying me to this one. "
8,Bored in Midland,"June 5, 2019",5,"Life changing if taken seriously I started using this app right at the apex of my weight gain during college. I didn’t participate in high school athletics and had virtually zero knowledge of anything nutritionally beyond, “ There’s a place that shoots out 5 dollar burgers.”. I think it’s most important to look at the composition of macronutrients in a few days worth of your particular diet, not necessarily using this as a “calorie counter”. It’s very hard to ignore some of the numbers that will pop out at you if you are diligent and truthful with yourself. It helps to motivate you in a different direction. Even though everything has nutritional information labeled as a requirement, it’s easy ignore until you start to realize that if Item A has 32g of fat and %4000 percent of my daily sodium intake... and that’s my daily between breakfast and lunch...  It could totally swing a large portion of my diet by just omitting that one item. "
9,wanderingbark,"November 13, 2018",2,"Almost useless for diabetics This health/fitness/diet app claims to be comprehensive, but has a huge gap in its user experience for diabetics. There is no way to input blood sugar readings in real time or to integrate readings from glucose monitors on here. Given how tied to diet and macro nutrients diabetes is, you would think this would've been a basic aspect of the app already - or an add-on that could pop up along with adding food or exercise. "
10,pennyb324,"September 18, 2017",4,"Recipe Sharing & Net Carbs? I've come back to MFP after a few years and am very pleased at the many improvements in capabilities, user friendliness, standalone mobile usability, social features, and the UI in general. There are 2 glaringly obvious QoL things that are missing."
11,THE KING😃,"September 20, 2017",5,"Such a helpful app!! I've been using MyFitnessPal since February at the recommendation of my trainer. I am 45 and have never really had to worry about my weigh or diet until recently. I had put on 10 pounds and was shocked to discover it wasn't easy to loose (it had always been easy before).  With this app, it shows you it's all about math :-). I've lost almost all the weight I want to loose, and the reason I haven't lost it all is because I eat too much lots of days (or I should say, I eat too many high cal junk foods instead of protein and veggies that will fill me up without all the calories).  I am eating much healthier though and have learned to fill up on the healthy lower calorie foods most of the time. I feel great!!  I'm 5'6' and 125 pounds at the moment. Still a work in progress, but I love this app and am so glad my trainer turned me on to it!"
