index,author_name,review_date,reviewer_ratings,review_body
0,matt (noted),"May 12, 2019",4,"here’s a few suggestions when it comes to providing a convenient source of live updates to a song and it’s plays, liked, reposts, and comments. pulse provides top notch analytics that are easy to understand. however, some of soundcloud’s key components for producers are missing. an example of this would be mail between users on soundcloud. just provide another icon at the bottom of the screen that looks like mail. i can imagine this feature being programmed like regular email, or instagram DM’s providing basic reply and link functions. another issue im confused as to why it isn’t available is the option to change your photo / cover art for both your channel / page and the individual track art. most users have their photos for common use on their phone, so providing the option could mean easier access to having a better looking photo, and would save the producers or singers a lot of time, especially when on the go. "
1,subbyroots,"October 10, 2019",3,"Still has a ways to go Like others have mentioned, the concept is great but in reality it’s been lacking. For years now. I have been a user/creator since 2012. SoundCloud seems to be putting more resources into making the advertisement experience more robust and less into the creators’ corner. One of the major features that is STILL missing is you still can’t view or reply messages from either app, you need to log on to a computer for that. I can’t mention how many times I’ve missed that feature and how many times I’ve read the same generic response from SoundCloud on forums regarding that missing feature over the years. You have 2 separate apps, I get it, but put a little more focus back into the creators side of things and I think a lot more people will be happy."
2,cat66666,"July 4, 2018",1,"has soooo much potential... honestly this app cAN totally be everything that the normal soundcloud is missing but, ITS NOT. I feel like theres so many things missing such as when you simply go into editing a track, everything is available for you to edit EXCEPT the photo, its such an important element it should be easy to change but instead i have to access soundcloud on a desktop because its the ONLY way you can change the photo for a song. on the other hand it is very weird how you cant even access you followers list and need remind you that the following list is literally non-existent on the app. I feel like you guys probably have all the answers there too but are just lagggginnngggg or think no one cares about the app but it would honestly change so much. please read this I never even write reviews but just has jus bugged me for so long."
3,Natecanskate52,"June 5, 2018",4,"Needs more options but still helpful! I Started posting a bunch of stuff on SoundCloud recently and this app has been very helpful in looking at the stats, notifications, and activity on my tracks. Only things I would recommend would be to be able to change the pictures and cover photos as well as profile pic but I’m sure that will come soon. Also, in app messaging and commenting would make it much better but I like the concept of it the way it is so far. There’s some room for improvement but I would say that it’s pretty well put together as it is right now. Looking forward to updates but as of right now it’s been helpful and useful for me👌🏻👌🏻"
4,StormieSays,"August 25, 2018",3,"Good app, few suggestions. SoundCloud Pulse has a good concept, but it’s not exactly everything that it advertises. I think that Pulse users and creators should be able to edit their profile with Pulse, instead of on a computer. Another suggestion I have for the app is the ability to edit playlists like on the desktop website. I like the mechanic of being able to change playlists to albums on the website and I believe that it should be a feature included in the app. Overall it’s a great way to keep up with music stats and play counts. I would totally recommend this to another creator if/when my suggestions were implemented into the app. Keep up the good work!"
5,PissedNeverWished,"September 3, 2019",3,"I like it buuuuuut.... As with the others-no photo changes...? Or photo at all? A bit weak on this end. Completely agree with one person about needing ability to message people. I mean—it is an app—on a phone—with music to share/listen to/review/—so like social media in a way, no? Let me be able to tell another artist to keep it coming; or allow a fan to ask the track on a mix. Perhaps someone’s trying to book me-mane!!! Also it’s just good PR to be able to speak with your fellow creators and or followers. As for the profile info-sorry that bugs me. Actually so much so it got me to write this...(!) I write maybe one review for an app a year if that hahaha. Else, FR FR I dig it."
6,DICADADUBZ,"February 13, 2020",5,NEED TO EDIT ALBUM ART ON MOBILE ive been makin music and posting it exclusively for some time now but i wud like the feature to be able to change the cover art of a song through your phone on the pulse app cuz theres times where i make the art on my phone using pics art or r4ve and cant get access to a laptop and that feature to change the cover art would be sooo dope and easy to make last second changes i hope this could be possible but i love this either way
7,UconnMark,"April 12, 2019",2,What changed?? I like this app it helps me grow a fan base but right now it is displaying on pulse I have 217 followers on SoundCloud. When I check the mobile of the app and the desktop version it says I have 222. Than also when i scroll down the activity feed I get to a certain part where a user republished three songs of mins and it keeps displaying it over and over that he republished the 3. Than the app seems to start glitching and all the words disappear off the screen. Can you guys please help me so it stops crashing and displays The right number? Than I’ll rate this 5 stars because I like the app but not if it isn’t gonna work right
8,Xsliceme,"January 13, 2019",5,"Works for me! This app in my opinion works as it should. Maybe a few other things could be added that others suggest but its core is there. Music stats on your phone. If you are trying to upload music on your phone then you need to rethink some things. Upload on your pc... after all, you use a pc to make music. Why would you need to upload it on your phone? This app doesn’t need a haul of features. Its simple and does what its intended to do. Pulse has my 5 :)"
9,IXxBossxXI,"January 17, 2018",3,"Missing something important... ...messaging? 🤷🏽‍♂️🤷🏽‍♂️. It hurts to have social capability and no form of communication, that’s like holding food over a hungry baby. Give us IN app messaging and the option to view profile bios in app instead of forcing us to see full profiles on the SoundCloud app. Also please give us the ability to edit our profile information... that’s a pretty minor thing that should have been there from the start. Otherwise you’re doing a good just just keep up with the improvements"
