index,author_name,review_date,reviewer_ratings,review_body
0,Elksom,"July 25, 2019",5,"My favorite app I used to rely on the standard Apple weather app that is pre-installed on the iPhone to receive all my forecast knowledge. I had been using it for years to check the weather and daily temp until one day my mother told me to check the radar... what radar? “The radar on the weather channel app,” she replied. "
1,Honey Moon Pie,"October 15, 2019",1,"What happened I liked the fact that being older than dirt I could put this on my iPad and make things bigger so that I could see and read everything. I liked the setup except that as with all things meteorologists have a harder time knowing what is going to happen and make guesses as to times of stuff. GOd still has control on most things and weather seems to be changing in our world also. So old age is not the only things that change in life.  Why everyone uses light gray writing on a white background and expect someone to be able to see it is idiotic at best. I know all of the younger generation may like new update but I personally liked the old one best. There may have been a few things to change but wish you would make so people had a choice. Older people seem to never get a choice any more. At least there are many more apps I can go to and pray to find one I like. Thanks for nothing but causing me more problems with computers which I am getting ever more aggravated with. Not all old people want so many changes in their later years. Every time I finally get used to something, you geniuses decide to change all around. Just getting used to phones and iPads and all their changes every other day is enough to drive someone crazy and I don’t need any help since as you get older people don’t give me credit for having a lot of common since anyway! Thanks at least for trying to please all the people in the world."
2,FormerWeatherAppFan,"January 17, 2020",1,"WEATHER APP TO PREMIUM UPGRADE NOT WORKING!!!! I have had the Weather App for many years, including the add free version. Then suddenly I saw features pulled back from the $3.99 Version and got an offer for premium going from $3.99 to $9.99 to basically get the same features I had before. I decided to pay for the Premium version and that is when the problems began. At first my ipad kept showing the adds without premium features, then when I tried to manage my subscriptions, It got rid of the adds on some of the screen, but when I click on some of the extended features (such as the extended hours tab) the app crashes every time. I tried to delete the Weather App on the ipad without luck and then from all devices and reload them, and now my iphone is also not showing extended premium features and also showing adds. If, I try to get refund I am told that I can only cancel the subscription starting at the end of initial subscription year which is at the end of 2020 (this year fee not refundable) but I can use the application until the end of the year (with advertisements). I have submitted multiple support requests online, since December 22, to the Weather App/IBM and the only response I get is ""the we will get to you as quickly as possible"" from each of the initial contacts. Furthermore, their FAQ and support pages do not have anything to say about what to do with premium features installation failure."
3,IbuSaja,"February 6, 2020",1,"Disappointed Updated Comments:  The app has gone from bad to totally unusable.  The “current location” feature gives me the weather and alerts for an area that is 20 miles away.  This is particularly annoying and dangerous on severe weather days.  Further I repeatedly get notifications about about what the weather will be like tomorrow in different area area that 20 miles away from where I live, in a completely different direction.  To make matters worse, when I try and report the errors, the email address provided within the app come back with a delivery failure because it is invalid.  After years of loving the Weather Channel on so many levels, and trusting them to keep me informed and safe, I am done.  Wish I could give this app a negative star rating.  "
4,Mikesaysstopit,"February 5, 2020",1,"Zero stars I never write reviews. I had to for this one. I’ve had this app as long as I remember. 2010 maybe??? And I’ve always loved it. Accurate and easy to use. Fantastic really. Gave me what I needed and nothing more. Now there’s all this junk. Pure, useless, clickbait junk. Pop up ads everywhere! I like knowing where to touch the screen with a little muscle memory so I can get through my task of getting the weather and getting on with my life. But now this app has sold out SO hard I feel like I’m using a 1998 pc with no virus protection! And it’s not even poorly done! It’s strategic and timed perfectly so the screen moves at the perfect time so my finger correctly hits the ad and not the option I wanted. Effectively navigating me away from the app to a completely irrelevant  ad that’s been tailored to me by the cookies I’ve agreed to use this app, that I’m not even going to look at because I’m now frustrated and trying to get back to my weather app. What over-paid executive approved this ridiculously bad interface? And why? So I can do a sinkhole video I won’t believe? The same sinkhole video that came out 8 months ago on 30 other apps that EVERYONE uses? Way to waste A TON OF MONEY ON NOTHING weather channel! All you did was make me use the weather app that came with my phone I that never really liked. Perfect case of if it ain’t broke don’t fix it. Just bring back Joe Cantore. That’s all you had to do."
5,Bsadle,"June 9, 2019",1,"Money grab developers strike again Back a few years ago in the early days of the App Store, probably 8-10 years ago in fact, I purchased the ad free version of this app called Weather Channel Max. Good app, no ads and it worked well. Then about 2-3 years ago the app updated and said that this app will no longer be supported and that would be the final update. It stated the other version(the one with ads) would be the only version supported. I continued to use the app I paid for until it kept crashing after iOS updates and was pretty much forced to use the app with ads. Now I see you can go premium on this app and remove ads. That really ticks me off considering I had previously paid for the ad free version, only to have them snub it. I, at first, just thought they were only getting rid of max so they would force those who paid a one time fee for the ad free version back on the app that has ads. Not only was that true, but now, in hopes that people would forget(which I didn’t) they now offer a monthly subscription service to get rid of ads. This is a sad attempt at getting even more money from me. I will now be deleting the app and using another app instead. I’ve already given enough money to you all only to be asked for more. I’m really disappointed how greedy developers are becoming and all over an app that gives you mediocre weather reports."
6,joshybigmac,"December 22, 2019",1,Monetization is a Cancer in this App I live in snow country and I’ve always relied on the snowfall layers of the radar. I would have never updated this app if it meant that I’d have to pay a completely bogus fee of at least $10 a year just to be able to use the same feature that was free yesterday. The only thing that’s been accomplished by this app’s updates this year is a successive migration of its user base away from the app. I’m surprised I’ve held out this long but I cannot keep using an app that doesn’t want to be used.
7,Cmiester,"February 5, 2020",2,"Used to be 5 stars As life continues in this Land of the Free Market, we see more and more “monthly subscriptions” as alternatives to pesky ads and better performance. BUT THIS APP HAS GOT TO BE THE BEST EXAMPLE OF THE WORST APP TO DO IT TO. I mean seriously?!? I’ve had this app for YEARS. It was the best performing, most accurate, and user friendly weather app out there. It exceeded all these built in apps and that annoyingly wrong weather-bug thingy (that was a joke for the ones that’ll miss it) when it came to reliability. "
8,Havin'Fun-in-Louisiana,"May 9, 2019",1,"Could be great app if it worked When it works I like the app.  I like the changes and if it loads it is a useful tool.  For me the videos and weather updates are very good.  Not sure what the problem is, but for some reason and this seems to happen frequently — the app doesn’t load (spinning disk) or it just crashes and restarts and then back to spinning disk. So if it loads (might work for days and then not work for days) it is a good app.  I have noticed the app works best in places with high speed internet.  In a place outside or in a place that lacks high speed internet or great cell service, the app just won’t open quickly (maybe 5-10 mins to open).  I have an iPhone X with the newest software and the newest version of the app, so I don’t think it is the phone.  Anyway, if the stability can be improved and it can open quickly than it would be a great app."
9,Jr High Teach,"August 30, 2018",1,New Update RUINED this app! UPDATED REVIEW: 
