index,author_name,review_date,reviewer_ratings,review_body
0,Francisco M Sosa,"October 28, 2019",2,"Developers, can you please consider these improvements? So I want to like the app, I think it’s a great platform, but the navigation is completely frustrating and even made me quit viewing my video to make this review. It’s frustrating because as a platform it seems to hold great promise, but being 2019 it’s hard to accept the lack of some very basic app navigation."
1,Icppicu123,"April 24, 2020",1,"Worst app ever doesn’t deserve a star I hate this app so much. It’s a waste of money and time and don’t even put down your card information for the free trial. They say you can cancel your subscription at any time but they lied. I put my card information in because you have to in order to do the free trial and I only watched one video for a class. When I tried to follow the instructions to cancel the subscription on computer, they were very inaccurate and what they claimed you would see is not there. I’ve been trying for weeks to cancel it and I even have seen that they have updated the so called “instruction to cancel a subscription” and they are still inaccurate. I have even left a message to the service center twice through email and I have still been ignored and unable to cancel. They’re basically trying to still money. I recommend no one get this app."
2,aileverte,"March 8, 2018",2,"For a viewer, a frustrating app There are a number of lecture cycles I want to watch, I ""liked"" all of them, hoping that this would somehow help me access them - there is no way of building watch lists here! -- but when I return to the app it tells me I have no likes. This is quite infuriating: is it so difficult to have a user-friendly viewing list where one could keep links for future viewing? My ipad doesn't have enough memory to download everything, and searching every time is tedious. In the end I've resorted to this primitive half-solution: keeping a list of titles in my notepad and pasting the searchword from there! But that's just defeats the purpose of even having an app!!!"
3,pokinsmot,"March 17, 2020",4,"4 stars Just a suggestion for a feature I’d like to see. I’ve back a few projects on Kickstarter that use Vimeo as their platform, and they don’t all use the On Demand feature to get you the video. Some use a private link and give you a password. I think when I use the password to gain access, it says something like its added to my library, but there’s no “library” feature on the app or the website. It would be nice if there was an area like that on my home page or in my profile that collected them all in one place."
4,Kathy@2020,"March 11, 2020",1,"Warning: Difficult to Cancel Warning! It’s terribly difficult to cancel this subscription, wasting money and time. "
5,Arturo Zaher,"June 16, 2018",1,"Not Worth The Money They want you to pay for what other social media platforms do for free. Yet the functionality doesn't even match what others do for free. So who would pay to ""upgrade""? I use it because a long time ago someone uploaded videos of me back when social media was in the Myspace days. So back then this made sense because it was all videos but now it doesn't. If they want people to ""upgrade"" then should give options to edit and format videos. This would be a paid service worth it. Almost like I Movies gives you those options. Take a look at what directorial options are out their for free and then both match it and beat it. Then you can charge."
6,Boofunkin',"August 4, 2019",2,Lame app! I can access and play ALL MY videos but other than that rather useless! No way to find my (or any other peoples) videos or collections. If you want to see the staff picks (I don't) it is great. Other wise rather pointless (this goes for the Roku and Andriod versions). And there is no way to shut off the stupid auto play next video (this seems to be resolved)!!
7,Walterrhonejr,"June 13, 2018",1,They keep  deleting my account because ofnudity So I'm having a problem with paid Vimeo account give me a claims that I have voluntarily violated their policies my videos continue he dear artsy and interesting and fun I thought I’ve gotten really quick responses from people on Vimeo I’d say about 30% of the videos on Vimeo continue to be in sexual sexual likes sex and his porn on there I believe their own fear with the policies and if you’re trying to create and be creative I would definitely find a different outlet I’m looking for one I’ll never use Vimeo again and I’m going to demand my money back is the second time they have deleted a very popular account in less than a month
8,dM1c,"May 7, 2019",5,Dependable Videography Phortfolio I’ve been using Vimeo’s streaming to dump all my finished/slightly unfinished Audio-Video exports from decades of personal and professional experience. 
9,JP_Trini,"August 26, 2018",5,"Professional Portable Portfolio Before using Vimeo, I would use Dropbox to send my clients their work. Not the most efficient because they would have to download locally, play it thru and then make their comments. Since the Review page facility it has made client feedback so much easier and way more efficient. I have faster turnaround time with my work. I luv it, wouldn’t change to another platform"
10,ben k r,"December 17, 2017",5,"Better content and community than that other one which Google is always updating to make it more restrictive. I find Vimeo very useful also for off-line video conversion. You never know what formats going to work on the other person’s machine. Sometimes I get really busy, so I don’t want to watch a full length TV show. I really prefer watching a Vimeo’s short staff picks"
11,reeggxd5,"April 17, 2018",2,"Serious quality loss for uploads The video quality of high resolution videos is seriously degraded. It is much better than Flickr, but still pathetic compared to the original 4K video. Interestingly enough, their “featured” videos play with exquisite quality. However, regular users never get their videos streamed at that high bitrate. This is a hidden form of bait-and-switch IMHO."
12,ticked off fan,"June 20, 2018",3,"It’s good. More features please. Good to great. My praise. Great vid quality on any of my devices and i can download and view offline. My criticisms. Said devices have to be on to watch or listen.  Add this feature please as i listen to a lot of lecturers on here.  I don’t always need to view but i always need to listen. Also add features that let me rewind, fast forward or do the same by 30sec to 120 sec intervals in either direction and you’ll get those 5 stars from me! Good app. Make it better."
13,nubbs88,"July 6, 2018",3,"No way to view group videos I’m in a private group and it’s pretty much impossible to access groups on this app. I’ve been using it for years now and I was hoping by now there would be a fix but there hasn’t been any afaik. The best workaround I’ve found was saving a group video for later on my desktop and then watching it from the watch later tab on the app, but even that hasn’t been working as of late. It’s disappointing to say the least."
14,dailybballer,"September 7, 2018",1,"Terrible user interface and integration I rarely write reviews and unfortunately it’s not because I’m blown away by this app.  I have an account through gmail, when I log in via desktop I don’t have access to my subscriptions.  On my phone I have access.  Finding information about my account and how to change my password is almost impossible and extremely frustrating.  I was subscribed to a channel and that disappeared so I had to refollow them.  The only reason I have this app is because it’s required to view game footage of my basketball team, if not, I would completely delete and never go back."
15,dailybballer,"September 7, 2018",1,"Terrible user interface and integration I rarely write reviews and unfortunately it’s not because I’m blown away by this app.  I have an account through gmail, when I log in via desktop I don’t have access to my subscriptions.  On my phone I have access.  Finding information about my account and how to change my password is almost impossible and extremely frustrating.  I was subscribed to a channel and that disappeared so I had to refollow them.  The only reason I have this app is because it’s required to view game footage of my basketball team, if not, I would completely delete and never go back."
16,HoweJenny,"October 21, 2018",5,"Refreshing Vimeo is a great web site. It’s content has a number of videos that are different, new and all around amazing. Y..T... seems to geared up to not allow the options of different content than the main stream audience watch. Don’t get me wrong, YT is a great site but needs to expand possibilities of something to expand a persons experiences with variety."
17,1Yafa1,"November 21, 2018",1,"Selective/arbitrary Policy My favorite channel was banned recently. Looking further into the reason for the ban, Vimeo gave a generic response about policy violations without identifying specifically what policy had been violated or what content triggered the violation. As best as we can tell, the content wasn’t in violation of any of Vimeo’s policies, but rather, an arbitrary decision by Vimeo to simply remove content it didn’t like"
18,nelsalma,"December 11, 2018",5,"Lovely surprise I just joined and I’m finding it very much of a series of what we used to call “happenings”—still an excellent descriptor, but the challenge is to discipline myself to parcel these experiences on film out through the day rather than getting enraptured so much that nothing else gets done around here! Brilliant. "
19,KevinF1966,"February 7, 2019",1,"Absolute garbage app This is literally the worst app I’ve encountered on iOS. As a video app it has a couple of major flaws that defy belief and render it unusable. Namely, you cannot return and resume a video partway through. You have to restart the video every time and just remember where to fast-forward to. That’s if you can find the video. Unbelievably (again) there is nothing like a watchlist or a “resume watching” category. Hard to overstate what an abject Fail Vimeo is. Oh, and not just iOS but same problem on other platforms. Problem is Vimeo, not just this one app. Having made the mistake of renting some vids I will never use Vimeo again."
20,RDennard,"December 27, 2017",3,"Good app but have to pay to upload more First, Vimeo is a good app. To upload a semi-substantial amount of content you have to pay. I understand this. However, the app itself is not great for the content creators after uploading. You cannot see your stats in the app and have to actually use the website to view your data. This is poor. If I could,d see he stats in the app the review would be higher."
21,CometWaves,"April 9, 2018",3,"How do you exit from a video? I have done everything I can think of to exit a video. There is no exit button, swiping up/down/right/left, double clicking, 3d touch, nothing exits back to the list of videos on my iPhone 6s+. On a rare occasion a quick flick of a screen moves the video into a PIP view. IDK, this is so much harder than it needs to be. Just give me a return button please."
22,mattbtowny,"June 10, 2018",5,A Proud Platform Overall a great experience! Sometimes it’s a little hard to navigate your video content and know where they are going and what it’ll look like when it comes to posting to other social media platforms. But overall love the vision of Vimeo and we use this amazing platform proudly!
23,bull_crapp,"July 24, 2018",1,"Search There is no visible text field for search. I tried iOS keyboard and SwiftKey. I tried pressing anywhere to paste. Nothing. I can type and hit return and it will search, but I can't see what the heck I'm typing, nor can I paste a Vimeo link. And when it does search, I can only 'refine' the search that I couldn't view. I can't retype the search in the result page. AND, I have to close the app out completely to get back to the main page because there is no back button. Please tell me I'm just missing something. [iPhone 6s on iOS 10]"
24,blaizer1107,"November 5, 2018",4,"Small quirks, but great! I love the design of this app, but it would be awesome to be able to view detailed stats like you can on the website!"
25,Tambo1963,"March 19, 2019",5,"Needed missing videos I appreciate Vimeo going the extra mile to help me transfer my videos from my previous account to my new account.  I was worried I had lost them due to missing passwords, but they were able to help me.  Very grateful to have my videos again!"
26,Tijuana Jackson,"March 30, 2019",2,Changing Plan Nearly Impossible I purchased Premium Plan ($75) in good faith that the Live Stream feature would improve.  I paid $900 for annual subscription.  
27,ajr1437,"September 18, 2019",5,"Phenomenal! Couldn’t ask for more from this program than is already offered (though I imagine with more time, I could find a few things 😉). The use of ease in regards to the UI is great, you don’t have to be a pro to make the best of this app/platform, but if you are a pro, you won’t be disappointed at all!"
28,I never escaped even…,"September 14, 2019",4,Why I rated it 4 stars. I really love Vimeo but there’s a glitch which is making me frustrated.
29,yghdgujdbgshdbghshs,"January 25, 2020",4,"Rating this app It is great so far, it actually help me start posting videos and It is easy to upload videos and follow people. Just there this small little things, many people will not notice you if you haven’t been on a other app. People actually need to search for you or find you. It will not appear as most recently video uploaded."
30,Akcjjdejkdkdkxuc,"November 10, 2017",5,Just a suggestion I really love this app so I thought it would be cool if you added in a randomize button and it would just take you to a random video so you can be surprised and you won’t be scrolling forever on trying to find something to watch :)
31,xmantra,"December 20, 2017",4,"Nice but It's nice but it doesn't let you rearrange your videos on your library unless you pay & go Pro So you're stuck on the order you upload them and they have never giving you the option to do so for the longest. But other than that it's a nice video community.!!! Please fix it, thanks"
32,Linuxpng,"December 14, 2018",4,I have an unread notification badge with no notifications I just installed the app and had to turn off the badges because the app thinks i have 5 notifications.  If I click on the notification section within the app I am told I have no notifications.
33,patioD,"February 3, 2019",5,"No worries... I have a variety to post, everything ranging from Adobe Educator Exchange class info to, client work and my own practices....Vimeo has always made it easy to post, and offers the kind of program that works...Love the Staff Picks that offer glimpses of what the rest of the world is up to. Thanks."
34,Asin 23,"February 4, 2019",4,I am rooting for Vimeo Remember when youtobe started was a small website barely any ads on it ? 
35,killersidedish,"March 31, 2019",2,Eh I’m super frustrated. The videos I have paid for will not download so I can watch them offline. Also the video player does not bookmark where I leave off watching. I have to try and find my spot again. There is also not way to know if I have previously seen it before. The quality is good but I wish I could watch my lectures on almost any other service. Sorry guys keep working on it.
36,Marbhoff,"April 9, 2019",1,"Disappointing functionality First off, there is a specific person I follow (private page), and none of their videos show up to view from the app, even being logged in. I have to access the videos from the desktop site and then view them from there (and save for watch later). "
37,b3ttyb0nd,"April 11, 2020",5,"Simple and effective video platform Love how easy Vimeo makes it to upload, organize and share videos. User interface is clean, simple and easy to navigate. Security settings are also easy to configure. Best of all, my community finds it easy to use and so they do! Thank you, Vimeo!"
38,Teehee Sub Flamingo,"January 1, 2020",5,"Suggestion... This app is great! I just have a suggestion, maybe add a community tab. So creators can talk to their fans without having to make a video about it. And on that tab maybe we could put a picture as a sneak peak for the up coming video! Just an idea."
39,Vanimator,"July 30, 2019",3,"Great, but... The Mobil app is amazing. I would love it if they just did away with the annoying pause button that shows up in the middle of the screen when you start your video. If your video is short then you would have this thing you need to tap away every single time when you’re showing it to someone. A bit distracting."
40,cyclops.eyesonly,"January 2, 2018",5,A great app and even better content. I love the Vimeo app because they show many different types of film projects. It's an incredible window to the world. Most of the videos are very well done. It's a total pleasure to watch and discover talented people all over the world.
41,Lady.Stardust,"May 2, 2018",5,"Vimeo is Brilliant I love the site, which is light years ahead of “that other site” & also not quite so bogged down with so much trite, meaningless content. "
42,Schneidzs,"May 16, 2018",1,Missing Features There are so many missing features from the app compared to the desktop site. Most of the time I have to access the site via safari and request the desktop site to be able to finish changing settings. It doesn’t even have all of the privacy options or the ability to edit a thumbnail. Very frustrating especially because it has been like this for years.
43,Rainworks_02,"July 24, 2018",5,Perfect for Vine/IG Editors Hands down way better than Instagram for video editors because the quality doesn’t get butchered AT ALL! I highly recommend editors out there get this app and start using it more often to move over our community here!
44,Alpenglowjod,"September 22, 2018",4,"Love posting high quality videos on Vimeo I have been working on collecting and posting high quality videos and then doing post processing on them in Resolve and seeing if my viewing platform can handle it!  So far, Vimeo seems to be the best.  One always needs the best monitor to view them."
45,Mnijshg,"April 3, 2019",1,"Don’t waste your $ I was excited to find a documentary I’ve been wanting to watch and purchased it. Although I was charged, I was never able to watch it. I sent several messages to customer service but never received a reply. I found a phone number for customer service, but the message said to go online to contact customer service. Frustrating and a waste of not only money but also my time."
