index,author_name,review_date,reviewer_ratings,review_body
0,OMG101,"March 30, 2020",3,"Please fix notifications Instagram please PLEASE. What will it take for me to stop getting notifications (specifically insta live notifications) for people I either don’t follow, or don’t care about when they go live and to get the ones I DO care about. I even have all have notifications turned for this couple few I don’t care and ALL the ones I do care for ON. I have notifications on for a reason and when I get a notifications TWO HOURS LATE it’s defeats the purpose. Especially when a certain person I follow has a tendency to delete stuff. This has been a problem for a while now and I didn’t really have exact proof but now the notifications aren’t even showing up in my Notification Center. It’s also very sporadic which ones I do and don’t get. I depend on the app to deliver me the services it says it can deliver but now it’s falling flat. I would HUGELY appreciate it if you could make the * added to their story and *started a live video notifications show up in the activity center like IGTV live. It’s also not just me. People I follow on twitter (who are in the same fandom) have also been complaining about this a lot. It would be really nice not having to be anxious about missing a post or a live or story cause and then having to check multiple times throughout the day especially those who have completely different time zones then the person they are following. Otherwise there isn’t any other major problems."
1,Wicked Dark,"April 12, 2020",4,"Innovative app, yet the devil is in the details. This app is quite, or rather, has become quite formative as it is truly a varied multimedia platform where many people can connect, and even create careers. It also has a lot of fun features from other social media platforms such as “live” and “stories.” That being said, with this little bells and whistles it’s merely the minor things that make it just slightly annoying to utilize. For instance, posting a song on your story for the maximum time frame of 15 seconds. I understand the need for a time limit due to copyright laws and basic business structure, yet when you add a gif to the post, the song plays for a significantly reduced time. That slightly annoying quirk just ruined tedious work to pick the perfect 15 seconds you’re confined to. To add, the gif selection is also quite small which is disappointing, and surprising. This app is (as stated earlier) a “multimedia platform,” merely create a space where instagram artists can display their digital design talent by posting gifs and encourage the community to vote on favorites to increase artist recognition. Don’t sell yourselves short, people want apps that grow and expand with new features. Yet, you can’t halfass features and never provide any upkeep. It’s additional labor but you’re creating a bigger brand with additional opportunities to involve your community."
2,Timelord7,"October 10, 2018",3,"Use Less Data NOT WORKING I normally wouldn’t be doing this, I need to say this right now. Instagram, you have a great app, a good look, etc. The one problem I have with you is that I can’t stop videos from playing automatically. The one feature you have when it comes to your website on a desktop or laptop, you don’t have it on your mobile versions; I’m disappointed. I try to go and stop this from happening when I use cellular instead of WiFi and it turns out that the video still plays automatically. Why? I lose more data when the video plays automatically let alone even loading the thumbnail of a video. The “Use Less Data” feature doesn’t work, at all. About a few versions ago or at least back in August or early September, the feature worked and I didn’t really need to be that concerned. But I can’t use a feature that won’t work. I have tried everything, turning on and off my phone, updated the app, and even deleted it and reinstalled it. I tried googling why it won’t work but there wasn’t any result that showed how to fix this stupid problem. I’m pretty sure there were other people that were experienced this because googling a topic and having shown something in the search bar as a top result shows that people have been googling a specific topic. But no result. So please can you fix this because this is a problem I’m not going to deal with anymore."
3,sucky app claims,"April 19, 2020",4,"Submitting a problem in the app, no one ever answers So basically I’ve never had a problem with instagram, i love the app but on occasions i get completely removed the option to share others posts to my instagram story. Ive seen others have the problem as well and as of right now I've been going on for 4 months now repeatedly reporting this error and still getting no response and no fix. There is no way for me to fix it by myself, I’ve gone threw all my settings, deleted the app and reinstalled, signed in and out but yet nothing works. Its a problem the developer or whoever controls fixing updates or bugs needs to look into because it is quite irritating that i am not given this option but some others aren’t. Ive noticed one my main account I'm not allowed the option to share posts to my story but yet on my art account i am given the ability to do so as well. Its quite interesting how they cut it off for only some accounts for on going months. This isn’t the first time this has happened to me either so ive had to sit for months on months with this problem only waiting for the right update to fix it. All im asking is to please fix this issue, i dont know any other way to reach out so this is my last time, I’m tired of reporting this issue through the app and getting no response whatsoever."
4,isabellatriesart,"May 12, 2018",3,"Filtering I’ve never had that big of a problem with Instagram. The algorithm has been a bit annoying but it’s nothing that has ever physically annoyed me. But I just saw the update for “filtering out any bullying comments”. First of all, I agree with the whole message of not bullying children or harassment of children online. That’s not ok. However, filtering out comments involving bullying and such doesn’t make sense due to the fact that half of the time people are just joking. Secondly, you are restricting people’s rights to speak their minds. This site/app should be a place where people should be allowed to say and post whatever they please, regardless of whether it’s right or wrong. There are of course boundaries but it is very difficult to set those boundaries online. I feel like restricting “bullying” comments will just cause more problems within the instagram community. Because there is no way to tell a person’s real intentions on whatever they say online. You just can’t. It’s near impossible. Restricting someone’s thoughts on an app/site is not a way to stop online bullying or harassment. I understand that cyber bullying is very wrong and very uncalled for, however restricting any comments involving the context “bullying” isn’t going to solve a lot. There are other ways to prevent/promote non-bullying behavior on websites. Filtering out comments is not a way to go about the situation."
5,User10019,"January 22, 2020",3,"Help!!! I appreciate the quick responses and corrections for the issues I’ve had. Thank you. I’m very new to the business side of Insta, so I’m not very fluent in the algorithms and how they work. I don’t quite understand how to obtain followers.  I don’t like that my profile seems to be categorized with other dog stores which is pointless, because other stores aren’t potential customers.  My profile keeps getting tagged with inappropriate pictures, since my profile is linked to the website they upload there too. I’ve changed my settings to prevent that now but somehow they are still there in the background as if they are used to place my profile into a spam server or something, idk.  It seems like posts don’t circulate unless you pay, especially on Facebook.  Plus paying only gets you false likes, the analytics show down to the millisecond how much time was spent on the site, what page, what products etc.  I feel like the clicks are computer generated and aren’t real potential customers.  My profile lost 100 followers overnight it seems and now for every follower I get I lose the same number.  Although I appreciate the followers I do have, it seems they are from countries in which I don’t sell products, so again pointless.  How do I generate followers? How do I prevent the inappropriate tagging? How do I keep my profile from being spammed? What am I missing?"
6,Agoldgamer,"April 9, 2019",1,"Unusable? Alright, so to start my story, I wanted to get insta to talk to my girlfriend who lives further away and can’t talk to me as often as we’d like. As soon as I install the app, I quickly go and make an account, but as soon as I’m finishing up it says my account has been deactivated before I even sign up for one. When I try to report the problem it says Error and asks me to make sure I’m connected to the internet before trying again. I tried making an account 5 times and each time it kept saying the same thing. I know I have internet access to begin with so I should be able to report the problem that shouldn’t even be occurring. "
7,Amelia Is Me👑,"June 2, 2019",3,"I need help! So I have a problem. I’m trying to make a new account, but it won’t let me. I really like this app and I want to keep using. My problem is when I want to sign up a signup Error message pops up and it says "
8,G. Anne J.,"June 12, 2018",3,"All we want is chronological order! I love this app so much. I use it every single day, and use it to keep in contact with my friends. It is very easy to post things, direct messages work well, and stories are a neat feature even if it wasn’t an original idea."
9,Archer189,"September 10, 2019",1,"Had my account was shut down for no reason I finally decided to get on instagram after my friends would not stop asking me to get on. And it was not a good experience, why because my account was shut down before even seeing the home page or whatever the first thing you see when the app is open. Now I’ll will tell you exactly what I did. I went to my App Store downloaded instagram next I clicked create new account, I entered my email address and chose my password then click next, the next window "
