index,author_name,review_date,reviewer_ratings,review_body
0,Peeyush Malik,"January 27, 2020",5, Please give the option to add short videos to the project too. Rest everything is great.
1,Milindkumar Badole,"January 28, 2020",2, Missing features. The app doesn't access pictures from other folders.
2,somil patni,"June 2, 2019",5, First impression... It's an excellent app and does what it says. Edit : Would love to have following three options that will go a long way in making this a top app: 1. Ability to crop or adjust photos 2. Ability to add videos 3. Some more filters please
3,Steve S,"September 30, 2019",5, How to remove watermark? I love the work it does but I don't like advertising as my final credits.. Make it paid to remove watermark! I am sure it will be a big hit! The app is smart and makes great videos!
4,Raman Selski,"July 10, 2019",5, really easy and creative stories!
5,Raghav Goyal,"February 24, 2019",5, plz add new filters and also the option to add videos into story
6,M G,"October 18, 2018",5, nice and fast
7,Michael McKie,"October 25, 2017",3, The only thing preventing me from giving 5 stars is I cannot uncrop photos. Some of my photos crop it in the worse way.
8,dinesh kumar R,"July 28, 2018",3," It crops the photos in videos which really not good. Need to have 
repositioning option for photos"
9,Sagar hp,"March 16, 2017",5, Beautiful video making app.. My search for a good one has ended here. Thank u guys😀 keep the good work going👍cheers
10,A Google user,"May 5, 2018",3," I want to give this 5 stars for its ease of use and fantastic use of maps 
to locate the pictures in the movies but here's the problem, for me tho 
pictures change too quickly and there is no way to adjust this, I want to 
be able to select the duration the pictures are displayed, I emailed the 
dev...Full ReviewI want to give this 5 stars for its ease of use and fantastic use of maps 
to locate the pictures in the movies but here's the problem, for me tho 
pictures change too quickly and there is no way to adjust this, I want to 
be able to select the duration the pictures are displayed, I emailed the 
developer from within the app but they never responded so one star off for 
that too"
11,يوتيوب,"March 8, 2017",5, Please let us to replace date with custom text we can write it app will be amazing and grow like fire
12,Aamish Mazhari,"July 20, 2017",4, This app should have a syncing ability..so that whenever I open Google photos ...I can actually select photos from there to make a story from storyo. :) Great job!
13,Uma Pradeep,"June 19, 2018",5, It made me emotional after I saw my experiences I am proud of it . So good
14,Suraj Bairagi,"November 4, 2017",5, Ammazing video making app. Works very smartly.
15,emma's basics in education and learning,"February 11, 2020",5, good bruh uwu
16,shawn,"March 25, 2017",5, Awesome
17,ankita agarwal,"July 25, 2016",5,"Loved it Amazing app , though some restraints (like pics will go as per timeline) but overall quite efficient app!"
18,Devashish Khanayat,"August 7, 2016",2,Disappointed 😔 It won't work without an internet connection.
19,Amrut Kalamkar,"September 17, 2016",4,Unable to create video Unable to create video. Error Message : check internet connection.
20,Radmila Simić,"September 25, 2016",4," Its lack is some pics get ""cropped"", though originally they were not."
21,Filipe,"October 30, 2016",5, Very good app for creating videos with your photos! I've never used an app like this before. Great job
22,Emmanuel kwalombota,"September 2, 2016",5,Amazing It just brought my happy days memories
23,Gaurav Agarwal,"June 29, 2016",5,Great Downloaded quite a few ones recently to make a movie with pics of my wifes bday. Must say the results are great
24,Nixon Kosgei,"July 1, 2016",5,Wow! Best video making tool ever.
25,Chris Cadbury,"June 13, 2016",5, Excellent
26,Wise-Williams Osewezina,"May 12, 2016",3, Exporting video is too slow and the amount of character that each picture label take is too small and not okay for story telling. From a journalist's perspective
27,Manuel Pereira,"January 6, 2016",5,"Great app! Elegant and easy to use interface, and the videos it creates are really cool!"
28,별구름,"March 5, 2016",5, excellent
29,Kamal Ghani,"October 17, 2015",5, brilliant
30,A Google user,"August 3, 2015",5, Love this app.
31,Pedro Botelho,"February 10, 2015",1,"App Crash A App é engraçada, mas após fazermos o video, a app tem um crash e não deixa partilhar ou salvar o video..."
32,A Google user,"February 3, 2015",5,Problem solved Nice app
33,Andre Augusto,"February 1, 2015",5," Very easy to use. Made some videos in minutes. Now, please put more label effects in next app versios"
34,Sridhar Subramani,"May 16, 2017",4, Smartest app I have ever seen
35,Bruno Barbosa,"June 7, 2016",5, Amigo Gringo
36,Sukh kumar,"August 13, 2016",3, Amagin appps
37,Komal Aziz Khan Movies,"April 19, 2019",1, no one
38,ajeet singh,"August 6, 2017",5, Osum app
39,NAZIR ASLAM,"December 23, 2016",3,Love it It is a wonderful app
40,Saheli Dutta,"July 8, 2017",4, Nice app
41,A Google user,"September 17, 2016",5, love it
