index,author_name,review_date,reviewer_ratings,review_body
0,Kamray,18 September 2017,5,"El chat falla con esta actualización Lo del chat nunca ha sido lo mejor de Wallapop, pero es que sin él la aplicación pierde todo su enorme potencial. Por lo demás es estupenda y eficaz."
1,manuelv21,18 September 2017,3,Resumir las novedades Cada actualización está acompañada de un cuento larguísimo.. es posible resumirlo en unas 3 ó 4 líneas para enterarme que tiene de nuevo la app? ;)
2,joald30,12 February 2019,1,"Decepción Llevo tiempo denunciando un anuncio falso, en el cual una chica está estafando vendiendo una play station 4 por 200€ y en el anuncio pone que solo puede enviarla porque está en otra ciudad por motivos familiares y resulta que cuando fui a denunciarla a comisaría me dijeron que ya tenía más de 200 denuncias. Y wallapop no le borra el anuncio ni la cuenta, en cambio si me borra a mi los anuncios donde aviso a la gente de esta estafa. Wallapop sigue permitiendo que la gente estafe a otras personas"
3,Toltilla,18 September 2017,1,"Se cuelga En mi IPad alguna vez no puedo ver un producto anunciado, no me deja entrar en el anuncio, tengo que volver atrás y poner de nuevo los filtros de búsqueda. Actualiza y actualiza y sigue colgándose en Ipad, desesperante."
4,DreiiaChucken,19 September 2017,1,No conecta chat con datos! No conecta chat con red de datos. Solo con wifi. Arregladlo ya!!
5,AlbertoFalero,1 February 2019,1,"Continúo error de App. No paro de actualizar a la versión 1.64 cada pocas horas. Siempre la misma. En IPhone XS Max no avisa cuando te escriben, ni reiniciándose notificaciones en ajustes y en la app."
6,ios actualizado,10 January 2019,1,Cansada de los spam Voy a copiar todos los mensajes que he recibido en menos de una hora desde que colgué mi anuncio. TODOS SPAM 
7,Idonisa,12 February 2019,1,"Wallapay es una estafa He hecho un envío a través de Wallapay y hace más de una semana q ha sido entregado al comprador, con total satisfacción por su parte. El dinero no me llega, y Wallapop ni siquiera contesta."
8,JA Granada,1 April 2018,5,"Ofensivo La campaña de Semana Santa es lamentable, de veras vuestra creatividad no da para más? O es que os gusta reíros de la Semana Santa y sus costumbres? En Marketing no todo vale y una de sus premisas, que deberíais saber, es no tratar sobre política o religión. Así que por favor, quitad esos mensajes absurdos y lanzad otros mensajes"
9,Desconforme3,18 January 2019,5,"Soporte Técnico. El servicio es muy lento en dar una respuesta. Ayer de repente desapareció mi cuenta, solicité restaurar mi contraseña porque no me dejaba acceder. 6 horas más tarde, me respondieron con una clave nueva que me habían adjudicado. Al abrir mi cuenta, estaba vacía, sin productos ni opiniones ni conversaciones que se me habían quedado a medias ni nada. Intento contactar con ellos y no obtengo respuesta."
10,Darkunito,25 September 2017,2,Las valoraciones no funcionan. No deja valorar la compraventa una vez hecha. Llegan valoraciones de compradores con los que no se han hecho tratos.
11,Estoy en ello,6 April 2018,3,Mal char No llegan los mensajes en demasiadas ocasiones
12,Ana_elia,16 May 2018,1,"WALLAPOP ENGAÑO ESTAFA SINVERGUENZAS Resulta que no solo bloquean la cuenta, si no que también bloquean el teléfono y no te puedes descargar la app, sólo por que ellos consideran que los artículos tienen una procedencia ilícita o simplemente consideran que incumples las normas. Repito simplemente por que ellos lo consideran. Wallapop ENGAÑO"
13,Rafa_as,4 June 2018,1,SON UNOS SINVERGUENZAS Me an cerrado la cuenta sin aviso y motivo alguno solo por denunciar productos que no deben de estar en la aplicación y por no trabajar que son unos vagos me banean
14,nitsugadonostia,20 August 2018,5,"Venta en poco tiempo Me gusta porque es sencillo, cómodo fácil y rápido. Gracias por el servicio que ofrecéis."
15,pacmer,29 August 2018,5,La App muy bien algunas personas no Estas personas que venden.
16,rodhack,9 February 2019,1,"Que se actualiza? Que se actualiza? Nueva versión sin motivo? Mientras no se describa lo que se actualiza o corrige en la nueva versión, 1 estrella."
17,Devilclio,11 February 2019,1,"Cometen ilegalidades Da muchos problemas con los mensajes privados, no llegan a destino. "
18,omarradi99,20 July 2019,2,Aún tiene fallos A veces cuando estás viendo productos se cierra la aplicación de repente y cuando vuelves debes volver a buscar el producto.
19,Glauco 92,12 July 2019,1,"Peor que un rastrillo moro. Los precios están inflados, en muchos muchos casos piden mas dinero que el objeto nuevo de tienda, parece que ponen los precios como en oriente, para despues regatear, y a mi no me gusta el regateo. No es serio, da la impresión que aunque te rebajen siempre te timan. No me gusta"
20,sergillo el pillo,18 September 2017,5,Me encanta Ja
21,Camis1665,30 March 2018,5,"Venta rápida y sencilla Simplemente genial , muy recomendable."
22,David vargas Hernández,30 March 2018,5,Fatal desde hace unos meses Ahora va genial. Encantado perfecto con todo
23,Javikker,1 April 2018,3,Chat poco fiable. Los mensajes de chat saltan cuando quieren o solo cuando abres la app. Cada nueva actualización se hace más profesional y menos para particulares.
24,penapop,6 April 2018,5,"Chat penoso Le falla a todo el mundo, llega cuando quieren los mensajes."
25,appell2012,2 February 2019,1,Algo va mal Las actuaciones son cada 14 días o cada 14 minutos por que se está actualizando cada vez que la abres o la areglais o la borro...
26,jonny2324537,26 April 2020,3,Última actualización fatal Desde la última actualización no me deja enviar mensajes desde mi iPhone 6
27,quelo 72 @,26 April 2020,5,Chat no funciona El chat no funciona ..... llegan los mensajes pero no puedo contestar
28,Alejdro Rosas,25 April 2020,4,"Problemas mensajería Me falla mucho en la mensajería en el resto me va genial, lo he probado con wifi y sin él y todo va bien menos la mensajería pero por lo demás genial."
29,hsliwtsksuebfb,25 April 2020,1,Mala comunicación en el chat Le pongo una estrella por el mal funcionamiento que tiene el chat en los teléfonos iPhone que no va nada bien el chat los creadores lo saben y no an echo mucho para solucionarlo
30,Eva Allo,22 April 2020,5,"Estaría genial... Hola! Me encanta la app, muy buen trabajo! "
31,Zebiya,22 April 2020,2,Publicidad en sus notificaciones En general bien. Pero he tenido que desactivar sus notificaciones debido al abuso de publicidad. Cada dos por tres una notificación con publicidad propia y es molesto.
32,Gr3yS3v3n7,8 April 2020,1,"Vaya patata! La aplicación es un quiero y no puedo, esta llena de troles, estafadores, cuentas zombi y gente rarísima, los buenos usuarios escasean. La atención al cliente es nefasta, Wallapop tarda mucho o nunca llegan a ponerse en contacto con sus usuarios, si tienes un problema en la App será mejor que tengas tiempo xq para ellos es más fácil mandarte un mensaje automático que tener que atender a tus problemas, siempre tiene alguna excusa, estoy muy, muy disgustado con esta aplicación. Pudiendo hacer las cosas mejor han decidido conformarse con el mínimo esfuerzo y perjudicar a los usuarios. Wallapop no respeta ni sus propias reglas."
33,mariapuertasyventanas,8 April 2020,5,Me va muy bien Es muy práctico. Vendo siempre lo que menos me espero. Los envios son muy seguros. Yo la recomiendo
34,Sergizerg,8 April 2020,5,Para vender de todo. Es una aplicación fácil de utilizar y funciona muy bien. 
35,Todos Contentos,8 April 2020,1,Denunciamos a la venta de mascarillas En estos momentos ya me parecéis de lo peor me encuentro páginas en wallapop que os pagarán con envío porsupuesto y vendéis mascarillas ? De la forma que está todo decís que anuláis anuncios pero previo pago si que admitís anuncios de otras páginas tanto mascarillas como contactos ? Que política seguís menuda vergüenza
36,ischacon,7 April 2020,1,"Seguridad nula Me estafaron comprando unos cascos y al reclamarles a wallapop tardaron un mes en responderme y cuando me di cuenta tenía 5 días era sábado y el plazo acababa el domingo, he intentado ponerme en contactos con ellos y sin respuesta, conclusión me tuve que quedar con los cascos y falsos y wallapop se quedó con 20€ que me cobró como seguro que no sirvió para nada 👎"
37,ab1d2,7 April 2020,5,Falta poder echar fotos en el chat Le falta a esta aplicación que en el chat se pueda mandar audios y fotos
38,pilotin33,7 April 2020,5,Posiblemente la mejor aplicación La posibilidad de enviar fotos o incluso audios en los chats...para mi sería ya alcanzar la perfección
39,Otto pixi,7 April 2020,4,Wallapop La aplicacion va muy bien pero para mi gusto pondria mas opciones a la hora de buscar un producto
40,Parabellum77,7 April 2020,1,"Más publicidad La última version lo único que parece que actualiza es el tamaño de la publicidad. Cada vez es más y más grande, y cada vez más molesta. No recomiendo la actualización. Para mi ya es demasiado tarde."
