index,author_name,review_date,reviewer_ratings,review_body
0,NorwoodG,"March 24, 2020",5,"Great  job! Congratulations to the coding team behind Joplin.  They managed to create a note-taking/journaling solution that can fill what I perceived as a long-standing ""gap"": the ability to sync between the iPad and the Macbook without having to go through the cloud. For those who value privacy this is a terrific development. "
1,Nickian,"April 30, 2020",3,"Excellent on desktop, barely passable on mobile Joplin is amazing on Desktop, but the mobile version is behind. It has improved a bit over the last couple of years, but I wish it were more of a mobile-first project."
2,Playin' in a Travelin' Band,"October 6, 2018",2,"Pretty buggy interface I love the syncing features, but the interface for entering text is so buggy, the app is pretty much unusable, except for reading notes entered elsewhere. Sometimes when I type, everything randomly comes out all-caps. Auto-correct does not work at all, and predictive text sees each letter as a separate word. Using dictation works - but only one word at a time. : /  "
3,jekpopulous,"June 17, 2018",5,"This app is fantastic. I'm using it with Nextcloud on my iPhone and Macbook...it's awesome. I've run into a couple bugs and the GUI could be a little nicer but Joplin honestly has all the features that I was looking for. If you take privacy seriously and want a full-featured, cross-platform notes app this is for you."
4,cpinegar,"December 15, 2019",4,"Make iOS user interface as functional as Windows This app together with Dropbox has some serious potential to kick Evernote and Standard Notes to the curb, if you want an app with native markdown support, cross-platform support, and end-to-end encryption, give Joplin a try."
5,a16556dw,"February 22, 2020",5,I love it so much I was looking for the person knowledge management software long time until install Joplin.
6,NightTriker,"February 19, 2019",1,Incredibly confusing interface This app is very difficult to use as it doesn’t follow normal iOS ways of doing things.
7,Nytraveler,"February 12, 2020",5,"Improved Typing seems to be much improved over previous reviews. The number of syncing options is pretty good, but I would love to get it working with pCloud drive. I think I could do it through my pc file system, but don’t know what the directory’s absolute path would be in iOS."
8,linuxdaemon,"January 25, 2020",4,"Serious Evernote contender as a whole ...but the iOS experience is not optimal. It works, and you can edit all your notes or todo lists just fine. But it doesn't act like an iOS app. The interface doesn't match an iOS feel, and you can't send things to it or interact with a hard-press/widget. "
9,Bobthefoodie,"March 21, 2019",5,Amazing for all my operating systems Fantastic way to keep markdown supported notes in the iPhone and also OS X / Linux (and all the other Joplin supported OSes). I am using Dropbox for my cloud sync and so far it has been flawless.  
10,迎宾路保鲁斯,"June 22, 2018",3,"couldn't attach picture from camera. i can attach picture from Picture Library, but not from camera."
