index,author_name,review_date,reviewer_ratings,review_body
0,Matt_knick,"July 18, 2019",5,"Groupon Experience 👍👍 Every time I have ordered a Groupon offer, the experience has always been very pleasant & over the years I have had a couple issues, but they were always addressed quickly & resolved quickly. "
1,GramJo55,"July 16, 2019",5,"GranJo55 I've been ordering from Groupon for about 4-41/2yrs. So far I've been perfectly happy with everything l have ordered, both the service and the quality of the items and or services. Admittedly I've always been very paranoid about being scammed online and very slow to start trusting online companies so I tend to read every single word of every description! It drives my husband crazy because I'll read, reread then mull it over for hours sometimes days before I finally decide to make my purchases. And if it comes to a place I've never heard of I always check for reviews outside of Groupon before dealing with them. But it seems to have paid off because I'm happy with everything I've gotten so far. I've gotten gifts for my kids and grandkids, household items, clothing and my husband and I used 3 different offers for hotels and services to book a dream road trip through the central Texas hill country during summer of 2017! (So glad we got to go when we did, to see this beautiful part of Texas before Harvey messed up so much down there!) Our stay at El Tropicana in San Antonio on the river walk, a great package for a full day and food package at Sea World San Antonio, and a stay at the Omni West in Houston were all phenomenal experiences that we wouldn't have had without Groupon, but will definitely strive to repeat!"
2,Gmb1987,"March 21, 2020",4,"Been using Groupon for years I have been a Groupon customer for years, mostly get local massage and food deals. I appreciate this service but do wish the business owners got to keep more of the proceeds. They are basically posting deals to get new customers and some have said it doesn’t often lead to long term repeat customers. In my case, I’m usually getting a Groupon for restaurants that I go to already but want to have some savings. Groupon is great for the consumer but it may not be the best investment for local businesses. I would be curious to know what the ROI and conversion rate metrics are for local business owners who offer sales on Groupon. Admittedly I have purchased a lot of massages but haven’t really stayed with one massage therapist. That lends to my mentality as a consumer, why would I pay 60 the second time when I could pay someone else to do something very similar for 30? Or even 25 on a sale day! This service is for deal hunters like me but by appearances does not seem to be extremely helpful to certain types of business owners. Which is why I tip well, at least to help them out. If I’m wrong about the benefit to business owners, I would love to know! Feeling a little gross about the reality of my shopping habits now that I’ve written this review so hopefully I’m mistaken and this platform is helpful in the long term for small business owners."
3,TinaSMP56,"May 1, 2020",4,"Purchase on Groupon My purchases have mostly been good. I had one incident a few years ago. I paid for 3 sessions of house cleaning, paid about $115.  It took several weeks to get in contact with the seller then it was several weeks before she could book me an appointment. I wanted to book all three appointments & she wouldn’t. She said I could book the next appointment when she came the first time. No one showed up for my first cleaning. After several attempts she finally answered my call & said the lady she had scheduled had car trouble or something. I said a phone call to me would have been appreciated. I took off work to be home. Rescheduled appointment, about 2 weeks out this time. Again no one showed & I had someone there to meet up. Again several attempts to contact when she did answer the lady’s child was sick 🙄. Seriously?! Again a phone would have been appreciated. She wouldn’t book another appointment, said she’d get back to me. She never did. A few months later, we were preparing to move out of Tulsa area so I thought great I’ll get “her” to come clean while I’m packing . Called multiple times & left messages. Never got a call back. Then her number was no longer working. 😩 So I threw that $115 to the wind! Contacted Groupon & it had been over a year at this point so they “couldn’t” refund my money 🤷🏼‍♀️"
4,othertwin,"October 22, 2019",3,"Just purchased curtains Although, I haven’t even seen them yet, I’m still worried about the quality , but I specifically chose it for a certain room but now, if that is going to stop light from coming in completely, I just may choose a different room for these. I always look for more different stuff and sometimes even hope for the best deal of the day on something I would really want , I hope other genders come into your site to sell their products because it would be nice to see changes of different things, not just changing between the 4 seasons. I recently purchased the angry supplements and I’m afraid to say , they give me heartburn so badly, and I’m belching the tumeric and ginger.  Although it may be amazing for someone else, they are not for me. I just don’t ever want to do business with companies that are NOT in the USA only because I have had a terrible experience with dealing with them and what they show you is definitely NOT what your getting, cheap scratchy material ect anyway I’m so looking forward to these new curtains in my home ! I’m very excited and can not wait thank you Groupon !!! Once in a while it also would be nice to send a 5 dollar off coupon to all your email member that bought for appreciation day just bought from a local retailer, and I’m happy to see that here and of course,,,,, my new year pair of slippers!!!!!!! For sure ! Muk luk can’t beat it !!!!"
5,MSFMD,"July 19, 2018",5,"Review Me and my husband have used Groupon on and off for about 3 years but we recently started relying on Groupon for the last year after getting married ...... if we take a trip first place we check is Groupon...you offer ridiculously unbelievable prices. in our most recent trip we wanted to stay an extra day and asked what the charge would be. The same amount we payed for the 3 days is what one extra day would cost! need something that we can’t really find?.....GROUPON has it. The variation of the same thing is what I like as well...... I’m the type of woman who loves a certain item and needs it in absolutely every color. The only thing that I,as a customer, found  a little difficult is that when you do book a trip and you accidentally made an error you cannot go back and change it..... our fault but I believe that if you are able to catch it right then and there you should be able to fix it. None the less, THANK YOU Groupon you guys are the best!!! Thanks for making trips actually happen for me and my husband. Growing up sheltered, it’s nice to finally be able to do it not only because I’m married but because of your amazing deals! Being financially savvy is the way to enjoy vacations and get aways! I can’t thank you guys enough!"
6,Stephsteph79,"June 14, 2018",3,"Needs improvement Though I do enjoy Groupon and have spent thousands over the years with Groupon, they are in need of improvement. One issue I have is returning a Groupon. It is ridiculously inconvenient and beyond frustrating to try to return or exchange a Groupon. Instead of getting Groupon bucks, which seems to be a more logical and fair thing to do, Groupon only allows you to purchase another Groupon in only a certain area, i.e. “a local deal”, etc. and within a short period of time. It is a complicated system and I lose more money through Groupon, and I am beginning to expect it was designed that way. People do not want to deal with such hassle so I assume most people would simply forget about it. Which I have done in the past because I don’t feel like dealing with only 24 hours to search for local deals. Not only that, but most local deals in my area are the same old thing that we always see advertised in a Groupon. Little variation. And I don’t want to redo those things again and No, I don’t want another massage! So it is very limiting. I have had much frustration over this one issue. Also, with all the times I have had to speak to Groupon, those who answer the line have accents so thick I can hardly understand them. And though a few of the staff have been friendly and professional, I have dealt with quite the opposite most of the time."
7,Groupon you lost me forever,"April 2, 2020",1,"I would rate 0 star if I could First of all I want to say, Groupon doesn’t really care about their customers. I’ve never left a bad review but here you go Groupon you can have this one. "
8,Aaaaadddddddssssssss,"March 26, 2018",5,"Groupon has your back I've been using Groupon for years. I've always had great experiences with local businesses honoring their Groupon. Recently, I had a very bad problem with a seller. They didn't honor what their groupon's fine print stated, they were making threats, yelling at me and following me to my car, etc. Overall, the worst experience I've ever had with any type of service. Groupon wasn't available to contact immediately because it was a Sunday evening when services were provided, but they were available at 6:30 am the next morning. I shared my experience and they quickly issued a full refund and escalated the concern to someone higher up. Thank you for trusting your customers and being a responsible business. I will continue to use Groupon only because the way they handled this issue. "
9,Secretsquirrel218,"May 1, 2020",2,Sometimes good. Sometimes not. There have been a few times I’ve had positive experiences where the company items were quality and the check out was easy. 
10,melizhur,"February 23, 2018",1,"Refunded Incorrectly I purchased a groupon for a keratin treatment at style@ben salon in midtown. When I called the salon to make the appointment, I first tried the phone number on the voucher that belonged to someone’s personal cell (this person was in no way affiliated with style@ben). So I turned to yelp to find the salon’s actual number and was told that they do not offer keratin treatments through Groupon. I informed him that I had already paid for the Groupon but he was clear and finite that Groupon had made a mistake and the salon only offers a haircut/blowout deal. I then turned back to Groupon to contact customer service but, of course, there’s no phone number to call so I settled for the online chat with a customer service rep. She was perfectly apologetic and prompt in her communications. She explained my options (after ignoring my request for a full refund) and I decided to trade in the Groupon for another salon’s keratin offer. The issue is that I paid $99 for the initial Groupon and only received $87 in “Groupon bucks.” I should not be held financially accountable for any of the oversights, miscommunications, or mistakes that were made by both the salon and Groupon. (Though the responsibility ultimately rests on Groupon.) I am extremely disappointed in the customer service I received while trying to resolve this matter. All of the roadblocks and the end result make this feel like a scam."
11,MJHDWH,"June 27, 2018",1,"Terrible! I am extremely disappointed with Groupons service. Their customer service is only available through email and even the managers refuse to co tact you via phone. They are incredibly rude and have no desire to help you. They take half the cost of your Groupon from the business and will never refund more then half your cost. They also only provide Groupon bucks back. My husband and I booked a beautiful hotel via their site and trusted that it was accurately represented- nope. Not at all. The pictures looked 5 stars. The reality was an awful hotel staff. A hallway without AC that smelled of mold. A hotel room with a loud, broken AC. We called the hotel staff 5 times within our first hour begging to have our room changed due to the broke , loud AC and they refused. I finally spoke to the manager that promised to refund our cost due to all the trouble and allowed us to leave the hotel to find a different place to stay. I was guaranteed Groupon would refund my full cost to my credit card and would easily see it in the system. Well, after 4 week of emailing Groupon, since they don’t provide a phone number and refuse to call you, they refuse to provide any customer service. They will not refund this awful experience. I will not be shopping with Groupon again. What a terrible company that has no care for what they advertise. Such lies and awful service."
12,Kathit2003,"July 6, 2018",5,"Great prices & sales but buying direct use CC or Paypal catch ! They have great sales on multiple items, to use cash/debit/not on your credit card use Paypal it’s  way easier at checkout ! "
13,jng72905,"January 10, 2019",1,"Groupon sells shady deals for sketchy “businesses” I have used Groupon many times but I purchased two massage certificates for my husband and I for Christmas. I purchased mine in November went to the website too book it the same day. Calendar all booked up until January 2019. So I wait two months and get to the place on time to find out the door is locked. Saw people moving around inside so I knock. Lady comes out with a long piece of weave in her hands (she was braiding and cutting it). Anyhow she tells me that the person no longer works there and I was the 5th person she has turned away. She told me to contact Groupon for a refund. Won’t you know it they will not refund me. I know the fine print tells you after 3 days all sales final but I did not see it say they will sell me a Groupon for a shady place, make me wait passed the refund period, and then never get services and it’s just oh well. Now I have to waste time, energy, and money and find a lawyer. I am gathering information to send to the news outlets as well. People need to know Groupon is selling for shady businesses that have no intention of actually providing the service and no matter what you won’t be refunded. I have contacted the owner of the location multiple times, wouldnt you know it she is ignoring me. I have contacted Groupon via chat, email, and the call me back option, and yes you guesses it they are absolutely ignoring me! STAY AWAY FROM GROUPON AND FRESH BEAUTY STUDIO IN STOCKBRIGE, GA!!!!!"
