index,author_name,review_date,reviewer_ratings,review_body
0,Kamray,18 September 2017,5,"El chat falla con esta actualización Lo del chat nunca ha sido lo mejor de Wallapop, pero es que sin él la aplicación pierde todo su enorme potencial. Por lo demás es estupenda y eficaz."
1,manuelv21,18 September 2017,3,Resumir las novedades Cada actualización está acompañada de un cuento larguísimo.. es posible resumirlo en unas 3 ó 4 líneas para enterarme que tiene de nuevo la app? ;)
2,joald30,12 February 2019,1,"Decepción Llevo tiempo denunciando un anuncio falso, en el cual una chica está estafando vendiendo una play station 4 por 200€ y en el anuncio pone que solo puede enviarla porque está en otra ciudad por motivos familiares y resulta que cuando fui a denunciarla a comisaría me dijeron que ya tenía más de 200 denuncias. Y wallapop no le borra el anuncio ni la cuenta, en cambio si me borra a mi los anuncios donde aviso a la gente de esta estafa. Wallapop sigue permitiendo que la gente estafe a otras personas"
3,Toltilla,18 September 2017,1,"Se cuelga En mi IPad alguna vez no puedo ver un producto anunciado, no me deja entrar en el anuncio, tengo que volver atrás y poner de nuevo los filtros de búsqueda. Actualiza y actualiza y sigue colgándose en Ipad, desesperante."
4,DreiiaChucken,19 September 2017,1,No conecta chat con datos! No conecta chat con red de datos. Solo con wifi. Arregladlo ya!!
5,AlbertoFalero,1 February 2019,1,"Continúo error de App. No paro de actualizar a la versión 1.64 cada pocas horas. Siempre la misma. En IPhone XS Max no avisa cuando te escriben, ni reiniciándose notificaciones en ajustes y en la app."
6,ios actualizado,10 January 2019,1,Cansada de los spam Voy a copiar todos los mensajes que he recibido en menos de una hora desde que colgué mi anuncio. TODOS SPAM 
7,Idonisa,12 February 2019,1,"Wallapay es una estafa He hecho un envío a través de Wallapay y hace más de una semana q ha sido entregado al comprador, con total satisfacción por su parte. El dinero no me llega, y Wallapop ni siquiera contesta."
8,JA Granada,1 April 2018,5,"Ofensivo La campaña de Semana Santa es lamentable, de veras vuestra creatividad no da para más? O es que os gusta reíros de la Semana Santa y sus costumbres? En Marketing no todo vale y una de sus premisas, que deberíais saber, es no tratar sobre política o religión. Así que por favor, quitad esos mensajes absurdos y lanzad otros mensajes"
9,Desconforme3,18 January 2019,5,"Soporte Técnico. El servicio es muy lento en dar una respuesta. Ayer de repente desapareció mi cuenta, solicité restaurar mi contraseña porque no me dejaba acceder. 6 horas más tarde, me respondieron con una clave nueva que me habían adjudicado. Al abrir mi cuenta, estaba vacía, sin productos ni opiniones ni conversaciones que se me habían quedado a medias ni nada. Intento contactar con ellos y no obtengo respuesta."
