index,author_name,review_date,reviewer_ratings,review_body
0,PMEinDenver,"April 24, 2019",4,"Inspiring but one big minus I started using Wix a month ago.  Within a few days of playing with it I upgraded so I could have my own domain name and more features, and access to images, etc.  Wix is very user friendly both on your computer and the app allows you to do a lot too while keeping an uncluttered look.  (Perhaps most amazing is the AI assistant you use on your computer—after doing a short questionnaire about you needs and wants, it whips up a website for you.  Frankly I was amazed at what it came up with for me, beautifully designed.  You can then do a lot of customization.  The more customization you do, the more learning curve.  But I’ve been so inspired, I’ve been playing with it a lot.  I downloaded the app;  it too is to super easy to use with attractive design.  Thanks for the blog manager!  BUT...here’s the thing: I went to use the app on my iPad Pro and, well, there is no app for the iPad Pro!  I was stunned and disappointed.  It’s not like the Pro came out yesterday.  The Pro would make the perfect work space for Wix—more design features would be possible than with phone app.  You could then have pretty full featured Wix app on the go.  Please tell me an iPad Pro app will soon be available?!"
1,JaeAmor,"April 13, 2019",1,"Subscriber Engagement I have two sites with Wix. With the older one, I am able to reply directly to comments. But with the newer version, I can not. I just want to know who thought it was a great idea to take away the joy of no longer being able to engage with people who are subscribed to your site. Literally, what is the point of having a website where engagement and discussions are encouraged but you can’t even address each person as individuals. I’m incredibly upset and disappointed. With the money I’ve spent to build these sites, it’s heartbreaking to think that you no longer find it important to give people a voice on a website they pay just to be able to have that platform to interact with others. It’s a waste of time, money, and effort if all people can do is look and scroll but can’t even reply back to one another. Never thought I would have regrets with this site but I certainly do now. Not sure who the creative mind was behind it but they certainly didn’t consider the things people loved and made them want to go with Wix to begin with. Why over complicate? Are we not tired of experiencing this feeling. Simplicity is bliss. Now we’re just lost. Whoever the team was before, bring them back. Either make it better or leave it as is."
2,c.ann.g.,"December 18, 2019",2,"Nobody Will Respond To My Questions So at first I loved the app. It was simple to use. I answered all of the surveys with thoughtful insights. I started earning cash and even started getting value surveys, which pay a little more than the regular ones. I haven’t won any of the big payments but I was fine with working my way up. Well I finally hit a little over $10, which is the minimum to cash out but it’s been almost a week and I still haven’t received my payment. So I tried emailing this company over and over again but nobody will respond and I have no idea how to get a hold of customer service. It took a lot of time and effort on my end to get up to $10 doing little $.15-.$25 surveys and would like to get my cash especially since I’m unemployed at the moment and Christmas is about to arrive. This app would be great and I would totally recommend it if they would be available to assist the people who took the time to complete their surveys. Don’t download this app if you are not okay with wasting your time. I use several other apps to make a little cash until I find a job and I always received payment within two to three days in my PayPal account. I’m highly disappointed!"
3,Anointed Touch Beauty Salon,"March 20, 2019",2,"Bookings I use Wix for my salon booking appointments. I recently got a suggestion from Wix suggesting that my clients download the app. Now before when my clients would book online I could see everything their name,number, an email an services that they were booking for. Now when they book with the app it doesn’t have the clients name or number. Just the service their getting an email. In the booking part it only shows service. I don’t even see or know who I am servicing. So I don’t know who I’m about to give service too. Although emails are fine I mostly contact my clients by phone. I will not be suggesting for my clients to use the app until it gives me more information on my end about the clients an their appointment. As for now I will continue to lead my clients to the website to book their appointments. Also I had only one conflict where my client scheduled an appointment it gave me the wrong time that she scheduled for. It was an whole hour difference. Her appointment was at 3:30 pm an her confirmation told her the same. But on my notification calendar it said 4:30 pm . I hope this doesn’t happen again. It was an inconvenience for us both to have different times."
4,rare form beauty,"April 5, 2019",3,"Y’all have poor communication, and the app needs to be fixed! When I first started using this app I really like it, now it’s becoming a annoyance and inconvenience with the problems that come with it. I blocked out last month when I needed a break for working and it would not let me unblock so I couldn’t use the app, I even emailed and received a response saying someone will get back to me but no one did. I just had to wait until my block was over for my clients to schedule. It is now a month later I’m trying to block off a certain time and it’s practically doing the same thing but this time I need a special time blocked every week and it’s not even acknowledging it. It’s still showing my entire schedule is available even when I uncheck the Wednesday box that whole day is still available to book. Another thing is when my client go to styles the pic is cut off it would be great if I continue to keep the app if you could show the full picture that would be great. Other than that i haven’t had problems but those are major problems and could affect my client relationship."
5,Greg15648,"September 24, 2018",2,"What happened to this app? I’ve been using Wix for 5 years now. The app has been incredibly helpful in managing my therapy private practice. I was able to easily see my bookings calendar and schedule appointments for my clients. After the new update, it is incredibly difficult to find my bookings calendar. One page title “my bookings” says that I have no appointments, and then redirects me to another page that shows how many appointments I actually have for the week. It used to be very easy to see my calendar - one click and I’m there. Now I have to click through pages and pages to find my appointments. I don’t know why that changed! Another problem I have with the app is that it constantly gets stuck showing all of my notifications. The app will say I have three notifications, so I’m thinking I have three appointments. I click into the app and go from page to page to find nothing. I mark all of my alerts as “read” and close out of the app - it still says I have three notifications. "
6,I looked and I just loved it,"April 17, 2020",3,"Loving the potential but... I have been testing and exploring using the one mobile/Wix app for months. When I first started I didn’t roll it out because there wasn’t the capability to monitor who joins our community and how. Now there is and when COVID hit, I thought, the app is a perfect solution for our growing community of 1300+. But I’ve not been able to launch because for over two weeks now, we have not been able to get the “groups” feature to work—it doesn’t show up on member pages for some odd reason and WIX hasn’t been able to resolve things. It’s been extremely frustrating. They are seemingly elevating the issue now but it took a good 1 1/2 weeks for me to not have to re-explain the issue all over, provide all of the same information, etc with new people each time. Yet still, I don’t have any answers or a solution and we are in our third week! Has anyone else run into issues with “groups?” I’d rather Wix remove the option of having them if they can’t get them to work altogether."
7,KBos822,"April 20, 2018",2,"Mobile view lacking I find it completely absurd that after all this time, we still can’t customize the mobile view. 75%+ of my visitors are using mobile devices and they need to scroll down pages and pages of full size photos to see what they want. Would it be so difficult to just give us two columns?! A grid to make viewing easier?! I’m sure I’m losing sales this way as the average visitor will lose patience. Also, they click on a product and see the title in humongous letters and a teeny tiny product photo. Can’t edit that either."
8,spil@,"September 19, 2019",2,Little functionality and a lot of bugs App still not blog friendly. Cannot manipulate photos with the blog or access photos that have already been uploaded. 
9,briski71,"April 5, 2019",5,"AMAZING I don’t even know where to begin. I made my business and I can’t believe how easy it was. This is the best website maker EVER!!! It has a lot of features and templates. Did I mention a lot of them are FREE!!!!!!!?? Definitely get this app if you have a business that you are starting and needs a website. I love all of the product options. I can put what sizes you can chose from when you are getting a product and you can put the colors of the product that you can chose from. It also comes with pictures to design your website with. Even though not all of the pictures are free, I still find it really cool. When I was making my website, it was really fun! I really want to pay for the Memberships, but I don’t have the money. This app I would recommend. 5/5 stars."
