index,author_name,review_date,reviewer_ratings,review_body
0,2xl993,"April 28, 2020",5,"Excellent program I greatly appreciate thes service. Very easy to search thru the app to select the items you want. Prices are shown, and are the same prices as in the store. You can select to allow substituitions if the item you want is not in stock. When you pick up your items you can elect to not accept the subsitute, and you are given credit right away. If you select no substitues then if they do not have the item, it shows that in your delivery notice on the app - and not charged, of course. After you have completed your list, you can keep adding items, as you think of them, up to midnight the day before. When you later go back into the app to add to add items, your list does not appear. You go ahead and select the item(s) you want, click to purchase and it will ask if you want to add it to your current order. Click “yes” then you can review your full order. They send you an email when it is ready for pick up (at the previous time you have requsted). You can also look at the app and see the progress as your order is being prepared. Then go to the store to the Pick Up area, park in front of a number and tell them you are there on the app. Or wait and they’ll come out and ask your name. It’s all simpler than this LONG explanation. Great Servce."
1,Gaspatchosoup,"April 23, 2020",1,Gonna stick with Target As soon as I get my 2 items that I have coming that won’t come on time I will be deleting the app and never going to Walmart or using this service again.  So canceled the items I had in order and went to the target app and bought them there. Within 2 hours they get shipped and didn’t pay anything extra shipping. 
2,Bossbakken,"December 12, 2018",3,Don’t fall for “2 day shipping” or savings catcher Loved this app and Walmart. But a couple of the main things I liked have actually changed for the worse. 
3,I Who Shall Remain Nameless,"May 4, 2019",3,No Pay-and-Go I read an article that said that the Walmart Corporation planned to discontinue Pay-and-Go at Walmart but not at Sam’s Club. That was the first that I’d heard that Walmart has Pay-and-Go so I decided to try it. I was underwhelmed.
4,the good RN,"August 11, 2018",5,"Savings Catcher- it works!!! I have been using savings catcher for a year now, been working to catch Walmart NOT giving me deals that I know other stores offer. Nope! Walmart ALWAYS give me those deals, they never ever miss!  One time I thought they did but I found out I was wrong. The other store had gone up on their price and it was I that was not aware... If you shop at Walmart you’d better download the Walmart app, use savings catcher, and stop playing around! I’ve already saved $65 so far without even trying, just buying my same ordinary groceries that I normally buy, not doing ANYTHING different. I don’t have time for coupons and price checking and stuff.  Wayyy too busy for that!  So, after I check out I get into my car, open the app real quick, scan my receipt real quick, then go home. Two days later I check the app and see the savings building up. Just that easy! Once I get to $100 I’ll redeem it for something. And it’s fun, the kids love watching it build up, too!.. You all better get this little extra money, we all deserve a break so why not? 😉"
5,Rtiger2,"November 9, 2018",2,"BRING BACK RECEIPT UPLOAD IN SAVINGS CATCHER I have been using the Walmart app, primarily for the use of Savings Catcher, for many years now. While I didn’t always get back tons of money, I always appreciated knowing that I was getting the best deal without shopping around while also being able to save my receipts digitally. I am incredibly disappointed in the recent move to linking receipt uploads ONLY through Walmart pay. I have chosen not to use Walmart Pay for personal and security reasons, not to mention that I also like to pay cash. This move (clearly to force users to use Walmart pay or miss out) disenfranchises so many users! There are many people who don’t feel comfortable using that pay method, or that just need to manually upload for many reasons. I know that you have lost me for sure from your app, and possibly from shopping as often, as receipt uploads to savings catcher made me shop there more often. If I can’t use Savings Catcher without being forced to use Walmart Pay, then this is no different than any other store... no more incentive to shop here. I genuinely want to use Savings Catcher and have the convenience of having receipts saved for me again. Bring manual uploads back and I’ll begin shopping here more frequently again."
6,Bail e,"May 16, 2019",1,"App is not that great I only downloaded the app for the savings catcher. At one point, you were able to submit printed receipts via the app. Then, it was changed to where you have to use Walmart pay to get rebates on competitors prices. Some weeks, no prices were better. Other weeks I was getting several dollars back per receipt! Walmart released an email yesterday stating they would end this in May because their prices were often cheaper than their competitors. I feel that is a lie considering I usually get cash back from the app on 3/4 of the receipts submitted. I will use the app until May but after that I will delete it and shop with the competitors as opposed to doing all my shopping with Walmart. Most of the said competitors allow digital manufacturers coupons on their apps or loyalty cards. Walmart doesn’t have a loyalty card or an option for digital coupons on the app. It is virtually useless as I can do anything else from the app on their website. Once savings catcher is gone, it is a waste of space. I will be using the balance left over from the savings catcher and deleting this app. It literally will no longer provide me with any benefits that I cannot get from using the general website. Your competitors will be thanking me when they start receiving more of my business!"
7,Mandala221,"January 1, 2018",4,"Suggestions... I love using this app. It’s been so convenient so many times BUT when I’m trying to find a certain item and I’m inside a Walmart store, I can’t search other Walmart stores. Even if I change the location of “My Store” to the location I’m trying to search, and even turning off my location, it still keeps me at the current store I’m in. This makes it difficult to search other locations without having to first leave the local store I’m in. I’m trying to search a different store so I’ll know beforehand if I need to buy a different product or order online. I’d like to search other locations while standing in one already! This has been an issue SO many times!"
8,LBoPres,"June 12, 2018",3,Reward dollars Walmart has initiated this app to keep their prices lower than their competitors which the whole point was for the customer to have an extra incentive to buy from Walmart and also for Walmart to always have lower prices than the competitors. But.....again Walmart has won and now you don’t rack up the reward dollars like you used to. I spent $600-$1000 per month and would get a substantial amount accumulated and I would save it up and I would purchase a big item. I have used it toward a $70 iron to a $250 pool. I enjoyed scanning my receipts....waiting to see how much I was going to get in return.....then deciding how long I wanted to accumulate them. Now.... Not so much now .....  I still spend the same amount and in the past eight months I have only accumulated $7.89 🤗.  Not much of an incentive to drive out of my way to a Walmart so I can save a dollar or two and then get to scan my receipt and then see that I didn’t even have any qualifying items.  I will just support my small businesses because at least I know that all the registers will be open.....the employees will be friendly.....and the owners will desperately appreciate my business.
9,LauraBlackbird,"April 7, 2019",2,"The change to Savings Catcher has me shopping elsewhere I’m a disabled stay at home mom to 6 kids, the eldest is grown & lives with her fiancé. My husband had to take over a year off work as I was too disabled to care for the kids, especially the 3 & 5 year olds. Our closest Wal-Mart is a 20 minute drive from our house. My husband & I would both make the drive specifically for Savings Catcher. With such a large family we obviously purchase a lot of food, toiletries, household items, clothes etc."
10,Michelle & Christopher,"April 12, 2018",3,Walmart pay won’t work for security reasons??? !? I never write reviews but I came to look at the reviews to see if anyone else has the same problem turns out yes they do! I too have had Walmart savings catcher and the Walmart pay for forever now. I’ve loaded hundred of dollars of gifts cards with no issue. Until the other day it’s declined for security reasons?? Use another payment. There’s plenty of money on there in e gift cards. Nobody in store or the 800 number knows anything multiple people in store and multiple transfers to departments at the 866 number and the end result was they will get back to me in 3-5 days by email with tech support! Reallly!!?? There’s no one to talk to? No one to rectify this now? Nobody to transfer to a tangible gift card so I can use it? I love my Walmart pay but now this has really put a wrench in my Walmart shopping. Come on Walmart there must be a better way ! why does nobody have an answer? Another solution they gave was to print the gift card and they can scan it. I sure hope that works although It really defeats the whole simplicity of Walmart pay😔 I’m so disappointed!!!
11,SuzanneAZ,"June 15, 2018",3,Educate the Employees Between my husband and I we shop at Walmart 4-5 times a week for our growing family. We both use the app and savings catcher to help manage all of our receipts and to stay on budget for the month. 
12,Noodledoodle5,"November 10, 2018",2,See the stars falling off soon Hate the new system. It’s not like Walmart’s have WiFi. And most Walmart’s have really bad signals! Can’t bring up savings catcher/Walmart pay if you can’t get a signal to do so. 
13,HombreDeAcero,"November 28, 2018",1,"App and store don’t work well together for returns. I made a purchase using Walmart pay and all seemed good though I wish it would print a physical receipt. The big issue was when I had to make a return. I started my return on the app as it supposed to make things easier. When I get to the counter the lady is asking me why I’m returning for each item even though I answered all that on the app. Not only that but I had so wait and watch her open each and every single item. Once she finished she said I was getting a gift card. I said excuse me no. I used my card with ur app to pay I’m not accepting a gift card. She gets her lead who is rude and says the same thing and all she does is show me the screen that says gift card. I told her again I’m not accepting a gift card and she said it’s not our app. That’s why we don’t accept returns with purchases made using Walmart pay. I told her, Walmart owns the app and you work for Walmart and represent Walmart therefore you are Walmart and this is your app. Long story short I had to get two other managers before someone could figure out what to do. Not sure how this app is suppose to make things easier or faster but I’ll tell u that returns line only got longer while I waited to resolve my issue. Hate Walmart."
14,Erotichotx3,"November 30, 2018",2,"New changes results in tons of lost savings This USED to be a great app to get the most out of your money. Submitting a receipt was super easy, and the process took less than 2 minutes. Now, you have to use Walmart pay which I’m sure has caused a ton of people to stop using the app altogether. Along with that, if you receive SNAP benefits, you can’t add your EBT card as a method of payment. Clearly the people using snap benefits needs the rewards/savings just as most if not more to maximize purchases. I had a lot of fun using this app before they switched it but unfortunately I do not feel comfortable linking my debit cards to pay at checkout, and I have to primarily rely on SNAP benefits at the time being to provide food for my family. I really hope Walmart steps up because that is discrimination towards people in poverty and members of the lower working class. Shame on them. A simply solution would be any savings rewarded from a purchase using EBT can only be redeemed for food items. Surely with the money Walmart makes they can afford to upgrade the platform to allow such purchases via this app. I’ll check back in a few months to see if they’ve worked this muck out. Disappointed!"
15,...kab,"December 14, 2018",2,"Savings catcher update.... I LOVED the old savings catcher program before October 28. I’m still one of those people who uses cash quite a bit, and to longer be able to put in my receipts for my cash purchases is so disappointing. I actually looked forward to putting in my receipts after each trip, and it was fun to watch my rewards add up over time. It gave me a incentive to shop there. I think in the past few weeks I’ve been to Walmart at least 4 times a week, paid with cash, and have a stack of receipts I can’t even put in Savings Catcher. I know everyone will say to just deposit my cash and use my debit card, but I’ve just always used cash, and our Walmart has some cash only registers that are quicker to get through. Also, with 5 daughters, it’s sometimes a hassle to deposit my cash, then go shopping, and to get my phone out and do the whole Walmart pay thing. On one of my visits, it froze up the whole self-check register and I had to re-ring my whole purchase at another register. Plus, using cash keeps me on a budget, and it’s just what I prefer. I wish you would consider bringing back the option to enter cash purchase receipts."
16,Very frustrated mom to be,"January 28, 2019",2,"Just save the trouble and use Target Creating a baby registry on this app is a NIGHTMARE. I’ll start by saying that it’s very frustrating that the registry is not a separate app from the rest of Walmart shopping (like Target does), because it makes navigating back and forth to your registry SUPER inconvenient. Anyways, when first creating your registry, your first and last name is required, which is understandable, however, it will not let you create a custom name for the registry itself. So, you can’t match the name to any other registries you’ve created for your shower. Then, before you even get to look at any items for yourself, it adds a long list of things it “thinks” you may want instead of just suggesting them to you(LIKE TARGET DOES). Oh, but it doesn’t even end there! If you don’t like the certain brands of wipes/diapers, or prints of clothing it has chosen for your child, you’ll have to go through a 2-3 step process for EACH item to remove it from your registry. Not to mention, half the things it added to the list are out of stock! If I had not already put on my invitations that I am registered through Walmart and Target, I would delete this registry altogether. Complete headache."
17,@zeus,"February 22, 2019",2,Needs to show everything not half the items When you try to find things in the store or scan things that are in the store because you just bought it and you want to buy more but your home not at the store it acts like it can’t find it or it’s not there even though if you go down to the store you can find it but it will show you the item that cost more so if I wanted to preset a few things for walmart and pick it up I wouldn’t be able to because according to the app Walmart don’t carry it but I can go to walmart look right at it and what do you know it’s there plus I can scan it to price check it or order it then and with the same app it then shows that’s it’s at walmart. 
