index,author_name,review_date,reviewer_ratings,review_body
0,spiralsun1,"March 19, 2019",5,Easiest best photo enhancement app This is by far the best photo enhancement app I have ever used. It is so much better than anything else I have ever seen in automatically and intelligently making your photos BETTER not just different that there really is nothing else out there that even comes close. When I see the lower reviews I realized that sometimes the reviews are just worthless. This isn’t a goofy Snapchat filter. It’s a serious digital portrait enhancement. Nothing else comes close.
1,JohnP95,"February 1, 2017",5,"Great Self-Picture Taking Application I saw this app when I was browsing through the Microsoft apps and I thought that I would download it and offer my thoughts after using it for a little while. I must admit that I am pleasantly surprised with how easy, successful and interesting this app has proven to be. I think this is one of those must-have apps for anyone that frequently takes pictures of themselves or with other people. The simple, subtle and noticeable difference that the Microsoft selfie app offers in comparison to a normal selfie generated from the iOS default camera is astonishing. I would recommend this app to everyone. Well done, Microsoft."
2,I Met Zach,"March 13, 2019",4,Turns volume down So far it works as advertised on my iPhone 8 Plus and I haven’t had any issues except one. I had iTunes running in the background and this app turned the volume all the way down.
3,Thunderbird74926482,"December 7, 2019",5,"Made me squeal for some reason Upon seeing the 3 star review I was somewhat skeptical that it was going to be anything worth getting. However it IS Microsoft and they know what they're doing. Normally I think I look horrible in photos, especially selfies. But when I used the apps features and compared it to the original I actually squealed because it was actually REALLY GOOD. That's kinda weird cause I'm a guy but still it's a good app"
4,LynleyGirl,"December 1, 2017",5,"Could the magic extend down to my neck? I thought this still didn’t work (file selection from camera roll or other places), but figured out it was something disabled in restrictions in settings- photos couldn’t be accessed by other apps under privacy.  I love 💕 what the editor is capable of! Looked as if I had an eye job & laser facial. Wish it would extend to the neck area? Thanks!!"
5,jatm516,"October 16, 2017",1,"Needs to be updated There is a bug in this version (2.2.0) that will not let you select a picture. It tells you to go authorize access to photos in settings/Microsoft selphie, but that is not an available option. "
6,Luke J J,"July 13, 2016",4,"Microsoft Strikes Again I appreciate that Microsoft is really trying to develop a lot of apps for iOS. They have really upped their game with apps for Office 365, but they also have simple apps like this. I appreciate that this is a very simple selfie app. No bells and whistles. It just takes selfies and then tries to smooth out any minor skin issues. (If you need a full-functioned photo editor, go with something like Google's Snapseed. This is not it.) Keep up the good work, Microsoft!"
7,BeginnerLL,"September 24, 2017",4,"iPhone update struggles I love this app and use it to quickly edit my photos; however, the app seems to be struggling with the new iPhone update. It tells me I need to give access to my photo library, but under settings that option isn’t even available for their app. Not to mention, I’m able to open my photo library in the app, it just won’t let me select a picture."
8,AmyRene22,"September 24, 2017",2,"Please fix iOS 11 photo issue. Before updating to iOS 11 Microsoft Selfie was my favorite photo editing app. I NEVER take a photo in the app, only use it to edit apps from my camera roll, but after updating to iOS 11 I can no longer access photos from my camera roll. It gives a pop-up “Go to Settings > Microsoft Selfie > Photos” to give app permission to access photos except there’s no photo option there! Only camera. So please Microsoft correct this issue so my review can go from two to five stars."
9,Red_riding_hood,"October 23, 2017",3,"Doesn’t Work With iOS11 I used to love this app. But since the iOS11 update, can’t give the app access to photos anymore. It says to enable access in Settings, but no such settings exist in new iOS update. I’m very disappointed. I realize this is probably Apple’s fault, and I’ve contacted them about it already (to no avail). But I wish Microsoft app developers would put a little pressure on Apple as well, or at least configure a way around this problem."
10,Jbellmorgan,"January 4, 2017",5,"So easy, fantasy results Make any picture look great with this simple app! And those pictures you took in the past that didn't turn out right- this app fixes those! So happy with this app! Thanks MICROSOFT!"
11,SimonKuz104,"April 19, 2017",5,"Better Than You Think I first thought this app would be pointless, but I still decided to try it. I made the right choice this make photos look so much better. If you like to take pictures I definitely recommend this app."
12,Chord of Death,"October 3, 2017",5,Great app needs update or else useless now Needs to support new version for the IPhone. Needs settings for photo privileges for the App. Right now you have to point and shoot with the app. It was working awesome until now.
13,Meeeebeeee,"October 5, 2017",5,"Please update !! This is my go-to app for editing pics but like many of the other reviewers, I cannot edit existing pictures w. giving the app permission, but that is nowhere to be found."
14,theblkbarbie,"October 11, 2017",5,iOS 11 update issue I can’t access it due to the recent update just like the other reviewers and I’m terribly upset please fix this issue otherwise your app is 5 stars in my book !!!!
15,Deesse11111,"October 12, 2017",1,"Please fix this! This used to be my favorite app for quick edits. Now I cannot open an existing photo in the app, there’s no option to give it permission in settings. Okay, fine, I snapped a few pics using the app and did the edits there. Saves to camera roll fine. BUT when I try to edit this pictures later in the photos app (specifically crop them), the photos app crashes! This only happens in photos taken with Microsoft Selfie."
16,Snowberry0710,"October 12, 2017",2,"No longer works with iOS 11 I used to love this app but since updating my iPhone to iOS 11 I am no longer able to edit photos stored in my phone’s gallery. As others have said, this option is not even available to enable in settings, though the app prompts you to do so. Very disappointing and frustrating. Please fix this problem so I can give this app 5 stars!"
17,ili3276,"October 22, 2017",2,I used to LOVE this app For some reason the app no longer works properly on my iphone8 . Unless I take the picture from this app it won’t let me pick the photos on my album. It prompts me to go to my settings and give it permission... would love to if it was a feature on this app. *major side eye*  IF there is a fix for this- would be interested in troubleshooting.
18,Andy grasta,"October 26, 2017",5,"iOS 11 compatible How about you guys make the ability to take full pictures ?? Why the square frame of the camera ? Also, how about a night mode ?"
19,slschmidt76,"April 4, 2019",5,Love this!! This is by far the best selfie app I’ve used. It just works. I don’t have to do a bunch of different things to make the photo look great. It just does! Live the ease of use and how my photos look. Only app I use anymore.
20,BlueSun27,"September 23, 2017",3,"V2.2.0 doesn’t work on iOS 11 Doesn’t have permission to access your photos on iOS 11.  You can take photos in it and then edit it, but if you want to edit existing photos... kinda useless.  It’s an easy fix... so...just waiting for Microsoft to fix what was previously a great app."
21,Rene' iTouch,"September 23, 2017",1,"Not working w/ iOS11 I loved this app until the new iOS11 was installed. It works when taking pics, but doesn’t when you “Select Photo”. When you select photo, you get a window stating that I have to give permission to access to my photo library in my settings. “Settings >Microsoft Selfie> Photos”.  This setting doesn’t exist in iOS11!!  Microsoft has to update this app in order to work."
22,BeBrittFit,"September 27, 2017",5,"iOS 11 non functional 5 stars because I love this app for editing existing pictures, but it hasn’t worked since I upgraded to ios11, please fix!"
23,Glazoore,"October 2, 2017",3,Great but.. Update: Love this app but .. when I try to add a pic it says to go to settings and allow to access photos. But then in iPhone settings for this app there’s no option for that. Only to access camera. All of this was after the update. Please fix!!
24,آتريكس,"October 15, 2017",5,update for ios 11 Hello. Why is not ios11 able to add photos from my gallery? Only photos taken with the program can be edited.
25,Crimes12,"October 17, 2017",2,"Read/write access disabled Following upgrade to iOS 11, the app no longer has the necessary read/write access required to access photos from the camera roll. App functions only as a camera alternative at present. Still waiting for an update to address the issue."
26,Branjopa,"October 17, 2017",2,"iO11 Bug Since the update to iOS11 this app can no longer successfully process the permissions to access photos from the camera roll. Like most people, I only edit photos with this app, I rarely take photos with it. Until this bug is fixed this app is unfortunately useless to me. Please fix, this was one of my favorite apps!"
27,Mr.Coconut luver,"October 22, 2017",2,"Loved the app, but I can’t use it anymore I really liked the features the app offered, but now, after years of use, it suddenly tells me I need to give the app access to my photos when that is literally not an option in my settings. I’m not sure if this is because of Apple’s update or what, but I’m frustrated."
28,Shreejit Sugathan,"December 5, 2017",3,Good app needs updates This is a good app but should be consistently updated to keep in track with other apps in the iOS ecosystem with latest filters and effects.
29,negar.v,"July 15, 2018",5,"The most usable and the best selfie app! I gotta say this is one of the best experiences I’ve had with an app which I recommend to everyone! Easy, professional and efficient! Good job Microsoft👍🏻"
30,LarryOO4,"July 30, 2017",5,Easy to use This Microsoft application is easy to use and Is User friendly. I have enhanced many of my favorite photos using the Microsoft app
31,john barboza,"September 25, 2017",1,"Dont work There is a problem with these app on IOS 11 tells me I have to go to settings and photos to access the photo gallery, but when I go to settings there is no such option! You need to put the option to access the gallery from the app! Since I can not access the gallery from Microsoft selfie"
32,HoneyK_,"September 28, 2017",4,One of my favorite camera app Since upgrading to the 8 plus. I’m having a difficult time selecting pictures to change the filter. Can someone please help.
33,BGreen1908,"September 30, 2017",2,"Please Fix! I loved this app. However, since getting the  updated iOS, it keeps asking me to give the app permission to access my photos in setting. But when I go to settings for the app, that isn’t an option. "
34,Em87b,"October 1, 2017",1,FIX THE ISO 11 Glitch I’m an completely dumbfounded as to why it is taking so long to fix this glitch after so many reports. The edit doesn’t always work or happen when you take a pic with the app and now we can’t edit pic in our library because there is no way to give permissions ... I see ratings tanking and no response from the company
35,sockbun,"October 5, 2017",3,"Fix it please! Love this app but with the new OS update you can’t edit photos from the camera roll. Under settings, there’s no option to give it permission to access pictures, only to save them."
36,Mdk2k4,"October 9, 2017",1,"No good after ios 11.0 update Have not been able to use it with camera roll pictures, error comes on to give permission to microsoft selfie in general/microsoft selfie/camera roll, even after giving permission is not allowing to browse camera roll pics, so I guess is goodbye to Mictosoft selfie,all good things always come to an end."
37,Womaninred80,"October 21, 2017",1,"What happened?? I used to LOVE this app for its ability to improve pictures, but since the iOS 11.0.3 update, it will not access my photos. It tells me I have to go into settings, Microsoft Selfie, photos to grant permission for access, but there is no “photos” in the permission area. Please update and fix because this app is worthless to me as is."
38,Guardiangell,"October 23, 2017",2,"Doesn’t allow you to select a photo anymore With the new update, it doesn’t allow you to select a photo anymore! And it’s too slow to use if you want to take a photo with the app... please fix it! This used to be my go-to app and now I am about to delete it! Please update soon!!!"
